university_id,2024 RANK,University,Country Code,Country,SIZE,FOCUS,AGE,STATUS,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Research Network Score,Employment Outcomes Score,Employment Outcomes Rank,Student Population,International Students,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,Citations_Count,universities_ranked_count_x,best_university_rank,Country_Avg_Overall_Score,Country_Avg_Academic_Reputation,Country_Avg_Rank,female_percentage,male_percentage,Citation_Score,Research_Output_Score,Enrollment,Undergrad_Students,Postgrad_Students,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank,Region,Faculty_Count,Student_Faculty_Ratio,Country_Avg_International_Ratio,Research_Impact_Score,Employability_Score,Internationalization_Score,Research_Productivity_Index,Citation_Total_Score,Academic_Excellence_Score,University_Performance_Index,H_Index,Publication_Count,clean_name
U0495,901-950,Qassim University,SA,Saudi Arabia,XL,FC,2,A,7.2,2.9,30.6,513.0,1.6,701.0,8.2,8.8,701.0,37222,7%,36.255,36.0,20.4,42.8,21.6,80.2,2024,898.0,9,424,39.26633333,13.54444444,721.5555556,62.0,38.0,3.8,50.0,29826,18612,11214.0,2.901,52630.5,11.0,95.5,7.5,10,801-1000,825.5,11.5,Asia,4.148,12.0,0.5,33.84,5.85,53.5,3.68,0.269130869,0.0,0.228292357,83.0,6237.0,qassim university
U0496,901-950,Robert Gordon University,UK,United Kingdom,M,CO,3,A,3.5,11.7,5.4,701.0,4.9,701.0,1.5,9.8,701.0,10095,26%,32.983,17.5,13.2,53.4,36.0,87.1,2024,304.0,69,1,50.81734058,25.96666667,455.4347826,60.0,40.0,32.32020934,75.0,11720,6676,5044.0,2.387,52630.5,33.0,95.5,7.5,10,801-1000,828.0,11.5,Europe,518.0,19.0,1.869565217,37.32,10.75,70.3,3.98,0.116298701,0.0,0.186118981,132.0,2577.0,robert gordon university
U0497,901-950,Samara National Research University (Samara University),RU,Russia,M,CO,4,A,4.6,2.2,81.8,130.0,2.3,701.0,1.1,10.6,701.0,9198,14%,22.791,27.5,14.8,21.8,26.6,37.1,2024,541.0,24,95,29.87127083,13.9625,1185.041667,48.0,52.0,3.7,100.0,22317,11755,10197.5,1.068,52630.5,10.5,95.5,7.5,10,581-590,9.5,11.5,Europe,1.286,7.0,0.5,19.0,6.4,8.55,2.7,0.162137862,0.0,0.104852503,68.0,3278.0,samara national research university samara university
U0498,901-950,University of Central Lancashire,UK,United Kingdom,L,CO,3,A,5.9,5.8,11.5,701.0,4.4,701.0,16.7,8.9,701.0,21525,28%,32.515,18.3,13.8,51.9,34.3,82.3,2024,304.0,69,1,50.81734058,25.96666667,455.4347826,58.0,42.0,7.1,75.0,24094,13261,10833.0,4.684,52630.5,34.46882854,95.5,7.5,10,801-1000,1100.5,11.5,Europe,1.443,14.0,1.869565217,36.66,7.35,59.3,1.69,0.116298701,0.0,0.182360659,111.0,2753.0,university of central lancashire
U0499,901-950,University of Denver,US,United States,M,CO,5,B,5.3,7.5,45.7,343.0,11.1,701.0,3.3,23.1,363.0,10367,5%,42.6495,39.9,24.3,64.2,55.8,31.2,2024,673.0,98,2,56.8432449,31.06530612,362.2653061,60.0,40.0,12.7,100.0,10234,7170,3064.0,599.0,52630.5,5.0,95.5,7.5,10,751-800,1100.5,11.5,North America,1.0,10.0,0.5,48.24,15.3,4.0,1001.0,0.55024975,362.4,0.447335045,73.0,2087.0,university of denver
U0500,901-950,University of Murcia,ES,Spain,L,FC,5,A,12.6,2.8,32.5,489.0,5.7,701.0,42.0,5.5,701.0,28862,5%,34.3585,25.2,19.9,52.6,61.4,38.9,2024,673.0,9,313,39.44405556,25.51111111,727.0,62.0,38.0,14.9,75.0,26754,17212,9542.0,1.72,52630.5,5.0,95.5,7.5,10,801-1000,1100.5,11.5,Europe,2.466,11.0,0.5,39.52,4.15,6.0,225.8718573,0.63807621,602.7,0.465657637,129.0,14865.0,university of murcia
U0501,951-1000,"Birla Institute of Technology and Science, Pilani",IN,India,L,CO,5,B,9.1,14.4,7.3,701.0,17.3,596.0,2.2,24.0,352.0,16339,2%,35.292,23.7,17.0,67.4,31.7,25.1,2024,898.0,16,218,38.128875,14.1375,783.3125,0.888888889,52.46675226,40.39920787,100.0,16157,10945,5212.0,289.0,52630.5,3.0,95.5,7.5,10,1001-1200,818.0,11.5,Asia,776.0,18.0,0.5,47.24,19.2,2.2,3.51,0.232867133,0.0,0.252171223,181.0,3285.0,birla institute of technology and science pilani
U0502,951-1000,George Mason University,US,United States,L,CO,4,A,9.0,6.0,12.6,701.0,11.4,701.0,17.2,14.5,581.0,32959,11%,48.519,29.7,27.5,82.7,62.0,59.9,2024,460.0,98,2,56.8432449,31.06530612,362.2653061,53.0,47.0,42.6,100.0,32918,23064,9854.0,2.737,52630.5,13.0,95.5,7.5,10,801-1000,975.5,11.5,North America,2.011,15.0,0.5,60.62,10.25,11.5,278.4684237,0.401298701,592.6,0.520994085,177.0,8917.0,george mason university
U0503,951-1000,Gifu University,JP,Japan,M,FC,4,A,6.3,2.5,67.4,196.0,7.3,701.0,1.1,7.9,701.0,7134,4%,29.4535,30.6,23.2,29.5,65.9,29.5,2024,1001.0,37,29,35.23782432,24.98108108,1011.972973,38.0,62.0,14.3,100.0,7064,5160,1904.0,290.0,52630.5,4.0,95.5,7.5,10,601-650,1100.5,11.5,Asia,1.003,7.0,0.5,26.98,5.2,4.5,714.8554337,0.87018537,616.6,0.471964014,103.0,1994.0,gifu university
U0504,951-1000,Gunma University,JP,Japan,M,FO,4,A,3.8,2.2,82.0,128.0,4.7,701.0,1.0,7.9,701.0,6248,4%,23.0635,28.6,14.2,20.7,57.4,26.7,2024,898.0,37,29,35.23782432,24.98108108,1011.972973,37.0,63.0,9.0,100.0,6155,4926,1229.0,247.0,52630.5,5.0,95.5,7.5,10,701-750,1300.5,11.5,Asia,1.067,6.0,0.5,18.1,5.05,4.1,744.1424555,0.798157398,658.3,0.412505774,97.0,2092.0,gunma university
