university_name,year,rank_display,score,link,country,city,region_x,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,region_y,university_type,qs_rank_2026,the_rank_2026,arwu_rank_2025,qs_score,the_score,arwu_score,qs_academic_rep,qs_employer_rep,qs_faculty_student,qs_citations,qs_intl_faculty,qs_intl_students,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,total_students,intl_students_pct,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources
Aarhus University,2020,145,51,https://www.topuniversities.com/universities/aarhus-university,Denmark,,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11,"2,911",L,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarhus University,2021,147,51,https://www.topuniversities.com/universities/aarhus-university,Denmark,,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11,"2,911",L,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarhus University,2022,155,50.2,https://www.topuniversities.com/universities/aarhus-university,Denmark,Aarhus,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11,"2,911",L,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abai Kazakh National Pedagogical University,2017,501-550,,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/abai-kazakh-national-pedagogical-university_592560cf2aeae70239af55d7_small.jpg,Public,Medium,7,333,L,1.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abai Kazakh National Pedagogical University,2018,491-500,,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/abai-kazakh-national-pedagogical-university_592560cf2aeae70239af55d7_small.jpg,Public,Medium,7,333,L,1.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abai Kazakh National Pedagogical University,2019,481,24.4,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/abai-kazakh-national-pedagogical-university_592560cf2aeae70239af55d7_small.jpg,Public,Medium,7,333,L,1.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abai Kazakh National Pedagogical University,2020,561-570,,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/abai-kazakh-national-pedagogical-university_592560cf2aeae70239af55d7_small.jpg,Public,Medium,7,333,L,1.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abai Kazakh National Pedagogical University,2021,601-650,,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/abai-kazakh-national-pedagogical-university_592560cf2aeae70239af55d7_small.jpg,Public,Medium,7,333,L,1.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abai Kazakh National Pedagogical University,2022,551-560,,https://www.topuniversities.com/universities/abai-kazakh-national-pedagogical-university,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/abai-kazakh-national-pedagogical-university_592560cf2aeae70239af55d7_small.jpg,Public,Medium,7,333,L,1.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberystwyth University,2017,491-500,,https://www.topuniversities.com/universities/aberystwyth-university,United Kingdom,Aberystwyth,Europe,https://www.topuniversities.com/sites/default/files/aberystwyth-university_8_small.jpg,Public,Very High,12,1.392,M,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberystwyth University,2018,481-490,,https://www.topuniversities.com/universities/aberystwyth-university,United Kingdom,Aberystwyth,Europe,https://www.topuniversities.com/sites/default/files/aberystwyth-university_8_small.jpg,Public,Very High,12,1.392,M,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberystwyth University,2019,432,26.5,https://www.topuniversities.com/universities/aberystwyth-university,United Kingdom,Aberystwyth,Europe,https://www.topuniversities.com/sites/default/files/aberystwyth-university_8_small.jpg,Public,Very High,12,1.392,M,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberystwyth University,2020,484,24.5,https://www.topuniversities.com/universities/aberystwyth-university,United Kingdom,Aberystwyth,Europe,https://www.topuniversities.com/sites/default/files/aberystwyth-university_8_small.jpg,Public,Very High,12,1.392,M,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberystwyth University,2021,485,24.6,https://www.topuniversities.com/universities/aberystwyth-university,United Kingdom,Aberystwyth,Europe,https://www.topuniversities.com/sites/default/files/aberystwyth-university_8_small.jpg,Public,Very High,12,1.392,M,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberystwyth University,2022,541-550,,https://www.topuniversities.com/universities/aberystwyth-university,United Kingdom,Aberystwyth,Europe,https://www.topuniversities.com/sites/default/files/aberystwyth-university_8_small.jpg,Public,Very High,12,1.392,M,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abo Akademi University,2017,501-550,,https://www.topuniversities.com/universities/abo-akademi-university,Finland,Turku,Europe,https://www.topuniversities.com/sites/default/files/abo-akademi-university_592560cf2aeae70239af4f7a_small.jpg,Public,Very High,11,551,M,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abo Akademi University,2018,551-600,,https://www.topuniversities.com/universities/abo-akademi-university,Finland,Turku,Europe,https://www.topuniversities.com/sites/default/files/abo-akademi-university_592560cf2aeae70239af4f7a_small.jpg,Public,Very High,11,551,M,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abo Akademi University,2019,531-540,,https://www.topuniversities.com/universities/abo-akademi-university,Finland,Turku,Europe,https://www.topuniversities.com/sites/default/files/abo-akademi-university_592560cf2aeae70239af4f7a_small.jpg,Public,Very High,11,551,M,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abo Akademi University,2020,541-550,,https://www.topuniversities.com/universities/abo-akademi-university,Finland,Turku,Europe,https://www.topuniversities.com/sites/default/files/abo-akademi-university_592560cf2aeae70239af4f7a_small.jpg,Public,Very High,11,551,M,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abo Akademi University,2021,571-580,,https://www.topuniversities.com/universities/abo-akademi-university,Finland,Turku,Europe,https://www.topuniversities.com/sites/default/files/abo-akademi-university_592560cf2aeae70239af4f7a_small.jpg,Public,Very High,11,551,M,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abo Akademi University,2022,601-650,,https://www.topuniversities.com/universities/abo-akademi-university,Finland,Turku,Europe,https://www.topuniversities.com/sites/default/files/abo-akademi-university_592560cf2aeae70239af4f7a_small.jpg,Public,Very High,11,551,M,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi University,2017,701,,https://www.topuniversities.com/universities/abu-dhabi-university,United Arab Emirates,Abu Dhabi,Asia,https://www.topuniversities.com/sites/default/files/abu-dhabi-university_592560cf2aeae70239af4f33_small.jpg,Private,Very High,17,2.426,S,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi University,2018,751-800,,https://www.topuniversities.com/universities/abu-dhabi-university,United Arab Emirates,Abu Dhabi,Asia,https://www.topuniversities.com/sites/default/files/abu-dhabi-university_592560cf2aeae70239af4f33_small.jpg,Private,Very High,17,2.426,S,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi University,2019,701-750,,https://www.topuniversities.com/universities/abu-dhabi-university,United Arab Emirates,Abu Dhabi,Asia,https://www.topuniversities.com/sites/default/files/abu-dhabi-university_592560cf2aeae70239af4f33_small.jpg,Private,Very High,17,2.426,S,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi University,2020,701-750,,https://www.topuniversities.com/universities/abu-dhabi-university,United Arab Emirates,Abu Dhabi,Asia,https://www.topuniversities.com/sites/default/files/abu-dhabi-university_592560cf2aeae70239af4f33_small.jpg,Private,Very High,17,2.426,S,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi University,2021,701-750,,https://www.topuniversities.com/universities/abu-dhabi-university,United Arab Emirates,Abu Dhabi,Asia,https://www.topuniversities.com/sites/default/files/abu-dhabi-university_592560cf2aeae70239af4f33_small.jpg,Private,Very High,17,2.426,S,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi University,2022,701-750,,https://www.topuniversities.com/universities/abu-dhabi-university,United Arab Emirates,Abu Dhabi,Asia,https://www.topuniversities.com/sites/default/files/abu-dhabi-university_592560cf2aeae70239af4f33_small.jpg,Private,Very High,17,2.426,S,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academician Y.A. Buketov Karaganda University,2017,701,,https://www.topuniversities.com/universities/eabuketov-karaganda-state-university,Kazakhstan,Karaganda,Asia,https://www.topuniversities.com/sites/default/files/academician-y.a.-buketov-karaganda-university_592560cf2aeae70239af52e9_small.jpg,Private,High,9,572,M,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academician Y.A. Buketov Karaganda University,2018,651-700,,https://www.topuniversities.com/universities/eabuketov-karaganda-state-university,Kazakhstan,Karaganda,Asia,https://www.topuniversities.com/sites/default/files/academician-y.a.-buketov-karaganda-university_592560cf2aeae70239af52e9_small.jpg,Private,High,9,572,M,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academician Y.A. Buketov Karaganda University,2019,651-700,,https://www.topuniversities.com/universities/eabuketov-karaganda-state-university,Kazakhstan,Karaganda,Asia,https://www.topuniversities.com/sites/default/files/academician-y.a.-buketov-karaganda-university_592560cf2aeae70239af52e9_small.jpg,Private,High,9,572,M,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academician Y.A. Buketov Karaganda University,2020,801-1000,,https://www.topuniversities.com/universities/eabuketov-karaganda-state-university,Kazakhstan,Karaganda,Asia,https://www.topuniversities.com/sites/default/files/academician-y.a.-buketov-karaganda-university_592560cf2aeae70239af52e9_small.jpg,Private,High,9,572,M,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
