uni_id,yr,Total_Students,Intl_Students_Count,Intl_Student_Ratio_pct,Faculty_Count,Faculty_Student_Ratio,Gender_Ratio,Female_Pct,Male_Pct,Degree_Level,UG_Count,PG_Count,Country_Avg_Rank,Univ_Ranked_Count,Best_Univ_Rank,Country_Avg_Score,Country_Avg_Acad_Rep,Country_Avg_Citations,Country_Avg_Intl_Ratio
1339,2022,31819.0,7551.0,23.73110406,4288.0,7.0,50:50:00,50.0,50.0,undergraduate & postgraduate,23167,8652,179.5,3,11.0,84.57,92.72,76.73,16.4
1302,2019,8580.0,343.0,4.0,573.0,14.97382199,54:46:00,54.0,46.0,Undergraduate & Postgraduate,5705,2875,717.12,34,72.0,25.7,25.06,25.25,7.21
3293,2026,4762.0,95.0,2.0,238.0,20.00840336,55:45:00  ,55.4283739,44.5716261,UNDERGRADUATE & POSTGRADUATE,3284,1478,1100.42,163,123.0,34.76,27.22,36.06,6.8
427,2024,17562.0,4108.0,23.39005127,1761.0,9.97274276,35 : 65,35.3022056,64.6977944, Undergraduate & Postgraduate,11209,6353,896.36,22,230.0,44.97,15.58,3.05,20.67
2617,2026,5282.0,106.0,2.0,282.0,18.73049645,56:44:00,55.58183347,44.41816653,Undergraduate & Postgraduate  ,3654,1628,1036.01,57,354.0,34.64,26.97,32.47,4.69
2491,2020,30.69,535.0,1743.23884,50.0,22.0,54:46:00,54.47220691,45.52779309, Undergraduate & Postgraduate,18,13,551.54,63,149.0,41.26,41.11,40.54,51.51
1759,2023,3662.0,0.0,0.0,267.0,13.71535581,60:40:00,60.0,40.0, UNDERGRADUATE & POSTGRADUATE,2544,1118,1118.23,122,23.0,25.68,20.22,18.13,5.52
2011,2020,23706.0,10459.0,44.11963216,2634.0,9.0,52:48:00,52.06492691,47.93507309,Undergraduate & Postgraduate,19921,3785,468.53,116,4.0,43.02,42.93,41.34,22.49
1470,2017,40121.0,8024.0,20.0,1682.0,23.85315101,60:40:00,60.0,40.0,Undergraduate & Postgraduate,30660,9461,420.63,67,33.0,37.8,37.48,37.57,17.07
1775,2020,26521.0,8051.0,30.35707553,1193.0,21.0, 55:45:00,55.0,45.0,Undergraduate & Postgraduate,15676,10845,446.05,32,29.0,40.55,40.36,39.48,13.23
689,2021,16105.0,805.0,5.0,1663.0,9.684305472,57:43:00,57.0,43.0,Undergraduate & Postgraduate,10235,5870,518.5,11,177.0,32.81,34.1,32.26,377.95
