name,slug,country,city,founded,type,students,website
Academy of Live and Recorded Arts,academy-of-live-and-recorded-arts,United Kingdom,,1979,,,
Academy of Mary Immaculate,academy-of-mary-immaculate,,,,,,
Academy of Media Arts Cologne,academy-of-media-arts-cologne,Germany,,1990,,232,
Academy of Municipal Administration,academy-of-municipal-administration,Ukraine,,1995,,,
Academy of Music in Katowice,academy-of-music-in-katowice,,,,,,
Academy of Music in Łódź,academy-of-music-in-odz,,,,,,
"Academy of Music, Dance and Fine Arts",academy-of-music-dance-and-fine-arts,Bulgaria,,1964,,,
"Academy of Music, Theatre and Fine Arts of Moldova",academy-of-music-theatre-and-fine-arts-of-moldova,Moldova,Chișinău,1940,,,
Academy of Notre Dame de Namur,academy-of-notre-dame-de-namur,,,,,,
Academy of Pedagogical Sciences of the USSR,academy-of-pedagogical-sciences-of-the-ussr,,,,,,
Academy of Performing Arts,academy-of-performing-arts,Czech Republic,,1945,,1470,
Academy of Performing Arts Baden-Wuerttemberg,academy-of-performing-arts-baden-wuerttemberg,Germany,Ludwigsburg,2007,,55,
Academy of Performing Arts in Bratislava,academy-of-performing-arts-in-bratislava,Slovakia,Bratislava,1949,,,
Academy of Performing Arts in Sarajevo,academy-of-performing-arts-in-sarajevo,Bosnia and Herzegovina,Sarajevo,1981,,,
Academy of Public Administration,academy-of-public-administration-q28666930,Russia,,,,,
Academy of Public Administration,academy-of-public-administration,Belarus,,1991,,,
Academy of Public Administration and Governance,academy-of-public-administration-and-governance,Vietnam,,1959,,,
Academy of Public Administration of Azerbaijan under the President of the Republic of Azerbaijan,academy-of-public-administration-of-azerbaijan-under-the-president-of-the-republic-of-azerbaijan,Azerbaijan,,1999,,,
Academy of Public Administration of Moldova,academy-of-public-administration-of-moldova,Moldova,Chișinău,1993,,,
Academy of Saumur,academy-of-saumur,France,,1599,,,
Academy of Scientific and Innovative Research,academy-of-scientific-and-innovative-research,India,,2010,,,
Academy of social and media culture in Toruń,academy-of-social-and-media-culture-in-torun,Poland,Toruń,2001,,1500,
Academy of Social Sciences (Poland),academy-of-social-sciences-poland,Poland,Warsaw,1984,,,
Academy of Technical Training,academy-of-technical-training,United Arab Emirates,Dubai,2004,,,
Academy of Technical-Educational Vocational Studies Niš,academy-of-technical-educational-vocational-studies-nis,Serbia,,2019,,,
Academy of the Armed Forces of Uzbekistan,academy-of-the-armed-forces-of-uzbekistan,Uzbekistan,Tashkent,1994,,,
Academy of the Holy Names,academy-of-the-holy-names,,,,,,
"Academy of the Ministry of Interior, in Sofia",academy-of-the-ministry-of-interior-in-sofia,,,,,,
Academy of the Ministry of Internal Affairs,academy-of-the-ministry-of-internal-affairs,Kazakhstan,,1999,,,
Academy of the Ministry of Internal Affairs of Tajikistan,academy-of-the-ministry-of-internal-affairs-of-tajikistan,Tajikistan,,2000,,,
Academy of the Ministry of Internal Affairs of Uzbekistan,academy-of-the-ministry-of-internal-affairs-of-uzbekistan,Uzbekistan,Tashkent,1938,,,
Academy of the Ministry of National Security,academy-of-the-ministry-of-national-security,Azerbaijan,,1998,,,
Academy of the National Guard of the Republic of Kazakhstan,academy-of-the-national-guard-of-the-republic-of-kazakhstan,Kazakhstan,Petropavl,,,,
Academy of the New Church Theological School,academy-of-the-new-church-theological-school,United States,,1879,,,
Academy of the State Border Service of the Republic of Azerbaijan,academy-of-the-state-border-service-of-the-republic-of-azerbaijan,Azerbaijan,,2010,,,
Academy of the State Customs Committee,academy-of-the-state-customs-committee,Azerbaijan,,2012,,,
Academy of Theatre and Dance,academy-of-theatre-and-dance,,,,,,
"Academy of Theatre, Radio, Film and Television",academy-of-theatre-radio-film-and-television,,,,,,
Academy of Vocational Studies Belgrade,academy-of-vocational-studies-belgrade,Serbia,Belgrade,2019,,,
Academy of Vocational Studies Šabac,academy-of-vocational-studies-sabac,Serbia,,2019,,,
Acadia University,acadia-university,Canada,,1838,,3574,
ACAP University College,acap-university-college,Australia,,1983,,,
Acapulco Institute of Technology,acapulco-institute-of-technology,Mexico,Acapulco de Juárez,1975,,,
Accademia Albertina,accademia-albertina,Italy,,1678,,,
Accademia dei Filodrammatici,accademia-dei-filodrammatici,,,,,,
Accademia di Belle Arti di Bari,accademia-di-belle-arti-di-bari,Italy,Bari,1970,,,
Accademia di Belle Arti di Macerata,accademia-di-belle-arti-di-macerata,Italy,,1972,,,
Accademia di Belle Arti di Perugia,accademia-di-belle-arti-di-perugia,Italy,Perugia,1573,,,
Accademia di Belle Arti di Venezia,accademia-di-belle-arti-di-venezia,Italy,Venice,1750,,,
Accademia di belle arti europea dei media,accademia-di-belle-arti-europea-dei-media,Italy,Milan,,,,
Accademia italiana,accademia-italiana,Italy,,1984,,,
Accademia Italiana Skopje,accademia-italiana-skopje,North Macedonia,,2006,,,
Accademia Italiana Thailand,accademia-italiana-thailand,Thailand,Bangkok,2006,,,
Accademia Jacopo Napoli,accademia-jacopo-napoli,Italy,,1987,,,
Accademia Nazionale d'Arte Drammatica Silvio D'Amico,accademia-nazionale-darte-drammatica-silvio-damico,Italy,,1936,,,
