University_Name,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name
National University of Uzbekistan,Uzbekistan,Asia,2026,721.0,2.0,,29.7,38.9,7.5,1.9,92.9,6.8,21.3,30.4,43.5,Uzbekistan,National University of Uzbekistan
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,Asia,2026,721.0,7.0,,7.4,15.1,62.8,66.0,,,19.0,3.8,10.4,Pakistan,Pakistan Institute of Engineering and Applied Sciences (PIEAS)
Prince Sattam Bin Abdulaziz University,Saudi Arabia,Asia,2026,721.0,10.0,,6.4,3.1,69.3,19.6,99.6,15.5,93.6,3.0,36.3,Saudi Arabia,Prince Sattam Bin Abdulaziz University
Taras Shevchenko National University of Kyiv,Ukraine,Europe,2026,721.0,1.0,,21.9,50.1,30.7,3.9,1.7,3.7,37.6,72.0,37.9,Ukraine,Taras Shevchenko National University of Kyiv
Temple University,United States,Americas,2026,721.0,102.0,,16.8,15.0,37.9,24.6,4.4,11.6,64.7,38.7,72.1,United States,Temple University
University of Cincinnati,United States,Americas,2026,721.0,102.0,,15.1,12.3,24.8,31.9,6.2,23.7,66.9,47.9,63.2,United States,University of Cincinnati
University of Patras,Greece,Europe,2026,721.0,5.0,,16.8,25.7,4.2,44.3,2.3,9.2,66.2,4.7,65.3,Greece,University of Patras
UWE Bristol (University of the West of England),United Kingdom,Europe,2026,721.0,62.0,,10.6,15.1,8.9,25.2,66.1,88.9,72.4,4.2,53.3,United Kingdom,UWE Bristol (University of the West of England)
Auezov South Kazakhstan State University (SKSU),Kazakhstan,Asia,2026,731.0,6.0,,21.2,33.9,91.6,1.1,20.1,29.3,5.0,4.1,35.3,Kazakhstan,Auezov South Kazakhstan State University (SKSU)
Far Eastern Federal University,Russia,Europe,2026,731.0,17.0,,13.9,9.5,98.7,2.6,16.7,79.3,48.0,7.1,37.5,Russia,Far Eastern Federal University
National Institute of Technology Tiruchirappalli,India,Asia,2026,731.0,23.0,,4.1,5.3,10.6,89.5,,3.5,38.2,8.8,37.4,India,National Institute of Technology Tiruchirappalli
Princess Nourah bint Abdulrahman University,Saudi Arabia,Asia,2026,731.0,11.0,,18.3,24.1,28.7,7.2,83.8,31.3,74.6,2.8,49.8,Saudi Arabia,Princess Nourah bint Abdulrahman University
SEGi University,Malaysia,Asia,2026,731.0,19.0,,6.7,12.6,91.2,2.1,94.9,100.0,6.6,9.4,30.7,Malaysia,SEGi University
"Sofia University ""St. Kliment Ohridski""",Bulgaria,Europe,2026,731.0,1.0,,16.0,25.2,55.0,3.1,4.0,15.6,55.7,88.6,49.4,Bulgaria,"Sofia University ""St. Kliment Ohridski"""
Texas Tech University,United States,Americas,2026,731.0,104.0,,14.5,26.9,10.0,18.8,63.8,17.4,70.6,28.1,66.1,United States,Texas Tech University
Universidad Central de Venezuela - UCV,Venezuela (Bolivarian Republic of),Americas,2026,731.0,1.0,,28.9,45.3,41.5,1.4,3.3,2.0,13.3,57.5,36.3,Venezuela (Bolivarian Republic of),Universidad Central de Venezuela - UCV
Université de Tunis El Manar,Tunisia,Africa,2026,731.0,1.0,,15.8,6.2,39.9,9.2,61.9,16.7,82.5,61.3,56.7,Tunisia,Université de Tunis El Manar
Yildiz Technical University,Türkiye,Asia,2026,731.0,10.0,,13.4,43.2,5.6,26.0,9.5,27.8,55.4,26.7,63.7,Türkiye,Yildiz Technical University
Aberystwyth University,United Kingdom,Europe,2026,741.0,63.0,,12.8,11.5,27.6,23.9,61.3,42.0,63.3,11.0,63.1,United Kingdom,Aberystwyth University
Adam Mickiewicz University,Poland,Europe,2026,741.0,4.0,,24.1,12.3,45.7,8.8,10.9,15.6,88.7,15.8,63.6,Poland,Adam Mickiewicz University
Brandeis University,United States,Americas,2026,741.0,105.0,,12.8,9.7,50.2,25.0,33.0,83.4,24.7,30.5,28.8,United States,Brandeis University
Kaunas University of Technology,Lithuania,Europe,2026,741.0,2.0,,15.1,22.0,37.9,17.5,4.8,40.0,68.6,29.0,58.9,Lithuania,Kaunas University of Technology
Plekhanov Russian University of Economics,Russia,Europe,2026,741.0,18.0,,15.5,30.1,57.8,3.3,4.1,26.7,61.2,55.2,42.4,Russia,Plekhanov Russian University of Economics
Shahid Beheshti University (SBU),Iran (Islamic Republic of),Asia,2026,741.0,8.0,,11.8,22.5,6.0,49.4,5.2,24.7,68.0,24.2,33.6,Iran (Islamic Republic of),Shahid Beheshti University (SBU)
Syracuse University,United States,Americas,2026,741.0,105.0,,17.0,18.3,16.1,17.0,25.2,45.5,56.7,58.0,60.9,United States,Syracuse University
The Catholic University of Korea,South Korea,Asia,2026,741.0,23.0,,7.9,6.0,97.4,31.0,4.7,52.9,14.3,1.9,44.8,South Korea,The Catholic University of Korea
University of Baghdad,Iraq,Asia,2026,741.0,1.0,,18.1,41.2,31.1,2.5,2.8,1.2,69.0,85.6,43.4,Iraq,University of Baghdad
University of Malta,Malta,Europe,2026,741.0,1.0,,9.3,7.4,47.7,10.1,33.1,42.2,76.8,98.1,38.2,Malta,University of Malta
University of Messina,Italy,Europe,2026,741.0,22.0,,12.6,2.9,18.6,55.5,1.4,17.8,78.6,1.6,61.5,Italy,University of Messina
University of Pecs,Hungary,Europe,2026,741.0,5.0,,20.1,20.1,52.3,5.0,12.8,77.3,42.4,12.8,53.7,Hungary,University of Pecs
Victoria University,Australia,Oceania,2026,741.0,32.0,,9.2,10.1,3.4,48.7,23.6,74.6,48.9,9.7,59.3,Australia,Victoria University
Vytautas Magnus University,Lithuania,Europe,2026,741.0,2.0,,14.0,19.9,44.2,5.0,46.8,70.8,62.8,26.8,47.0,Lithuania,Vytautas Magnus University
Martin-Luther-Universität Halle-Wittenberg,Germany,Europe,2026,751.0,41.0,,15.1,9.9,89.4,11.2,,17.0,86.5,6.3,47.1,Germany,Martin-Luther-Universität Halle-Wittenberg
Université de Lorraine,France,Europe,2026,751.0,20.0,,19.2,5.0,8.6,24.7,40.5,40.0,95.6,22.3,54.5,France,Université de Lorraine
University of New Mexico,United States,Americas,2026,751.0,107.0,,14.2,16.9,57.3,20.4,11.0,7.1,83.6,11.4,53.8,United States,University of New Mexico
University of Oregon,United States,Americas,2026,751.0,107.0,,23.2,22.5,14.7,25.3,10.5,5.4,53.8,36.9,55.7,United States,University of Oregon
University of Trieste,Italy,Europe,2026,751.0,23.0,,16.1,7.8,5.5,53.8,11.6,16.8,70.8,18.7,36.4,Italy,University of Trieste
Al-Ahliyya Amman University,Jordan,Asia,2026,761.0,3.0,,17.1,21.0,15.8,6.4,93.7,100.0,32.7,6.0,38.2,Jordan,Al-Ahliyya Amman University
Babes-Bolyai University,Romania,Europe,2026,761.0,1.0,,21.9,34.9,8.7,8.0,18.9,7.1,83.9,35.9,65.0,Romania,Babes-Bolyai University
Bangladesh University of Engineering and Technology,Bangladesh,Asia,2026,761.0,2.0,,21.3,42.5,15.6,30.8,,,23.0,29.9,30.0,Bangladesh,Bangladesh University of Engineering and Technology
Czech University of Life Sciences in Prague,Czechia,Europe,2026,761.0,7.0,,11.6,8.7,13.7,22.3,36.0,82.5,85.4,5.0,72.5,Czechia,Czech University of Life Sciences in Prague
"Government College University, Faisalabad",Pakistan,Asia,2026,761.0,8.0,,4.2,7.1,7.6,72.2,1.3,1.1,77.6,33.5,32.2,Pakistan,"Government College University, Faisalabad"
"Jamia Millia Islamia, New Delhi",India,Asia,2026,761.0,24.0,,13.0,5.6,40.1,47.7,4.2,10.7,60.5,6.3,49.7,India,"Jamia Millia Islamia, New Delhi"
Khoja Akhmet Yassawi International Kazakh-Turkish University,Kazakhstan,Asia,2026,761.0,7.0,,19.1,46.3,57.5,1.3,27.8,45.5,4.1,10.7,30.1,Kazakhstan,Khoja Akhmet Yassawi International Kazakh-Turkish University
New Jersey Institute of Technology (NJIT),United States,Americas,2026,761.0,109.0,,7.5,19.8,13.2,40.6,36.0,65.4,37.7,10.4,54.2,United States,New Jersey Institute of Technology (NJIT)
Riga Technical University,Latvia,Europe,2026,761.0,1.0,,12.6,31.9,31.7,6.0,22.1,84.9,38.2,40.5,47.6,Latvia,Riga Technical University
University of Belgrade,Serbia,Europe,2026,761.0,1.0,,23.6,14.0,6.5,10.1,3.6,7.4,94.5,98.4,52.1,Serbia,University of Belgrade
University of Bucharest,Romania,Europe,2026,761.0,1.0,,21.1,35.9,9.0,8.3,3.5,4.8,72.3,67.9,60.8,Romania,University of Bucharest
University of Nizwa,Oman,Asia,2026,761.0,2.0,,11.0,12.8,47.5,13.0,100.0,26.2,26.1,73.5,19.0,Oman,University of Nizwa
"Vietnam National University, Hanoi",Viet Nam,Asia,2026,761.0,3.0,,24.3,33.0,9.2,4.3,6.6,1.3,68.3,68.7,69.4,Viet Nam,"Vietnam National University, Hanoi"
Holy Spirit University of Kaslik,Lebanon,Asia,2026,771.0,6.0,,11.1,20.7,70.4,3.8,99.4,52.2,9.6,7.3,38.0,Lebanon,Holy Spirit University of Kaslik
Philipps-Universität Marburg,Germany,Europe,2026,771.0,42.0,,16.3,15.1,7.4,39.6,19.0,31.9,65.9,8.9,47.6,Germany,Philipps-Universität Marburg
Rovira i Virgili University,Spain,Europe,2026,771.0,22.0,,9.5,4.5,19.9,48.0,9.8,28.4,82.2,1.8,65.0,Spain,Rovira i Virgili University
Rutgers University - Newark,United States,Americas,2026,771.0,110.0,,13.7,14.2,26.1,26.0,31.2,44.8,26.9,44.6,61.2,United States,Rutgers University - Newark
Thapar Institute of Engineering & Technology,India,Asia,2026,771.0,25.0,,4.0,9.3,14.3,71.2,17.1,4.7,33.7,11.6,58.5,India,Thapar Institute of Engineering & Technology
Universidad de Palermo,Argentina,Americas,2026,771.0,5.0,,15.8,16.0,96.0,1.1,42.0,94.3,3.6,10.1,,Argentina,Universidad de Palermo
University of Calcutta,India,Asia,2026,771.0,25.0,,19.7,11.1,7.7,33.9,31.3,1.3,57.0,61.6,34.4,India,University of Calcutta
University of Maynooth,Ireland,Europe,2026,771.0,7.0,,16.6,13.1,14.2,21.0,91.2,32.2,45.1,16.3,52.3,Ireland,University of Maynooth
Alexandria University,Egypt,Africa,2026,781.0,4.0,,32.7,24.2,7.2,3.5,1.9,13.6,80.7,33.0,56.6,Egypt,Alexandria University
Carleton University,Canada,Americas,2026,781.0,25.0,,15.6,16.8,7.3,18.6,17.6,56.9,74.9,43.1,61.1,Canada,Carleton University
Georgia State University,United States,Americas,2026,781.0,111.0,,14.8,29.1,6.0,33.2,6.6,18.9,64.6,29.0,47.3,United States,Georgia State University
Hong Kong Metropolitan University,"Hong Kong SAR, China",Asia,2026,781.0,9.0,,26.5,7.1,4.2,9.7,90.3,92.9,11.2,29.3,36.6,"Hong Kong SAR, China",Hong Kong Metropolitan University
Kuwait University,Kuwait,Asia,2026,781.0,2.0,,20.9,17.5,9.4,5.5,24.1,32.0,55.1,97.1,58.3,Kuwait,Kuwait University
Technological University of Dublin,Ireland,Europe,2026,781.0,8.0,,17.7,22.4,18.0,6.1,49.8,63.7,53.7,22.6,58.7,Ireland,Technological University of Dublin
Universidad de Alicante,Spain,Europe,2026,781.0,23.0,,21.1,11.5,36.0,14.2,11.5,21.4,79.3,10.4,70.9,Spain,Universidad de Alicante
Universidad de Antioquia,Colombia,Americas,2026,781.0,4.0,,39.7,24.1,5.9,7.1,4.9,,55.7,26.7,45.5,Colombia,Universidad de Antioquia
Universidad del Rosario,Colombia,Americas,2026,781.0,4.0,,23.8,32.7,35.1,4.4,9.8,5.8,31.2,48.5,58.2,Colombia,Universidad del Rosario
"Universidade Católica Portuguesa, UCP",Portugal,Europe,2026,781.0,8.0,,16.5,31.2,14.1,12.9,17.1,58.3,33.8,57.7,47.9,Portugal,"Universidade Católica Portuguesa, UCP"
University of Kentucky,United States,Americas,2026,781.0,111.0,,15.0,15.0,19.2,32.1,18.2,5.7,77.3,24.4,59.6,United States,University of Kentucky
University of Mons,Belgium,Europe,2026,781.0,9.0,,7.0,8.1,5.2,53.2,40.9,47.0,43.6,7.3,54.4,Belgium,University of Mons
V.N. Karazin Kharkiv National University,Ukraine,Europe,2026,781.0,2.0,,14.3,30.2,70.5,1.9,4.4,67.8,35.2,4.6,46.2,Ukraine,V.N. Karazin Kharkiv National University
Wayne State University,United States,Americas,2026,781.0,111.0,,9.0,6.8,70.3,18.0,17.9,10.5,69.8,34.1,66.9,United States,Wayne State University
Applied Science Private University - Jordan,Jordan,Asia,2026,791.0,4.0,,16.4,27.8,30.0,7.4,36.3,82.1,44.9,5.9,39.4,Jordan,Applied Science Private University - Jordan
Beijing University of Technology,China (Mainland),Asia,2026,791.0,47.0,,9.0,10.8,41.9,55.4,5.3,2.7,38.4,7.6,33.4,China (Mainland),Beijing University of Technology
Chiba University,Japan,Asia,2026,791.0,17.0,,22.5,12.5,65.8,17.8,11.3,7.9,30.2,6.2,48.7,Japan,Chiba University
Lanzhou University,China (Mainland),Asia,2026,791.0,47.0,,9.4,5.3,43.4,47.7,3.0,2.2,69.6,11.1,45.3,China (Mainland),Lanzhou University
Norwegian University of Life Sciences (UMB),Norway,Europe,2026,791.0,5.0,,8.2,8.2,100.0,13.4,,,77.7,25.5,50.8,Norway,Norwegian University of Life Sciences (UMB)
Pontificia Universidad Católica de Valparaíso,Chile,Americas,2026,791.0,6.0,,36.4,29.0,6.8,13.2,15.1,2.6,43.3,12.2,36.9,Chile,Pontificia Universidad Católica de Valparaíso
Universiti Tunku Abdul Rahman (UTAR),Malaysia,Asia,2026,791.0,20.0,,19.4,43.9,19.2,13.4,15.8,8.0,51.7,5.1,57.7,Malaysia,Universiti Tunku Abdul Rahman (UTAR)
Wake Forest University,United States,Americas,2026,791.0,114.0,,7.4,18.9,100.0,11.9,6.2,16.0,38.8,28.3,42.2,United States,Wake Forest University
AGH University of Krakow,Poland,Europe,2026,801.0,5.0,,13.1,30.6,54.7,12.7,4.4,7.3,75.6,4.0,47.4,Poland,AGH University of Krakow
Ahlia University,Bahrain,Asia,2026,801.0,2.0,,18.1,9.9,38.4,10.3,100.0,61.7,11.1,12.1,26.4,Bahrain,Ahlia University
Alfaisal University,Saudi Arabia,Asia,2026,801.0,12.0,,7.9,5.9,31.7,21.8,100.0,96.7,28.1,5.7,31.0,Saudi Arabia,Alfaisal University
Azerbaijan State University of Economics,Azerbaijan,Asia,2026,801.0,2.0,,21.2,37.2,36.7,1.5,32.0,10.7,11.7,51.5,39.2,Azerbaijan,Azerbaijan State University of Economics
Bournemouth University,United Kingdom,Europe,2026,801.0,64.0,,8.0,11.0,8.1,29.4,84.7,47.7,76.3,7.7,43.4,United Kingdom,Bournemouth University
De Montfort University,United Kingdom,Europe,2026,801.0,64.0,,6.4,9.5,6.8,16.7,81.4,96.4,57.1,10.5,64.5,United Kingdom,De Montfort University
Donghua University,China (Mainland),Asia,2026,801.0,49.0,,4.5,4.4,32.4,70.6,2.0,4.2,32.1,5.1,28.5,China (Mainland),Donghua University
Gdansk University of Technology,Poland,Europe,2026,801.0,5.0,,12.0,24.1,31.8,25.5,6.9,7.8,70.0,4.0,64.0,Poland,Gdansk University of Technology
German Jordanian University,Jordan,Asia,2026,801.0,5.0,,14.6,28.7,34.6,12.7,85.3,23.9,18.3,11.3,22.1,Jordan,German Jordanian University
IIT Gandhinagar,India,Asia,2026,801.0,27.0,,7.0,9.1,51.9,53.2,2.7,2.2,20.1,1.9,42.3,India,IIT Gandhinagar
Instituto Tecnológico Autonomo de México (ITAM),Mexico,Americas,2026,801.0,4.0,,21.5,40.0,22.3,2.7,51.1,2.2,8.7,80.0,24.6,Mexico,Instituto Tecnológico Autonomo de México (ITAM)
Keele University,United Kingdom,Europe,2026,801.0,64.0,,8.5,8.0,21.3,28.5,60.9,50.7,66.4,10.1,39.4,United Kingdom,Keele University
Middlesex University,United Kingdom,Europe,2026,801.0,64.0,,7.5,9.3,11.3,14.3,88.6,99.7,56.5,24.6,40.0,United Kingdom,Middlesex University
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,Europe,2026,801.0,3.0,,18.4,49.0,38.5,2.1,1.3,3.0,22.7,48.8,37.2,Ukraine,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"""
Northwest Agriculture and Forestry University,China (Mainland),Asia,2026,801.0,49.0,,5.2,2.9,35.0,61.5,,2.0,70.6,5.1,39.0,China (Mainland),Northwest Agriculture and Forestry University
Ocean University of China,China (Mainland),Asia,2026,801.0,49.0,,6.3,5.8,9.6,72.1,4.0,2.6,49.8,3.9,41.5,China (Mainland),Ocean University of China
Perugia University,Italy,Europe,2026,801.0,24.0,,12.0,5.2,5.0,53.0,8.8,10.0,71.5,5.2,49.3,Italy,Perugia University
Politecnico di Bari,Italy,Europe,2026,801.0,24.0,,9.8,9.0,13.1,64.7,6.3,13.1,47.6,3.7,27.4,Italy,Politecnico di Bari
Qassim University,Saudi Arabia,Asia,2026,801.0,12.0,,15.5,6.5,47.0,3.8,100.0,25.1,72.1,3.0,52.2,Saudi Arabia,Qassim University
Soochow University,China (Mainland),Asia,2026,801.0,49.0,,9.2,8.2,25.8,57.3,3.4,2.4,51.1,24.0,35.6,China (Mainland),Soochow University
"The New School, New York City and Paris",United States,Americas,2026,801.0,115.0,,20.4,17.9,47.6,4.6,8.2,97.9,21.1,24.9,24.1,United States,"The New School, New York City and Paris"
Tokyo University of Science (RIKADAI),Japan,Asia,2026,801.0,18.0,,11.5,57.5,12.1,16.3,15.1,7.2,22.6,49.0,46.5,Japan,Tokyo University of Science (RIKADAI)
Universidad de la Habana,Cuba,Americas,2026,801.0,1.0,,19.9,17.8,71.0,2.4,3.3,6.9,19.3,86.0,32.2,Cuba,Universidad de la Habana
Universidad de Montevideo,Uruguay,Americas,2026,801.0,2.0,,24.9,25.8,81.2,1.4,27.0,6.1,7.9,13.4,11.7,Uruguay,Universidad de Montevideo
Universidad de San Francisco de Quito,Ecuador,Americas,2026,801.0,1.0,,25.0,18.2,41.4,4.6,57.2,2.9,32.1,12.5,54.8,Ecuador,Universidad de San Francisco de Quito
Universidade de Brasilia (UnB),Brazil,Americas,2026,801.0,8.0,,34.8,10.8,9.0,8.3,12.8,2.1,63.7,36.3,66.6,Brazil,Universidade de Brasilia (UnB)
Universidade Federal de Santa Catarina,Brazil,Americas,2026,801.0,8.0,,26.1,8.3,25.2,15.8,5.9,4.0,64.4,23.7,65.2,Brazil,Universidade Federal de Santa Catarina
Universidade Federal de São Paulo (UNIFESP),Brazil,Americas,2026,801.0,8.0,,14.1,8.8,97.9,10.4,6.1,2.2,49.5,3.6,61.8,Brazil,Universidade Federal de São Paulo (UNIFESP)
Universita' degli studi di Salerno,Italy,Europe,2026,801.0,24.0,,12.3,6.1,9.6,46.9,4.4,2.6,85.5,5.4,58.4,Italy,Universita' degli studi di Salerno
Universita' Politecnica delle Marche - UNIVPM,Italy,Europe,2026,801.0,24.0,,8.0,5.2,17.1,55.3,8.6,11.6,77.4,3.9,57.3,Italy,Universita' Politecnica delle Marche - UNIVPM
Università  degli Studi di Palermo,Italy,Europe,2026,801.0,24.0,,17.8,4.8,7.1,45.0,3.3,3.8,84.0,6.4,44.3,Italy,Università  degli Studi di Palermo
Universität Duisburg-Essen,Germany,Europe,2026,801.0,43.0,,16.1,8.1,21.9,15.3,33.0,52.7,90.5,16.9,44.9,Germany,Universität Duisburg-Essen
Universiti Malaysia Terengganu (UMT),Malaysia,Asia,2026,801.0,21.0,,16.7,8.2,18.6,28.9,23.6,30.3,58.9,5.0,58.2,Malaysia,Universiti Malaysia Terengganu (UMT)
University of Bari,Italy,Europe,2026,801.0,24.0,,16.8,5.3,7.4,43.1,6.9,4.0,80.7,12.2,56.3,Italy,University of Bari
University of Brighton,United Kingdom,Europe,2026,801.0,64.0,,9.6,9.7,12.4,24.9,64.9,68.1,73.1,11.5,39.1,United Kingdom,University of Brighton
University of Engineering & Technology (UET) Lahore,Pakistan,Asia,2026,801.0,9.0,,11.1,49.1,20.4,15.1,,2.3,56.5,54.1,40.7,Pakistan,University of Engineering & Technology (UET) Lahore
University of Greenwich,United Kingdom,Europe,2026,801.0,64.0,,6.2,7.0,5.2,15.2,94.0,99.6,75.8,19.7,44.9,United Kingdom,University of Greenwich
University of Hyderabad,India,Asia,2026,801.0,27.0,,17.7,4.6,20.7,54.5,,2.6,34.0,3.4,42.1,India,University of Hyderabad
University of Latvia,Latvia,Europe,2026,801.0,2.0,,14.5,22.8,10.0,10.4,16.1,10.0,66.6,92.0,56.0,Latvia,University of Latvia
University of Lincoln,United Kingdom,Europe,2026,801.0,64.0,,8.0,9.3,13.0,14.6,84.8,73.7,73.7,6.0,63.8,United Kingdom,University of Lincoln
"University of Maryland, Baltimore",United States,Americas,2026,801.0,115.0,,7.6,2.3,100.0,22.5,22.1,10.2,45.7,2.3,41.3,United States,"University of Maryland, Baltimore"
"University of Maryland, Baltimore County",United States,Americas,2026,801.0,115.0,,13.6,8.2,18.9,20.0,72.9,50.8,45.4,10.3,66.0,United States,"University of Maryland, Baltimore County"
University of Modena and Reggio Emilia,Italy,Europe,2026,801.0,24.0,,12.3,7.6,4.6,56.7,4.8,7.5,55.1,20.3,54.4,Italy,University of Modena and Reggio Emilia
University of Namur,Belgium,Europe,2026,801.0,10.0,,6.4,8.8,5.8,44.4,37.2,59.3,47.5,10.3,53.4,Belgium,University of Namur
University of Ulsan,South Korea,Asia,2026,801.0,24.0,,6.0,3.8,60.2,50.1,2.7,3.6,29.1,6.4,44.2,South Korea,University of Ulsan
University of Westminster,United Kingdom,Europe,2026,801.0,64.0,,12.3,11.4,7.1,9.0,85.2,99.2,37.6,34.2,40.3,United Kingdom,University of Westminster
University of Wroclaw,Poland,Europe,2026,801.0,5.0,,20.6,22.0,45.0,6.9,7.2,15.6,63.2,18.5,45.3,Poland,University of Wroclaw
Vietnam National University - Ho Chi Minh City (VNU-HCM),Viet Nam,Asia,2026,801.0,4.0,,29.1,44.7,7.1,3.9,7.3,1.2,46.8,34.4,45.1,Viet Nam,Vietnam National University - Ho Chi Minh City (VNU-HCM)
Zurich University of Applied Sciences (ZHAW),Switzerland,Europe,2026,801.0,10.0,,7.2,12.5,81.1,5.0,73.9,25.1,43.1,7.4,55.1,Switzerland,Zurich University of Applied Sciences (ZHAW)
Addis Ababa University,Ethiopia,Africa,2026,851.0,1.0,,7.8,12.1,65.3,2.5,,,63.8,96.9,41.7,Ethiopia,Addis Ababa University
Altai State University,Russia,Europe,2026,851.0,19.0,,12.9,7.0,90.7,1.9,8.6,71.3,18.3,2.0,46.2,Russia,Altai State University
Auburn University,United States,Americas,2026,851.0,118.0,,11.6,17.6,10.7,24.3,58.1,10.1,57.2,29.6,50.1,United States,Auburn University
Australian Catholic University,Australia,Oceania,2026,851.0,33.0,,12.0,11.8,8.0,19.4,86.4,61.7,35.6,1.7,49.3,Australia,Australian Catholic University
Azerbaijan State Oil and Industry University,Azerbaijan,Asia,2026,851.0,3.0,,13.1,19.0,73.3,1.5,46.8,9.7,8.5,45.0,31.0,Azerbaijan,Azerbaijan State Oil and Industry University
Azerbaijan Technical University,Azerbaijan,Asia,2026,851.0,3.0,,19.1,25.5,82.2,1.4,13.9,13.4,4.2,11.6,27.9,Azerbaijan,Azerbaijan Technical University
Beijing Jiaotong University,China (Mainland),Asia,2026,851.0,53.0,,12.3,16.8,31.4,34.4,4.9,17.0,46.1,13.5,30.8,China (Mainland),Beijing Jiaotong University
Belarusian National Technical University,Belarus,Europe,2026,851.0,2.0,,16.6,41.3,64.6,1.0,2.6,66.9,3.2,7.5,,Belarus,Belarusian National Technical University
BINUS UNIVERSITY (Bina Nusantara University),Indonesia,Asia,2026,851.0,10.0,,20.1,33.3,28.5,4.3,51.5,8.7,14.4,20.6,41.1,Indonesia,BINUS UNIVERSITY (Bina Nusantara University)
Catania University,Italy,Europe,2026,851.0,31.0,,17.5,6.2,8.7,35.9,15.4,8.2,74.4,9.4,46.3,Italy,Catania University
China University of Geosciences,China (Mainland),Asia,2026,851.0,53.0,,6.6,5.6,60.4,40.1,1.8,4.5,60.0,1.3,43.3,China (Mainland),China University of Geosciences
Chungnam National University,South Korea,Asia,2026,851.0,25.0,,11.7,10.6,54.7,21.0,8.4,20.0,40.8,6.7,59.9,South Korea,Chungnam National University
Dhofar University,Oman,Asia,2026,851.0,3.0,,10.0,9.5,12.1,19.6,100.0,11.1,35.1,70.3,18.7,Oman,Dhofar University
Edinburgh Napier University,United Kingdom,Europe,2026,851.0,72.0,,7.9,5.5,6.1,21.9,89.5,84.7,59.4,8.6,40.1,United Kingdom,Edinburgh Napier University
Effat University,Saudi Arabia,Asia,2026,851.0,14.0,,4.9,5.4,25.3,22.7,100.0,98.9,18.8,3.4,26.1,Saudi Arabia,Effat University
European University of Lefke (EUL),Northern Cyprus,Asia,2026,851.0,2.0,,6.7,14.4,10.0,11.5,100.0,100.0,13.7,55.0,18.7,Northern Cyprus,European University of Lefke (EUL)
I.M. Sechenov First Moscow State Medical University,Russia,Europe,2026,851.0,19.0,,5.0,10.3,63.9,10.4,12.2,74.0,84.3,2.0,24.3,Russia,I.M. Sechenov First Moscow State Medical University
Imam Muhammad Ibn Saud Islamic University - IMSIU,Saudi Arabia,Asia,2026,851.0,14.0,,16.7,11.9,27.1,2.4,91.9,18.5,56.8,35.6,34.8,Saudi Arabia,Imam Muhammad Ibn Saud Islamic University - IMSIU
Instituto Politécnico Nacional (IPN),Mexico,Americas,2026,851.0,5.0,,26.6,33.9,17.0,3.1,6.7,2.1,47.4,12.7,56.3,Mexico,Instituto Politécnico Nacional (IPN)
Jiangnan University,China (Mainland),Asia,2026,851.0,53.0,,5.8,4.7,15.6,65.0,,,58.3,1.2,30.0,China (Mainland),Jiangnan University
Liverpool John Moores University,United Kingdom,Europe,2026,851.0,72.0,,13.5,12.0,9.6,20.4,53.8,21.2,89.7,11.5,53.9,United Kingdom,Liverpool John Moores University
Louisiana State University,United States,Americas,2026,851.0,118.0,,14.1,12.9,9.6,23.8,22.4,6.9,63.4,36.8,75.4,United States,Louisiana State University
Manipal Academy of Higher Education - Manipal University (MAHE),India,Asia,2026,851.0,29.0,,14.7,11.8,50.3,9.7,2.9,17.4,73.7,13.7,65.0,India,Manipal Academy of Higher Education - Manipal University (MAHE)
Mendel University in Brno,Czechia,Europe,2026,851.0,8.0,,9.8,8.3,68.8,8.3,14.3,38.8,74.1,4.8,49.4,Czechia,Mendel University in Brno
Multimedia University (MMU),Malaysia,Asia,2026,851.0,22.0,,18.9,27.0,17.3,9.2,53.6,56.8,26.9,5.1,39.1,Malaysia,Multimedia University (MMU)
Nantes University,France,Europe,2026,851.0,21.0,,14.8,5.9,12.3,30.6,20.2,25.0,88.1,4.6,48.3,France,Nantes University
O. P. Jindal Global University (JGU),India,Asia,2026,851.0,29.0,,15.9,29.7,66.8,3.2,34.3,2.1,23.3,3.5,46.7,India,O. P. Jindal Global University (JGU)
Oklahoma State University,United States,Americas,2026,851.0,118.0,,10.6,12.8,12.2,21.3,65.0,12.0,71.4,30.6,50.5,United States,Oklahoma State University
Prince of Songkla University,Thailand,Asia,2026,851.0,6.0,,32.4,13.5,20.4,6.9,7.4,2.7,55.4,5.6,60.9,Thailand,Prince of Songkla University
Tokyo University of Agriculture and Technology,Japan,Asia,2026,851.0,19.0,,15.6,11.2,18.7,40.3,11.6,11.3,42.4,1.7,33.2,Japan,Tokyo University of Agriculture and Technology
Universidad Anahuac,Mexico,Americas,2026,851.0,5.0,,18.0,29.7,60.9,1.4,6.2,5.2,3.7,68.7,25.3,Mexico,Universidad Anahuac
