University_Name,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name
University of Bradford,United Kingdom,Europe,2026,511.0,47.0,31.6,14.0,11.2,9.3,40.3,75.0,99.2,70.5,41.5,70.4,United Kingdom,University of Bradford
Lebanese University,Lebanon,Asia,2026,515.0,2.0,31.5,32.9,55.3,16.0,3.4,52.2,47.2,59.9,38.9,45.2,Lebanon,Lebanese University
Universitas Padjadjaran (UNPAD),Indonesia,Asia,2026,515.0,7.0,31.5,29.9,51.7,55.9,2.2,54.3,4.4,31.8,45.4,59.7,Indonesia,Universitas Padjadjaran (UNPAD)
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,Argentina,Americas,2026,517.0,3.0,31.4,30.2,39.9,100.0,1.2,3.0,14.8,10.5,89.8,26.7,Argentina,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA
University of Stirling,United Kingdom,Europe,2026,517.0,49.0,31.4,16.8,13.1,14.6,38.3,79.5,81.3,62.7,22.4,81.2,United Kingdom,University of Stirling
Kyungpook National University,South Korea,Asia,2026,519.0,15.0,31.3,18.0,20.3,78.5,29.6,18.7,44.6,55.8,15.5,68.3,South Korea,Kyungpook National University
Singapore University of Technology and Design,Singapore,Asia,2026,519.0,4.0,31.3,11.0,11.3,99.3,71.0,,,35.2,5.3,25.0,Singapore,Singapore University of Technology and Design
Universidad Austral - Argentina,Argentina,Americas,2026,519.0,4.0,31.3,29.8,48.9,89.6,2.5,2.9,16.7,13.4,69.9,29.2,Argentina,Universidad Austral - Argentina
University of Electronic Science and Technology of China,China (Mainland),Asia,2026,519.0,37.0,31.3,5.8,16.3,11.3,99.9,4.2,4.4,83.2,11.5,37.6,China (Mainland),University of Electronic Science and Technology of China
Ural Federal University,Russia,Europe,2026,519.0,10.0,31.3,25.8,24.7,98.2,3.5,8.7,49.3,91.0,5.6,54.4,Russia,Ural Federal University
University of Huddersfield,United Kingdom,Europe,2026,524.0,50.0,31.2,17.9,19.0,9.1,36.3,79.7,91.6,74.6,2.2,69.1,United Kingdom,University of Huddersfield
The University of Georgia,United States,Americas,2026,525.0,72.0,31.1,27.9,36.7,14.0,33.0,11.1,8.8,85.0,35.8,65.9,United States,The University of Georgia
Boston College,United States,Americas,2026,526.0,73.0,30.9,29.9,30.2,28.0,26.8,9.8,28.5,47.7,64.8,56.0,United States,Boston College
Chiang Mai University,Thailand,Asia,2026,526.0,3.0,30.9,48.8,30.4,22.0,8.8,5.5,8.7,65.8,28.7,67.6,Thailand,Chiang Mai University
University of Hull,United Kingdom,Europe,2026,526.0,51.0,30.9,13.2,14.3,15.9,36.9,68.3,95.6,70.3,29.5,75.4,United Kingdom,University of Hull
University of Salamanca,Spain,Europe,2026,526.0,16.0,30.9,36.9,23.5,36.8,11.8,10.2,25.9,86.3,33.4,70.8,Spain,University of Salamanca
The Education University of Hong Kong,"Hong Kong SAR, China",Asia,2026,530.0,7.0,30.8,9.4,7.8,71.7,39.7,99.8,68.6,43.4,9.4,35.3,"Hong Kong SAR, China",The Education University of Hong Kong
Universität Bremen,Germany,Europe,2026,530.0,31.0,30.8,25.7,14.2,15.2,39.5,61.4,41.9,86.9,7.6,54.9,Germany,Universität Bremen
University of Genoa,Italy,Europe,2026,530.0,16.0,30.8,28.0,10.6,19.8,52.6,9.2,17.5,83.1,16.6,62.3,Italy,University of Genoa
University of Iowa,United States,Americas,2026,530.0,74.0,30.8,25.5,16.2,50.1,27.4,40.4,8.5,68.7,47.1,61.0,United States,University of Iowa
University of Connecticut,United States,Americas,2026,534.0,75.0,30.7,20.8,14.6,28.1,33.5,54.6,34.9,85.1,40.1,63.4,United States,University of Connecticut
King Khalid University,Saudi Arabia,Asia,2026,535.0,6.0,30.6,25.8,17.6,64.6,7.0,100.0,35.9,84.4,2.7,45.7,Saudi Arabia,King Khalid University
Lebanese American University,Lebanon,Asia,2026,535.0,3.0,30.6,20.2,44.6,31.3,10.7,80.6,26.6,78.3,29.2,58.3,Lebanon,Lebanese American University
Prince Sultan University,Saudi Arabia,Asia,2026,535.0,6.0,30.6,10.6,12.0,19.4,61.9,100.0,23.2,62.7,15.9,45.7,Saudi Arabia,Prince Sultan University
Universität Leipzig,Germany,Europe,2026,535.0,32.0,30.6,31.5,14.0,85.3,13.0,,24.0,82.7,15.9,57.2,Germany,Universität Leipzig
