University_Name,Country,Year,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country,Std_University_Name,Base_Match_Score
Texas Tech University,United States,2023,801.0,35957.0,19.4,1853.4536082474228,7.0,2517.0,49 : 51,49.0,51.0,29.7,19.2,42.9,37.6,50.5,,United States,Texas Tech University,100.0
University of Thessaly,Greece,2023,801.0,21962.0,30.2,727.2185430463576,2.0,439.0,52 : 48,52.0,48.0,16.0,14.4,61.3,38.7,37.8,,Greece,University of Thessaly,0.0
Toronto Metropolitan University,,2023,801.0,36218.0,42.4,854.1981132075472,8.0,2897.0,56 : 44,56.0,44.0,19.7,30.8,36.5,40.5,59.0,,,Toronto Metropolitan University (formerly Ryerson University),100.0
Tribhuvan University,Nepal,2023,801.0,460632.0,30.9,14907.184466019418,0.0,0.0,50 : 50,50.0,50.0,12.8,7.9,71.2,37.0,45.4,,Nepal,Tribhuvan University,0.0
University of Urbino Carlo Bo,Italy,2023,801.0,15336.0,42.1,364.27553444180523,6.0,920.0,62 : 38,62.0,38.0,16.2,17.1,59.1,42.7,49.3,,Italy,University of Urbino Carlo Bo,0.0
Vilnius University,Lithuania,2023,801.0,17012.0,10.2,1667.843137254902,9.0,1531.0,69 : 31,69.0,31.0,21.4,18.7,47.3,45.9,55.5,,Lithuania,Vilnius University,100.0
VIT University,India,2023,801.0,33416.0,17.0,1965.6470588235295,4.0,1337.0,30 : 70,30.0,70.0,22.9,14.6,52.9,38.9,31.5,,India,VIT University,0.0
University of Warsaw,Poland,2023,801.0,37090.0,12.0,3090.8333333333335,10.0,3709.0,63 : 37,63.0,37.0,26.8,27.4,42.6,37.8,43.0,,Poland,University of Warsaw,100.0
Wenzhou Medical University,China,2023,801.0,19243.0,11.2,1718.125,5.0,962.0,63 : 37,63.0,37.0,17.7,14.2,67.1,38.5,26.5,,China,Wenzhou Medical University,0.0
University of Winchester,United Kingdom,2023,801.0,7290.0,16.8,433.9285714285714,10.0,729.0,66 : 34,66.0,34.0,16.7,15.7,61.1,37.0,52.8,,United Kingdom,University of Winchester,0.0
University of Wisconsin-Milwaukee,United States,2023,801.0,19218.0,19.3,995.7512953367875,5.0,961.0,56 : 44,56.0,44.0,22.9,22.2,55.8,38.0,33.4,,United States,University of Wisconsin Milwaukee,100.0
Worcester Polytechnic Institute,United States,2023,801.0,5949.0,12.7,468.4251968503937,19.0,1130.0,38 : 62,38.0,62.0,23.6,19.3,53.8,38.5,52.2,,United States,Worcester Polytechnic Institute,100.0
University of Wyoming,United States,2023,801.0,10660.0,14.7,725.170068027211,5.0,533.0,51 : 49,51.0,49.0,27.6,14.4,57.2,39.9,32.3,,United States,University of Wyoming,100.0
Yangzhou University,China,2023,801.0,31066.0,13.3,2335.7894736842104,11.0,3417.0,58 : 42,58.0,42.0,23.9,18.4,51.6,71.9,38.6,,China,Yangzhou University,0.0
Yeungnam University,South Korea,2023,801.0,19345.0,15.0,1289.6666666666667,4.0,774.0,50 : 50,50.0,50.0,20.2,15.3,54.0,42.7,43.3,,South Korea,Yeungnam University,100.0
Zagazig University,Egypt,2023,801.0,165556.0,26.4,6271.060606060606,2.0,3311.0,52 : 48,52.0,48.0,13.9,8.3,69.5,36.9,43.5,,Egypt,Zagazig University,100.0
Zewail City of Science and Technology,Egypt,2023,801.0,1184.0,11.6,102.06896551724138,0.0,0.0,42 : 58,42.0,58.0,23.4,16.4,56.6,41.0,31.4,,Egypt,Zewail City of Science and Technology,0.0
Zhejiang University of Finance and Economics,China,2023,801.0,17260.0,21.3,810.3286384976526,3.0,518.0,63 : 37,63.0,37.0,14.0,11.3,64.8,38.6,25.2,,China,Zhejiang University of Finance and Economics,0.0
University of A Coruña,Spain,2023,1001.0,14937.0,12.2,1224.344262295082,5.0,747.0,52 : 48,52.0,48.0,19.9,17.2,32.6,39.5,34.8,,Spain,University of A Coruña,0.0
"Adam Mickiewicz University, Poznań",Poland,2023,1001.0,35901.0,23.9,1502.1338912133892,4.0,1436.0,68 : 32,68.0,32.0,19.3,25.3,28.3,39.2,34.1,,Poland,Adam Mickiewicz University,89.65517241379311
Ain Shams University,Egypt,2023,1001.0,138700.0,12.5,11096.0,4.0,5548.0,53 : 47,53.0,47.0,24.0,13.1,47.3,38.1,41.2,,Egypt,Ain Shams University,100.0
Al-Farabi Kazakh National University,Kazakhstan,2023,1001.0,24229.0,5.7,4250.701754385965,15.0,3634.0,56 : 44,56.0,44.0,27.3,10.8,26.2,41.1,69.2,,Kazakhstan,Al-Farabi Kazakh National University,100.0
University of Algarve,Portugal,2023,1001.0,8443.0,14.0,603.0714285714286,22.0,1857.0,58 : 42,58.0,42.0,16.9,17.3,40.6,37.6,69.6,,Portugal,University of the Algarve,91.30434782608697
University of Almería,Spain,2023,1001.0,13050.0,17.5,745.7142857142857,12.0,1566.0,55 : 45,55.0,45.0,20.0,17.6,36.9,39.1,42.3,,Spain,University of Almería,0.0
Amity University,India,2023,1001.0,31383.0,16.2,1937.2222222222224,6.0,1883.0,52 : 48,52.0,48.0,20.1,12.6,47.9,37.8,22.7,,India,Amity University,100.0
University of Anbar,Iraq,2023,1001.0,26521.0,15.9,1667.9874213836479,0.0,0.0,56 : 44,56.0,44.0,16.0,8.6,56.2,37.1,29.0,,Iraq,University of Anbar,100.0
"University of the Andes, Colombia",Colombia,2023,1001.0,15312.0,12.7,1205.6692913385828,1.0,153.0,45 : 55,45.0,55.0,20.3,19.4,36.7,44.1,53.2,,Colombia,"University of the Andes, Colombia",0.0
Arts et Métiers,France,2023,1001.0,6230.0,16.5,377.57575757575756,14.0,872.0,18 : 82,18.0,82.0,25.8,16.0,24.2,60.7,63.5,,France,Arts et Métiers,0.0
Assiut University,Egypt,2023,1001.0,84941.0,14.9,5700.738255033557,1.0,849.0,55 : 45,55.0,45.0,16.9,9.4,47.1,37.0,46.9,,Egypt,Assiut University,100.0
Atılım University,,2023,1001.0,8325.0,11.1,750.0,7.0,583.0,42 : 58,42.0,58.0,17.0,9.0,52.7,37.3,40.7,,,Atılım University,0.0
Autonomous University of Sinaloa,Mexico,2023,1001.0,74001.0,21.8,3394.5412844036696,0.0,0.0,56 : 44,56.0,44.0,18.6,7.7,62.7,37.0,23.7,,Mexico,Autonomous University of Sinaloa,0.0
Babeş-Bolyai University,Romania,2023,1001.0,39811.0,21.0,1895.7619047619048,4.0,1592.0,64 : 36,64.0,36.0,18.8,16.0,37.6,37.5,40.8,,Romania,Babes-Bolyai University,97.77777777777777
Bahauddin Zakariya University,Pakistan,2023,1001.0,29880.0,36.7,814.1689373297002,0.0,0.0,40 : 60,40.0,60.0,14.6,11.9,42.3,37.1,42.9,,Pakistan,Bahauddin Zakariya University,100.0
Bayero University,Nigeria,2023,1001.0,44410.0,25.9,1714.6718146718147,0.0,0.0,33 : 67,33.0,67.0,17.0,8.8,41.5,37.4,45.5,,Nigeria,Bayero University,0.0
Beijing Jiaotong University,China,2023,1001.0,29086.0,14.7,1978.639455782313,5.0,1454.0,,,,25.3,28.3,22.5,61.9,32.3,,China,Beijing Jiaotong University,100.0
University of Botswana,Botswana,2023,1001.0,13063.0,17.6,742.215909090909,4.0,523.0,57 : 43,57.0,43.0,16.5,12.6,40.9,37.0,63.7,,Botswana,University of Botswana,0.0
Bowling Green State University,United States,2023,1001.0,15199.0,15.7,968.0891719745223,4.0,608.0,57 : 43,57.0,43.0,21.5,12.7,38.8,37.0,25.8,,United States,Bowling Green State University,0.0
Instituto Politécnico de Bragança,Portugal,2023,1001.0,8845.0,19.4,455.9278350515464,32.0,2830.0,54 : 46,54.0,46.0,13.5,12.6,43.3,40.3,67.3,,Portugal,Instituto Politécnico de Bragança,0.0
University of Burgos,Spain,2023,1001.0,7599.0,13.5,562.8888888888889,5.0,380.0,51 : 49,51.0,49.0,20.0,14.4,34.8,38.5,36.2,,Spain,University of Burgos,0.0
University of Calcutta,,2023,1001.0,19119.0,15.6,1225.576923076923,0.0,0.0,51 : 49,51.0,49.0,39.3,14.7,21.4,43.0,16.6,,,University of Calcutta,100.0
Cardiff Metropolitan University,United Kingdom,2023,1001.0,9380.0,18.6,504.30107526881716,22.0,2064.0,54 : 46,54.0,46.0,17.4,12.5,35.8,37.6,73.0,,United Kingdom,Cardiff Metropolitan University,0.0
Carlos III University of Madrid,,2023,1001.0,18133.0,11.0,1648.4545454545455,17.0,3083.0,46 : 54,46.0,54.0,26.2,18.8,25.2,42.0,61.8,,,Carlos III University of Madrid,0.0
Technical University of Cartagena,Spain,2023,1001.0,4466.0,10.0,446.6,9.0,402.0,27 : 73,27.0,73.0,22.3,12.5,34.8,40.1,38.9,,Spain,Technical University of Cartagena,0.0
University of Castilla-La Mancha,Spain,2023,1001.0,22524.0,12.8,1759.6875,8.0,1802.0,57 : 43,57.0,43.0,19.6,16.0,36.9,38.7,40.1,,Spain,University of Castilla-La Mancha,0.0
Universidad Católica San Antonio de Murcia (UCAM),Spain,2023,1001.0,10727.0,19.5,550.1025641025641,15.0,1609.0,56 : 44,56.0,44.0,18.2,14.6,35.0,45.1,49.9,,Spain,UCAM Universidad Católica San Antonio de Murcia,94.3820224719101
University of Central Lancashire,United Kingdom,2023,1001.0,19285.0,14.4,1339.236111111111,25.0,4821.0,58 : 42,58.0,42.0,18.2,13.9,45.5,37.3,73.3,,United Kingdom,University of Central Lancashire,100.0
Chang Gung University,,2023,1001.0,7016.0,12.1,579.8347107438017,5.0,351.0,49 : 51,49.0,51.0,21.9,27.9,30.6,77.3,28.3,,,Chang Gung University,100.0
Charles Sturt University,Australia,2023,1001.0,22735.0,20.2,1125.4950495049504,20.0,4547.0,61 : 39,61.0,39.0,17.8,16.0,32.5,37.3,65.0,,Australia,Charles Sturt University,100.0
Chiang Mai University,Thailand,2023,1001.0,34110.0,14.0,2436.4285714285716,3.0,1023.0,66 : 34,66.0,34.0,25.2,17.0,30.8,58.2,36.4,,Thailand,Chiang Mai University,100.0
Chiba University,Japan,2023,1001.0,13640.0,8.5,1604.7058823529412,5.0,682.0,38 : 62,38.0,62.0,26.5,18.3,32.8,41.4,28.7,,Japan,Chiba University,100.0
University of Chile,Chile,2023,1001.0,37286.0,15.5,2405.548387096774,5.0,1864.0,50 : 50,50.0,50.0,22.6,18.6,37.1,41.7,51.2,,Chile,University of Chile,0.0
"China University of Geosciences, Beijing",China,2023,1001.0,16758.0,16.6,1009.5180722891565,1.0,168.0,41 : 59,41.0,59.0,29.8,19.2,38.6,50.8,20.6,,China,"China University of Geosciences, Beijing",0.0
China Pharmaceutical University,China,2023,1001.0,24270.0,22.4,1083.482142857143,2.0,485.0,69 : 31,69.0,31.0,18.8,15.8,41.8,57.8,18.7,,China,China Pharmaceutical University,0.0
Chonnam National University,,2023,1001.0,24436.0,19.9,1227.9396984924624,6.0,1466.0,48 : 52,48.0,52.0,24.1,24.2,28.3,43.2,27.6,,,Chonnam National University,100.0
Clarkson University,United States,2023,1001.0,4024.0,14.9,270.06711409395973,9.0,362.0,35 : 65,35.0,65.0,25.8,16.5,35.3,40.4,51.5,,United States,Clarkson University,100.0
Comenius University in Bratislava,Slovakia,2023,1001.0,21788.0,10.6,2055.471698113208,14.0,3050.0,64 : 36,64.0,36.0,23.8,15.5,39.7,37.2,53.3,,Slovakia,Comenius University Bratislava,95.23809523809523
Creighton University,United States,2023,1001.0,9641.0,14.9,647.0469798657718,4.0,386.0,60 : 40,60.0,40.0,39.8,14.6,29.3,38.2,26.7,,United States,Creighton University,0.0
Czech University of Life Sciences Prague (CZU),Czech Republic,2023,1001.0,18057.0,17.6,1025.965909090909,22.0,3973.0,54 : 46,54.0,46.0,17.4,13.6,42.1,52.0,71.2,,Czech Republic,Czech University of Life Sciences in Prague,96.3855421686747
University of Debrecen,,2023,1001.0,29045.0,17.7,1640.9604519774011,22.0,6390.0,55 : 45,55.0,45.0,34.7,14.3,29.8,41.9,60.1,,,University of Debrecen,100.0
University of Delhi,India,2023,1001.0,27471.0,25.6,1073.0859375,1.0,275.0,48 : 52,48.0,52.0,40.9,24.2,26.2,37.0,18.6,,India,University of Delhi,100.0
Dr B.R. Ambedkar National Institute of Technology Jalandhar,India,2023,1001.0,5016.0,23.7,211.64556962025318,0.0,0.0,23 : 77,23.0,77.0,21.5,13.1,45.8,37.6,14.9,,India,Dr B.R. Ambedkar National Institute of Technology Jalandhar,0.0
East China University of Science and Technology,China,2023,1001.0,28718.0,16.9,1699.2899408284025,2.0,574.0,44 : 56,44.0,56.0,24.2,22.4,41.9,61.7,20.1,,China,East China University of Science and Technology,100.0
University of East London,United Kingdom,2023,1001.0,12180.0,21.9,556.1643835616438,44.0,5359.0,58 : 42,58.0,42.0,20.8,15.0,34.4,37.1,81.8,,United Kingdom,University of East London,100.0
École Centrale de Lyon,France,2023,1001.0,2108.0,14.3,147.4125874125874,26.0,548.0,24 : 76,24.0,76.0,29.7,22.3,20.8,50.3,73.1,,France,École Centrale de Lyon,0.0
University of Engineering & Technology (UET) Lahore,Pakistan,2023,1001.0,13163.0,13.9,946.9784172661871,3.0,395.0,23 : 77,23.0,77.0,16.4,9.9,41.5,37.3,46.6,,Pakistan,University of Engineering & Technology (UET) Lahore,100.0
Universidade Estadual Paulista (Unesp),Brazil,2023,1001.0,42008.0,15.6,2692.8205128205127,3.0,1260.0,51 : 49,51.0,49.0,33.6,28.8,16.3,41.6,30.3,,Brazil,Universidade Estadual Paulista (Unesp),0.0
European University of Madrid,Spain,2023,1001.0,10684.0,10.7,998.5046728971963,32.0,3419.0,49 : 51,49.0,51.0,18.3,9.8,51.6,37.1,60.2,,Spain,European University of Madrid,0.0
University of Extremadura,Spain,2023,1001.0,20509.0,11.2,1831.1607142857144,2.0,410.0,56 : 44,56.0,44.0,19.9,11.1,49.2,39.0,33.2,,Spain,University of Extremadura,0.0
Federal University of Rio de Janeiro,Brazil,2023,1001.0,45747.0,11.4,4012.894736842105,1.0,457.0,55 : 45,55.0,45.0,38.7,25.3,21.3,66.5,30.3,,Brazil,Federal University of Rio de Janeiro,0.0
Universidade Federal de Santa Catarina,Brazil,2023,1001.0,38751.0,16.1,2406.894409937888,2.0,775.0,49 : 51,49.0,51.0,30.2,19.2,35.9,54.4,30.1,,Brazil,Universidade Federal de Santa Catarina,100.0
Federal University of Technology Akure,Nigeria,2023,1001.0,19593.0,21.1,928.5781990521326,0.0,0.0,28 : 72,28.0,72.0,20.9,10.2,47.0,37.2,34.9,,Nigeria,Federal University of Technology Akure,0.0
Ferdowsi University of Mashhad,Iran,2023,1001.0,25269.0,30.9,817.7669902912621,9.0,2274.0,54 : 46,54.0,46.0,27.1,25.7,25.3,65.7,31.3,,Iran,Ferdowsi University of Mashhad,100.0
Florida Institute of Technology,United States,2023,1001.0,5091.0,14.9,341.67785234899327,25.0,1273.0,35 : 65,35.0,65.0,29.2,17.4,25.6,39.4,66.7,,United States,Georgia Institute of Technology,90.32258064516128
University of Fortaleza (UNIFOR),Brazil,2023,1001.0,21115.0,18.5,1141.3513513513512,0.0,0.0,51 : 49,51.0,49.0,16.4,8.6,57.6,37.7,35.3,,Brazil,University of Fortaleza (UNIFOR),0.0
Fu Jen Catholic University,Taiwan,2023,1001.0,18619.0,29.0,642.0344827586207,5.0,931.0,58 : 42,58.0,42.0,24.0,26.5,19.4,78.9,28.7,,Taiwan,Fu Jen Catholic University,100.0
Fujian Agriculture and Forestry University,China,2023,1001.0,29188.0,16.9,1727.1005917159764,1.0,292.0,54 : 46,54.0,46.0,15.5,11.8,47.4,42.4,26.2,,China,Fujian Agriculture and Forestry University,0.0
University of Ghana,Ghana,2023,1001.0,54256.0,32.4,1674.567901234568,1.0,543.0,48 : 52,48.0,52.0,16.3,17.0,32.1,48.5,49.0,,Ghana,University of Ghana,100.0
Guangxi University,China,2023,1001.0,39172.0,19.8,1978.3838383838383,2.0,783.0,46 : 54,46.0,54.0,16.7,13.2,50.7,45.0,22.0,,China,Guangxi University,0.0
University of Gujrat,Pakistan,2023,1001.0,11975.0,23.5,509.5744680851064,0.0,0.0,58 : 42,58.0,42.0,14.6,10.5,58.5,36.9,40.4,,Pakistan,University of Gujrat,0.0
Guru Jambheshwar University of Science and Technology,India,2023,1001.0,6420.0,19.3,332.6424870466321,0.0,0.0,44 : 56,44.0,56.0,23.0,8.9,48.8,36.9,15.8,,India,Guru Jambheshwar University of Science and Technology,0.0
Hakim Sabzevari University,Iran,2023,1001.0,7940.0,19.8,401.010101010101,4.0,318.0,53 : 47,53.0,47.0,16.2,9.9,56.8,37.0,33.5,,Iran,Hakim Sabzevari University,0.0
Hamamatsu University School of Medicine,Japan,2023,1001.0,1204.0,4.6,261.7391304347826,2.0,24.0,49 : 51,49.0,51.0,28.6,18.3,30.2,41.4,21.0,,Japan,Hamamatsu University School of Medicine,0.0
Huaqiao University,China,2023,1001.0,31351.0,17.2,1822.732558139535,18.0,5643.0,53 : 47,53.0,47.0,15.3,12.0,40.2,38.8,59.5,,China,Huaqiao University,0.0
Hyogo College of Medicine,Japan,2023,1001.0,937.0,2.2,425.9090909090909,0.0,0.0,30 : 70,30.0,70.0,30.5,12.0,35.5,40.7,16.2,,Japan,Hyogo College of Medicine,0.0
Ibn Tofaïl University,Morocco,2023,1001.0,51802.0,71.9,720.4728789986091,3.0,1554.0,49 : 51,49.0,51.0,18.8,10.9,41.9,38.9,25.4,,Morocco,Ibn Tofaïl University,0.0
Ilia State University,Georgia,2023,1001.0,16196.0,10.2,1587.843137254902,3.0,486.0,63 : 37,63.0,37.0,17.1,8.6,40.2,37.1,49.7,,Georgia,Ilia State University,0.0
Ilmenau University of Technology,Germany,2023,1001.0,5425.0,17.4,311.7816091954023,30.0,1628.0,28 : 72,28.0,72.0,27.4,16.8,23.2,51.7,64.1,,Germany,Ilmenau University of Technology,0.0
IMT Nord Europe,France,2023,1001.0,1484.0,16.1,92.17391304347825,21.0,312.0,23 : 77,23.0,77.0,29.0,26.5,17.1,73.6,74.2,,France,IMT Nord Europe,0.0
"Indian Institute of Science Education and Research, Pune",India,2023,1001.0,1512.0,10.4,145.3846153846154,0.0,0.0,31 : 69,31.0,69.0,36.0,16.2,27.4,38.2,25.4,,India,"Indian Institute of Science Education and Research, Pune",0.0
Indian Institute of Science Education and Research Kolkata,India,2023,1001.0,1563.0,12.3,127.07317073170731,0.0,0.0,28 : 72,28.0,72.0,29.1,16.5,31.7,39.7,19.6,,India,Indian Institute of Science Education and Research Kolkata,0.0
Indian Institute of Technology Bhubaneswar,India,2023,1001.0,2102.0,14.7,142.99319727891157,0.0,0.0,16 : 84,16.0,84.0,23.8,13.7,45.5,38.1,18.1,,India,Indian Institute of Technology Bhubaneswar (IIT BBS),100.0
Indian Institute of Technology Guwahati,India,2023,1001.0,6353.0,13.8,460.3623188405797,1.0,64.0,22 : 78,22.0,78.0,30.2,22.3,33.8,41.0,21.0,,India,Indian Institute of Technology Guwahati (IITG),100.0
Indian Institute of Technology (Indian School of Mines) Dhanbad,India,2023,1001.0,7002.0,20.7,338.2608695652174,1.0,70.0,16 : 84,16.0,84.0,24.0,21.9,38.2,40.6,15.9,,India,Indian Institute of Technology Hyderabad (IITH),92.3076923076923
Indian Institute of Technology Mandi,India,2023,1001.0,1587.0,11.6,136.81034482758622,1.0,16.0,26 : 74,26.0,74.0,27.6,11.7,38.1,37.9,21.9,,India,Indian Institute of Technology Madras (IITM),93.15068493150685
University of Indonesia,,2023,1001.0,41123.0,8.6,4781.7441860465115,14.0,5757.0,68 : 32,68.0,32.0,40.1,19.9,16.0,77.7,54.8,,,University of Indonesia,0.0
Inha University,South Korea,2023,1001.0,17103.0,21.0,814.4285714285714,8.0,1368.0,42 : 58,42.0,58.0,27.4,22.3,27.7,70.1,35.8,,South Korea,Inha University,100.0
Isfahan University of Medical Sciences,Iran,2023,1001.0,10102.0,10.2,990.3921568627452,2.0,202.0,63 : 37,63.0,37.0,42.6,13.0,32.4,37.1,20.4,,Iran,Isfahan University of Medical Sciences,0.0
Isfahan University of Technology,Iran,2023,1001.0,11323.0,23.5,481.82978723404256,1.0,113.0,40 : 60,40.0,60.0,21.2,22.8,40.3,71.2,27.8,,Iran,Isfahan University of Technology,100.0
Istanbul University,Turkey,2023,1001.0,59250.0,25.1,2360.5577689243028,8.0,4740.0,53 : 47,53.0,47.0,22.1,20.8,32.4,48.3,31.5,,Turkey,Istanbul University,100.0
Istanbul University-Cerrahpaşa,Turkey,2023,1001.0,25638.0,21.7,1181.4746543778801,3.0,769.0,36 : 64,36.0,64.0,17.1,12.1,52.6,45.3,21.3,,Turkey,Istanbul University-Cerrahpaşa,0.0
Jadavpur University,India,2023,1001.0,14217.0,21.7,655.1612903225806,0.0,0.0,30 : 70,30.0,70.0,35.0,16.9,28.9,41.9,16.8,,India,Jadavpur University,100.0
Jaume I University,Spain,2023,1001.0,11495.0,14.6,787.3287671232877,10.0,1150.0,58 : 42,58.0,42.0,19.2,20.0,44.9,39.4,44.8,,Spain,Universitat Jaume I,91.89189189189189
University of Jeddah,Saudi Arabia,2023,1001.0,26236.0,13.9,1887.4820143884892,2.0,525.0,67 : 33,67.0,33.0,16.5,8.8,48.6,37.9,71.4,,Saudi Arabia,University of Jeddah,0.0
Jeonbuk National University,,2023,1001.0,20453.0,19.9,1027.7889447236182,7.0,1432.0,46 : 54,46.0,54.0,24.7,23.7,27.7,46.2,30.8,,,Jeonbuk National University (formerly known as Chonbuk National University),100.0
Jiangnan University,,2023,1001.0,29614.0,13.1,2260.610687022901,1.0,296.0,,,,20.4,19.5,37.7,59.5,20.4,,,Jiangnan University,100.0
Jiangsu Normal University,China,2023,1001.0,23978.0,14.3,1676.7832167832166,2.0,480.0,,,,15.5,11.2,53.8,39.3,24.1,,China,Jiangsu Normal University,0.0
Jiangxi University of Finance and Economics,China,2023,1001.0,24395.0,18.5,1318.6486486486488,2.0,488.0,55 : 45,55.0,45.0,17.4,9.1,61.4,39.3,30.2,,China,Jiangxi University of Finance and Economics,0.0
The Jikei University School of Medicine,Japan,2023,1001.0,1093.0,0.9,1214.4444444444443,0.0,0.0,44 : 56,44.0,56.0,28.5,9.2,52.5,40.0,17.4,,Japan,The Jikei University School of Medicine,0.0
Kanazawa University,Japan,2023,1001.0,9886.0,9.4,1051.7021276595744,7.0,692.0,39 : 61,39.0,61.0,27.2,17.0,25.8,44.3,29.8,,Japan,Kanazawa University,100.0
Kaohsiung Medical University,Taiwan,2023,1001.0,6490.0,11.8,550.0,6.0,389.0,59 : 41,59.0,41.0,22.5,24.2,25.8,54.2,27.7,,Taiwan,Kaohsiung Medical University,0.0
Kharkiv National University of Radio Electronics,Ukraine,2023,1001.0,7704.0,9.9,778.1818181818181,10.0,770.0,26 : 74,26.0,74.0,19.1,9.4,55.9,37.5,29.7,,Ukraine,Kharkiv National University of Radio Electronics,100.0
K.N. Toosi University of Technology,Iran,2023,1001.0,8403.0,26.6,315.90225563909775,2.0,168.0,34 : 66,34.0,66.0,23.3,21.8,38.7,42.9,30.3,,Iran,K.N. Toosi University of Technology,0.0
Kumamoto University,Japan,2023,1001.0,9536.0,10.0,953.6,6.0,572.0,38 : 62,38.0,62.0,24.6,18.9,30.4,48.2,32.0,,Japan,Kumamoto University,100.0
Kwame Nkrumah University of Science and Technology,Ghana,2023,1001.0,87443.0,78.1,1119.6286811779771,1.0,874.0,43 : 57,43.0,57.0,13.1,14.2,39.5,43.4,47.2,,Ghana,Kwame Nkrumah University of Science and Technology,100.0
Kyoto Prefectural University of Medicine,Japan,2023,1001.0,1371.0,3.4,403.2352941176471,1.0,14.0,46 : 54,46.0,54.0,30.1,15.9,41.1,45.4,17.7,,Japan,Kyoto Prefectural University of Medicine,0.0
University of Las Palmas de Gran Canaria,Spain,2023,1001.0,15612.0,16.9,923.7869822485208,8.0,1249.0,58 : 42,58.0,42.0,16.5,15.0,44.6,36.9,41.5,,Spain,University of Las Palmas de Gran Canaria,0.0
Lebanese University,Lebanon,2023,1001.0,46256.0,14.8,3125.4054054054054,16.0,7401.0,70 : 30,70.0,30.0,36.5,20.1,17.3,37.0,78.6,,Lebanon,Lebanese University,100.0
University of Leoben,Austria,2023,1001.0,2604.0,4.6,566.0869565217391,17.0,443.0,24 : 76,24.0,76.0,29.5,13.0,25.5,53.6,79.2,,Austria,University of Leoben,0.0
University of León,Spain,2023,1001.0,14828.0,15.3,969.1503267973856,5.0,741.0,56 : 44,56.0,44.0,17.8,13.6,46.3,38.6,34.1,,Spain,University of León,0.0
Lorestan University,Iran,2023,1001.0,9059.0,23.6,383.8559322033898,1.0,91.0,57 : 43,57.0,43.0,24.3,11.1,50.0,37.1,21.8,,Iran,Lorestan University,0.0
Lusophone University of Humanities and Technologies,Portugal,2023,1001.0,7544.0,10.7,705.0467289719627,22.0,1660.0,53 : 47,53.0,47.0,18.4,11.4,36.0,38.7,67.4,,Portugal,Lusophone University of Humanities and Technologies,0.0
Universiti Malaysia Perlis,Malaysia,2023,1001.0,10937.0,13.6,804.1911764705883,5.0,547.0,45 : 55,45.0,55.0,17.9,13.6,40.7,37.2,29.6,,Malaysia,Universiti Malaysia Perlis (UniMAP),100.0
University of Manouba,Tunisia,2023,1001.0,16315.0,12.1,1348.3471074380166,1.0,163.0,59 : 41,59.0,41.0,19.2,8.3,52.7,36.9,44.6,,Tunisia,University of Manouba,0.0
University of Maragheh,Iran,2023,1001.0,3146.0,19.9,158.09045226130655,0.0,0.0,56 : 44,56.0,44.0,15.1,12.4,55.7,36.9,27.4,,Iran,University of Maragheh,0.0
University of Marrakech Cadi Ayyad,Morocco,2023,1001.0,110826.0,44.8,2473.794642857143,1.0,1108.0,50 : 50,50.0,50.0,26.8,10.5,32.7,38.7,37.7,,Morocco,University of Marrakech Cadi Ayyad,0.0
University of Mauritius,Mauritius,2023,1001.0,8710.0,21.5,405.1162790697674,1.0,87.0,55 : 45,55.0,45.0,16.4,10.0,49.1,38.1,41.9,,Mauritius,University of Mauritius,0.0
University of Mazandaran,Iran,2023,1001.0,13320.0,33.1,402.416918429003,6.0,799.0,62 : 38,62.0,38.0,25.2,15.0,38.1,38.1,27.0,,Iran,University of Mazandaran,0.0
Medical University of Bialystok,Poland,2023,1001.0,5494.0,12.7,432.5984251968504,8.0,440.0,76 : 24,76.0,24.0,37.1,10.5,30.9,39.5,28.0,,Poland,Medical University of Bialystok,0.0
Menoufia University,Egypt,2023,1001.0,100182.0,34.3,2920.7580174927116,0.0,0.0,43 : 57,43.0,57.0,14.5,8.2,61.4,38.2,41.7,,Egypt,Menoufia University,0.0
Miguel Hernández University of Elche,Spain,2023,1001.0,12276.0,17.0,722.1176470588235,7.0,859.0,48 : 52,48.0,52.0,17.5,16.1,40.5,40.0,38.6,,Spain,Miguel Hernández University of Elche,0.0
Morgan State University,United States,2023,1001.0,6129.0,11.7,523.8461538461539,8.0,490.0,59 : 41,59.0,41.0,22.0,10.4,36.7,37.2,48.7,,United States,Oregon State University,91.30434782608697
University of Murcia,Spain,2023,1001.0,26351.0,16.0,1646.9375,8.0,2108.0,59 : 41,59.0,41.0,20.1,19.1,34.0,39.2,39.8,,Spain,University of Murcia,100.0
Nanjing University of Aeronautics and Astronautics,China,2023,1001.0,32300.0,15.6,2070.512820512821,3.0,969.0,30 : 70,30.0,70.0,22.0,26.1,23.1,69.5,20.8,,China,Nanjing University of Aeronautics and Astronautics,100.0
Nanjing Medical University,China,2023,1001.0,20660.0,8.6,2402.3255813953488,4.0,826.0,,,,29.2,19.7,37.2,39.0,20.7,,China,Nanjing Medical University,0.0
