name_a,name_b,similarity_score,category,reason,country_a,country_b,source_a,source_b,years_a,years_b,count_a,count_b
Technische Universität Braunschweig,Technische UniversitÃ¤t Braunschweig,0.9577,Safe to Merge,Identical after removing punctuation/encoding,Germany,Germany,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidad Nacional de la Asunción,Universidad Nacional de la AsunciÃ³n,0.9577,Safe to Merge,Identical after removing punctuation/encoding,Paraguay,Paraguay,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Paul Valéry University Montpellier,Paul ValÃ©ry University Montpellier,0.9565,Safe to Merge,Identical after removing punctuation/encoding,France,France,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Szent István University,Szent Istvan University,0.9565,Safe to Merge,Very high similarity (score >= 0.95),Hungary,Hungary,the_rankings,qs_rankings,"[2020, 2021]","[2021, 2022, 2023]",2,3
Babes-Bolyai University,Babeş-Bolyai University,0.9565,Safe to Merge,Very high similarity (score >= 0.95),Romania,Romania,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Kazan National Research Technological University,Kazan National Research Technical University,0.9565,Safe to Merge,Very high similarity (score >= 0.95),Russia,Russia,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
University of St Gallen,University of St.Gallen,0.9565,Safe to Merge,Identical after removing punctuation/encoding,Switzerland,Switzerland,the_rankings,,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Northeastern University,Northwestern University,0.9565,Safe to Merge,Very high similarity (score >= 0.95),United States,United States,qs_rankings,"the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Universidad TecnolÃ³gica de Pereira,Universidad Tecnológica de Pereira,0.9565,Safe to Merge,Identical after removing punctuation/encoding,Colombia,Colombia,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
University of Algiers 1,University of Algiers 3,0.9565,Safe to Merge,Very high similarity (score >= 0.95),Algeria,Algeria,the_rankings,the_rankings,[2024],[2024],1,1
Thapar Institute of Engineering & Technology,Thapar Institute of Engineering and Technology,0.9556,Safe to Merge,Very high similarity (score >= 0.95),India,India,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
King Fahd University of Petroleum & Minerals,King Fahd University of Petroleum and Minerals,0.9556,Safe to Merge,Very high similarity (score >= 0.95),Saudi Arabia,Saudi Arabia,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Universidad de San Andrés - UdeSA,Universidad de San AndrÃ©s - UdeSA,0.9552,Safe to Merge,Identical after removing punctuation/encoding,Argentina,Argentina,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
University Paris 2 Panthéon-Assas,University Paris 2 PanthÃ©on-Assas,0.9552,Safe to Merge,Identical after removing punctuation/encoding,France,France,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidad Nacional de la Asunción,Universidad Nacional de Asunción,0.9552,Safe to Merge,Very high similarity (score >= 0.95),Paraguay,Paraguay,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]",[2024],5,1
Universitat Autònoma de Barcelona,Universitat AutÃ²noma de Barcelona,0.9552,Safe to Merge,Identical after removing punctuation/encoding,Spain,Spain,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidad Católica Andres Bello,Universidad CatÃ³lica Andres Bello,0.9552,Safe to Merge,Identical after removing punctuation/encoding,Venezuela,Venezuela,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidad de CÃ³rdoba - Colombia,Universidad de Córdoba - Colombia,0.9552,Safe to Merge,Identical after removing punctuation/encoding,Colombia,Colombia,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
University of Freiburg,University of Fribourg,0.9545,Safe to Merge,Very high similarity (score >= 0.95),Germany,Switzerland,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Chester,University of Rochester,0.9545,Safe to Merge,Very high similarity (score >= 0.95),United Kingdom,United States,the_rankings,"the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Johannes Kepler University Linz,Johannes Kepler University of Linz,0.9538,Safe to Merge,Very high similarity (score >= 0.95),Austria,Austria,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Université Claude Bernard Lyon 1,UniversitÃ© Claude Bernard Lyon 1,0.9538,Safe to Merge,Identical after removing punctuation/encoding,France,France,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidad CatÃ³lica de Colombia,Universidad Católica de Colombia,0.9538,Safe to Merge,Identical after removing punctuation/encoding,Colombia,Colombia,qs_rankings,qs_rankings,[2021],"[2021, 2022, 2023, 2024]",1,4
Universidad AutÃ³noma de Chapingo,Universidad Autónoma de Chapingo,0.9538,Safe to Merge,Identical after removing punctuation/encoding,Mexico,Mexico,qs_rankings,,[2021],[2021],1,1
Samara State Medical University,Samarkand State Medical University,0.9538,Safe to Merge,Very high similarity (score >= 0.95),Russia,Uzbekistan,the_rankings,the_rankings,"[2022, 2023, 2024]","[2023, 2024]",3,2
University of Salento,University of Salerno,0.9524,Safe to Merge,Very high similarity (score >= 0.95),Italy,Italy,the_rankings,"the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Jordan University of Science & Technology,Jordan University of Science and Technology,0.9524,Safe to Merge,Very high similarity (score >= 0.95),Jordan,Jordan,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
