University_Name,Match_Type,clean_name,University_Name_qs,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name,University_Name_the,Country_the,Year_the,THE_Rank,Teaching_Score,Research_Score,Citation_Score,International_Outlook,Industry_Income,Total_Score,Std_Country_the,Std_University_Name_the,Base_Match_Score,University_Name_cwur,Country_cwur,Year_cwur,CWUR_Rank,Quality_of_Education,Alumni_Employment,Publications,Influence,Patents,Std_Country_cwur,Std_University_Name_cwur,Base_Match_Score_cwur,University_Name_the2023,Country_the2023,Year_the2023,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country_the2023,Std_University_Name_the2023,Base_Match_Score_the2023,Research_Excellence_Index,Innovation_Index,Student_Experience_Index,Global_Reputation_Index,Research_Productivity_Score,Internationalization_Score
manchester metropolitan university,Exact,manchester metropolitan university,Manchester Metropolitan University,United Kingdom,Europe,2026.0,643.0,59.0,26.9,18.8,16.4,11.4,16.8,63.1,61.4,89.0,19.2,78.0,United Kingdom,Manchester Metropolitan University,Manchester Metropolitan University,United Kingdom,2016.0,501.0,22.7,10.6,30.8,57.8,28.3,,United Kingdom,Manchester Metropolitan University,100.0,Manchester Metropolitan University,United Kingdom,2015.0,885.0,367.0,458.0,941.0,677.0,721.0,United Kingdom,Manchester Metropolitan University,100.0,Manchester Metropolitan University,United Kingdom,2023.0,601.0,29195.0,15.9,1836.1635220125784,19.0,5547.0,58 : 42,58.0,42.0,19.1,17.4,69.1,37.4,73.8,,United Kingdom,Manchester Metropolitan University,100.0,269.38,1398.0,38.56999999999999,17.84,971.8,60.76666666666667
masaryk university,Exact,masaryk university,Masaryk University,Czechia,Europe,2026.0,430.0,3.0,35.7,32.3,37.3,13.1,18.8,34.5,76.8,79.8,58.8,77.0,Czechia,Masaryk University,Masaryk University,Czech Republic,2016.0,501.0,21.2,22.9,27.8,48.9,28.5,,Czech Republic,Masaryk University,100.0,Masaryk University,Czech Republic,2015.0,702.0,367.0,567.0,645.0,519.0,705.0,Czech Republic,Masaryk University,100.0,Masaryk University,Czech Republic,2023.0,801.0,32271.0,18.9,1707.4603174603176,23.0,7422.0,62 : 38,62.0,38.0,23.9,29.7,34.0,38.1,66.7,,Czech Republic,Masaryk University,100.0,198.4,1224.0,40.79,34.3,672.8,53.4
massey university,Exact,massey university,Massey University,New Zealand,Oceania,2026.0,230.0,3.0,52.9,42.1,24.1,57.3,50.5,99.4,98.9,82.2,60.7,83.7,New Zealand,Massey University,Massey University,New Zealand,2016.0,501.0,23.1,17.1,31.9,80.5,35.8,,New Zealand,Massey University,100.0,Massey University,New Zealand,2015.0,658.0,367.0,496.0,570.0,554.0,723.0,New Zealand,Massey University,100.0,Massey University,New Zealand,2023.0,601.0,17534.0,16.1,1089.0683229813665,29.0,5085.0,64 : 36,64.0,36.0,24.3,25.8,39.7,43.8,92.9,,New Zealand,Massey University,100.0,185.81,1277.0,43.59,34.900000000000006,601.9,92.93333333333334
mcgill university,Exact,mcgill university,McGill University,Canada,Americas,2026.0,27.0,1.0,88.9,98.1,93.5,67.3,72.4,88.6,93.5,92.9,98.9,96.3,Canada,McGill University,McGill University,Canada,2016.0,38.0,66.1,72.1,78.9,85.5,40.3,72.6,Canada,McGill University,100.0,McGill University,Canada,2015.0,42.0,34.0,37.0,33.0,53.0,132.0,Canada,McGill University,100.0,McGill University,,2023.0,46.0,32309.0,12.5,2584.72,30.0,9693.0,60 : 40,60.0,40.0,62.0,72.4,82.5,43.5,91.0,73.0,,McGill University,100.0,64.41000000000001,185.0,60.05,96.25999999999999,111.9,89.2
mcmaster university,Exact,mcmaster university,McMaster University,Canada,Americas,2026.0,173.0,8.0,59.1,52.5,43.6,61.8,56.6,94.6,66.3,84.3,60.0,86.6,Canada,McMaster University,McMaster University,Canada,2016.0,94.0,39.8,44.8,84.9,76.1,88.0,58.8,Canada,McMaster University,100.0,McMaster University,Canada,2015.0,150.0,222.0,268.0,127.0,156.0,222.0,Canada,McMaster University,100.0,McMaster University,,2023.0,85.0,26403.0,29.0,910.448275862069,20.0,5281.0,56 : 44,56.0,44.0,42.7,51.1,94.6,89.9,84.7,65.1,,McMaster University,100.0,84.39000000000001,378.0,44.38,48.94,211.9,78.99999999999999
memorial university of newfoundland,Exact,memorial university of newfoundland,Memorial University of Newfoundland,Canada,Americas,2026.0,660.0,23.0,26.5,10.7,10.5,15.7,43.7,30.7,78.5,73.6,17.4,53.3,Canada,Memorial University of Newfoundland,Memorial University of Newfoundland,Canada,2016.0,501.0,18.1,15.8,35.6,53.3,48.3,,Canada,Memorial University of Newfoundland,100.0,Memorial University of Newfoundland,Canada,2015.0,611.0,367.0,567.0,552.0,577.0,653.0,Canada,Memorial University of Newfoundland,100.0,Memorial University of Newfoundland,,2023.0,601.0,16098.0,14.9,1080.4026845637584,21.0,3381.0,56 : 44,56.0,44.0,23.3,22.7,47.6,72.1,81.2,,,Memorial University of Newfoundland,100.0,185.10000000000002,1230.0,41.15,10.62,587.6,54.166666666666664
miami university,Exact,miami university,Miami University,United States,Americas,2026.0,1201.0,172.0,,3.4,11.8,8.9,14.0,7.0,11.1,44.4,42.5,37.9,United States,Miami University,Miami University,United States,2016.0,601.0,19.2,15.7,36.1,24.8,30.2,,United States,Miami University,100.0,Miami University,United States,2015.0,444.0,367.0,102.0,715.0,543.0,871.0,United States,Miami University,100.0,,,,,,,,,,,,,,,,,,,,,,214.41000000000003,1414.0,30.0,6.760000000000001,751.1,14.300000000000002
michigan state university,Exact,michigan state university,Michigan State University,United States,Americas,2026.0,161.0,34.0,60.9,67.3,62.9,13.9,61.2,67.2,21.1,97.6,75.6,94.2,United States,Michigan State University,Michigan State University,United States,2016.0,99.0,47.3,52.6,76.8,56.4,32.2,58.0,United States,Michigan State University,100.0,Michigan State University,United States,2015.0,118.0,112.0,162.0,88.0,123.0,136.0,United States,Michigan State University,100.0,Michigan State University,United States,2023.0,106.0,45465.0,16.0,2841.5625,13.0,5910.0,52 : 48,52.0,48.0,56.2,55.6,78.8,39.9,61.9,62.8,United States,Michigan State University,100.0,73.98,259.0,51.58,65.53999999999999,164.8,48.23333333333334
michigan technological university,Exact,michigan technological university,Michigan Technological University,United States,Americas,2026.0,901.0,123.0,,6.2,10.2,32.2,38.2,18.2,20.1,55.2,4.6,37.9,United States,Michigan Technological University,Michigan Technological University,United States,2012.0,350.0,21.2,13.8,24.8,32.3,41.9,,United States,Michigan Technological University,100.0,Michigan Technological University,United States,2015.0,790.0,341.0,467.0,794.0,769.0,581.0,United States,Michigan Technological University,100.0,,,,,,,,,,,,,,,,,,,,,,248.66000000000003,1350.0,30.0,7.8,818.8,23.53333333333333
middle east technical university,Exact,middle east technical university,Middle East Technical University,Türkiye,Asia,2026.0,269.0,1.0,48.5,44.8,88.7,12.8,34.4,18.0,31.0,79.2,82.2,71.8,Türkiye,Middle East Technical University,Middle East Technical University,Turkey,2016.0,501.0,29.9,17.3,28.8,26.7,60.0,,Turkey,Middle East Technical University,100.0,Middle East Technical University,Turkey,2015.0,470.0,367.0,120.0,550.0,879.0,871.0,Turkey,Middle East Technical University,100.0,Middle East Technical University,Turkey,2023.0,501.0,17151.0,22.5,762.2666666666667,10.0,1715.0,48 : 52,48.0,52.0,37.5,42.4,35.4,99.9,44.6,,Turkey,Middle East Technical University,100.0,213.46,1750.0,41.25,62.36,578.8,25.233333333333334
