institution_id,openalex_display_name,country_code,institution_type,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness,normalized_name
https://openalex.org/I4210166825,Technological University Magway,MM,education,6,127,4,3,0.0,technological university magway
https://openalex.org/I4210153764,Mie Prefectural Hisai High School,JP,education,6,0,0,0,0.0,mie prefectural hisai high school
https://openalex.org/I4210109904,Emballasjeforeningen,NO,education,6,24,2,2,0.0,emballasjeforeningen
https://openalex.org/I4210152128,Language Systems International College of English,US,education,6,76,5,4,0.0,language systems international college of english
https://openalex.org/I4210122491,Wood Tobé-Coburn School,US,education,6,17,3,0,0.0,wood tobe coburn school
https://openalex.org/I2855636396,Terra State Community College,US,education,6,7,1,0,0.0,terra state community college
https://openalex.org/I2996639773,Nazareth Academy,US,education,6,10,1,0,0.0,nazareth academy
https://openalex.org/I4387155347,École nationale supérieure Louis-Lumière,,education,6,1,1,0,0.0,ecole nationale superieure louis lumiere
https://openalex.org/I4210156355,Tver Institute of Ecology and Law,RU,education,6,144,2,1,0.0,tver institute of ecology and law
https://openalex.org/I4210118920,Edogawa Girls' Junior & Senior High School,JP,education,6,2,1,0,0.0,edogawa girls junior senior high school
https://openalex.org/I4210119659,Asset Stem Education,US,education,6,76,2,1,0.5,asset stem education
https://openalex.org/I4210143122,McGill-Toolen Catholic High School,US,education,6,215,8,8,0.0,mcgill toolen catholic high school
https://openalex.org/I4210087292,Balshaw’s Church of England High School,GB,education,6,5,1,0,0.0,balshaw s church of england high school
https://openalex.org/I4401200278,Al-Rayan University,,education,6,5,1,0,0.0,al rayan university
https://openalex.org/I4210140165,Labyrinth Musical Workshop,GR,education,6,37,5,1,2.0,labyrinth musical workshop
https://openalex.org/I4210154381,Aomori Prefectural Mito High School,JP,education,6,9,1,0,0.0,aomori prefectural mito high school
https://openalex.org/I4210098736,Conservatorio Statale di Musica A. Buzzolla,IT,education,6,17,1,1,1.0,conservatorio statale di musica a buzzolla
https://openalex.org/I4387155331,Northshore Technical Community College,,education,6,34,3,1,9.0,northshore technical community college
https://openalex.org/I4210156125,Norwegian Film Institute,NO,education,6,57,1,1,0.0,norwegian film institute
https://openalex.org/I4210130738,Grossmont Cuyamaca Community College District,US,education,6,16,2,0,0.0,grossmont cuyamaca community college district
https://openalex.org/I4210152110,École des Hautes Études en Ingénierie des Systèmes d'Information,MA,education,6,29,1,1,0.0,ecole des hautes etudes en ingenierie des systemes d information
https://openalex.org/I4210101187,Tartu Theological Seminary,EE,education,6,6,2,0,0.0,tartu theological seminary
