rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,normalized_name
1000219,Reporter,Japan Advanced Institute of Science and Technology (JAIST),,1000219,,0,,0,,0,,0,,0,Japan,"1,218",7.8,42%,23 : 77,Japan Advanced Institute of Science and Technology (JAIST),"Chemistry,Chemical Engineering,Computer Science,Sociology,Biological Sciences,Languages, Literature & Linguistics,Physics & Astronomy,General Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",False,False,japan advanced institute of science and technology
1000220,Reporter,Jashore University of Science and Technology,,1000220,,0,,0,,0,,0,,0,Bangladesh,"4,741",20.1,0%,30 : 70,Jashore University of Science and Technology,"Electrical & Electronic Engineering,Other Health,Chemical Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,General Engineering,Computer Science,Agriculture & Forestry,Accounting & Finance,Sport Science,Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Business & Management",False,False,jashore university of science and technology
1000221,Reporter,Jerash Private University,,1000221,,0,,0,,0,,0,,0,Jordan,"3,362",18.0,31%,38 : 62,Jerash Private University,"Architecture,Law,Education,Other Health,Computer Science,Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Business & Management,Languages, Literature & Linguistics,Agriculture & Forestry,Civil Engineering",False,False,jerash private university
1000222,Reporter,University of Jijel,,1000222,,0,,0,,0,,0,,0,Algeria,"21,228",20.2,0%,63 : 37,University of Jijel,"Law,Biological Sciences,Psychology,Chemistry,Civil Engineering,Sport Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Chemical Engineering,Architecture,Languages, Literature & Linguistics,Mathematics & Statistics,Sociology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Economics & Econometrics,Electrical & Electronic Engineering",False,False,university of jijel
1000223,Reporter,University of Jos,,1000223,,0,,0,,0,,0,,0,Nigeria,"37,885",23.4,0%,45 : 55,University of Jos,"Chemistry,Accounting & Finance,General Engineering,Computer Science,Agriculture & Forestry,Sport Science,Languages, Literature & Linguistics,Business & Management,Veterinary Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Physics & Astronomy,Biological Sciences,Art, Performing Arts & Design,Mathematics & Statistics,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Architecture,Civil Engineering,Education,Archaeology,Law,Psychology",False,False,university of jos
1000224,Reporter,Kabardino-Balkarian State University,,1000224,,0,,0,,0,,0,,0,Russian Federation,"11,201",19.6,13%,54 : 46,Kabardino-Balkarian State University,"Archaeology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Computer Science,Psychology,Sport Science,Art, Performing Arts & Design,Electrical & Electronic Engineering,History, Philosophy & Theology,Civil Engineering,Other Health,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Law,Accounting & Finance,Education,Biological Sciences,Mathematics & Statistics,Geography,Medicine & Dentistry,Sociology,General Engineering,Chemistry,Physics & Astronomy",False,False,kabardino balkarian state university
1000225,Reporter,Kamianets-Podіlskyi Ivan Ohiienko National University,,1000225,,0,,0,,0,,0,,0,Ukraine,"2,944",7.8,0%,64 : 36,Kamianets-Podіlskyi Ivan Ohiienko National University,"History, Philosophy & Theology,Mathematics & Statistics,Education,Sport Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Other Health,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Biological Sciences,Physics & Astronomy,Business & Management,Communication & Media Studies,Economics & Econometrics,Geography,Computer Science,Accounting & Finance,Psychology",False,False,kamianets podlskyi ivan ohiienko national university
1000226,Reporter,Kampala International University,,1000226,,0,,0,,0,,0,,0,Uganda,"23,800",7.0,30%,45 : 55,Kampala International University,"Other Health,General Engineering,Communication & Media Studies,Psychology,Sport Science,Education,Electrical & Electronic Engineering,Accounting & Finance,Law,Computer Science,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Business & Management,Chemistry,Veterinary Science,Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Biological Sciences,Civil Engineering,Agriculture & Forestry",False,False,kampala international university
1000227,Reporter,Karaganda University of Kazpotrebsoyuz,,1000227,,0,,0,,0,,0,,0,Kazakhstan,"5,076",13.3,1%,59 : 41,Karaganda University of Kazpotrebsoyuz,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Business & Management,Politics & International Studies (incl Development Studies),Law,Accounting & Finance",False,False,karaganda university of kazpotrebsoyuz
1000228,Reporter,Karshi State University,,1000228,,0,,0,,0,,0,,0,Uzbekistan,"13,909",21.0,0%,63 : 37,Karshi State University,"Mathematics & Statistics,Sociology,Medicine & Dentistry,Education,Languages, Literature & Linguistics,Sport Science,Computer Science,Physics & Astronomy,Business & Management,History, Philosophy & Theology,Agriculture & Forestry,Chemistry,Psychology",False,False,karshi state university
1000229,Reporter,Kastamonu University,,1000229,,0,,0,,0,,0,,0,Turkey,"17,597",41.0,15%,45 : 55,Kastamonu University,"Accounting & Finance,Communication & Media Studies,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Education,Agriculture & Forestry,Sport Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Sociology,Civil Engineering,History, Philosophy & Theology,Veterinary Science,Business & Management,Psychology,General Engineering,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Mathematics & Statistics,Art, Performing Arts & Design,Electrical & Electronic Engineering",False,False,kastamonu university
1000230,Reporter,Kazakh National Pedagogical University Abai,,1000230,,0,,0,,0,,0,,0,Kazakhstan,"13,479",12.6,2%,61 : 39,Kazakh National Pedagogical University Abai,"Accounting & Finance,Biological Sciences,Law,Psychology,Art, Performing Arts & Design,Mathematics & Statistics,Geography,Politics & International Studies (incl Development Studies),Chemistry,Languages, Literature & Linguistics,Economics & Econometrics,Computer Science,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Business & Management,Education",False,False,kazakh national pedagogical university abai
1000231,Reporter,Kazan State Power Engineering University,,1000231,,0,,0,,0,,0,,0,Russian Federation,"9,440",24.6,3%,33 : 67,Kazan State Power Engineering University,"Education,General Engineering,Computer Science,Electrical & Electronic Engineering,Communication & Media Studies,Biological Sciences,Business & Management,Physics & Astronomy",False,False,kazan state power engineering university
