rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,normalized_name
13250,1201–1500,Karabük University,18.4–24.3,13250,13.1,1780,8.8,1677,37.2,1073,37.2,1567,42.6,881,Turkey,"47,263",41.8,22%,39 : 61,Karabük University,"History, Philosophy & Theology,General Engineering,Geography,Agriculture & Forestry,Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Architecture,Medicine & Dentistry,Chemistry,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Business & Management,Chemical Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Archaeology,Economics & Econometrics,Civil Engineering,Communication & Media Studies,Sport Science,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sociology",False,False,karabuk university
13260,1201–1500,Kaunas University of Technology,18.4–24.3,13260,18.2,1315,15.9,962,21.3,1396,43.8,623,44.3,824,Lithuania,"8,361",14.2,8%,34 : 66,Kaunas University of Technology,"Economics & Econometrics,General Engineering,Sociology,Architecture,Education,Communication & Media Studies,Business & Management,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Chemical Engineering,Physics & Astronomy,Other Health,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Agriculture & Forestry,Languages, Literature & Linguistics,Computer Science,Chemistry",False,False,kaunas university of technology
13270,1201–1500,Kazan National Research Technical University,18.4–24.3,13270,17.8,1375,12.3,1256,31.4,1180,51.1,387,27.6,1362,Russian Federation,"7,068",12.7,12%,26 : 74,Kazan National Research Technical University,"Business & Management,Physics & Astronomy,Electrical & Electronic Engineering,Sociology,General Engineering,Mechanical & Aerospace Engineering,Computer Science",False,False,kazan national research technical university
13280,1201–1500,Kazan National Research Technological University,18.4–24.3,13280,18.0,1343,9.2,1617,38.6,1049,52.1,368,32.2,1185,Russian Federation,"13,064",11.4,17%,41 : 59,Kazan National Research Technological University,"Business & Management,General Engineering,Chemical Engineering",False,False,kazan national research technological university
13290,1201–1500,Kazan State Medical University,18.4–24.3,13290,39.4,250,9.2,1618,1.2,1797,36.9,1759,42.4,890,Russian Federation,"5,657",10.4,25%,61 : 39,Kazan State Medical University,"Medicine & Dentistry,Other Health",False,False,kazan state medical university
13300,1201–1500,Kharazmi University,18.4–24.3,13300,31.3,473,14.1,1100,19.4,1429,38.0,1296,24.6,1492,Iran,"12,607",19.0,4%,54 : 46,Kharazmi University,"Politics & International Studies (incl Development Studies),Civil Engineering,History, Philosophy & Theology,Chemistry,Business & Management,Geology, Environmental, Earth & Marine Sciences,Education,Sociology,Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Physics & Astronomy,Law,Mechanical & Aerospace Engineering,Computer Science,Sport Science,Psychology,Biological Sciences,Geography,Architecture,Accounting & Finance",False,False,kharazmi university
13310,1201–1500,Khon Kaen University,18.4–24.3,13310,22.1,943,14.4,1076,19.2,1436,49.5,419,32.2,1186,Thailand,"34,434",18.1,2%,59 : 41,Khon Kaen University,"Business & Management,Electrical & Electronic Engineering,Education,Chemistry,Agriculture & Forestry,Other Health,Veterinary Science,Architecture,Law,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering",False,False,khon kaen university
13320,1201–1500,Khulna University of Engineering and Technology (KUET),18.4–24.3,13320,14.3,1736,9.2,1619,45.7,931,37.0,1677,24.3,1502,Bangladesh,"5,562",15.0,0%,23 : 77,Khulna University of Engineering and Technology (KUET),"General Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",False,False,khulna university of engineering and technology
13330,1201–1500,King Mongkut's University of Technology North Bangkok,18.4–24.3,13330,16.6,1540,10.3,1475,31.5,1178,39.1,1094,23.0,1564,Thailand,"27,055",22.8,0%,43 : 57,King Mongkut's University of Technology North Bangkok,"Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Accounting & Finance,Business & Management,Biological Sciences,Sociology,Electrical & Electronic Engineering,Chemistry,Agriculture & Forestry,Economics & Econometrics,Art, Performing Arts & Design,Chemical Engineering,Physics & Astronomy,Communication & Media Studies,General Engineering,Education",False,False,king mongkut s university of technology north bangkok
13340,1201–1500,Kitasato University,18.4–24.3,13340,23.9,816,10.1,1499,20.3,1414,41.3,814,17.9,1751,Japan,"8,605",5.2,1%,54 : 46,Kitasato University,"Chemistry,Other Health,Veterinary Science,Biological Sciences,Agriculture & Forestry,Medicine & Dentistry,Physics & Astronomy",False,False,kitasato university
13350,1201–1500,Kochi University of Technology,18.4–24.3,13350,25.2,728,14.3,1085,10.1,1674,42.0,751,33.7,1142,Japan,"2,593",20.3,2%,25 : 75,Kochi University of Technology,"Economics & Econometrics,Business & Management,Electrical & Electronic Engineering,General Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Sociology,Chemical Engineering,Computer Science,Communication & Media Studies,Mathematics & Statistics,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Chemistry,Biological Sciences,Agriculture & Forestry",False,False,kochi university of technology
13360,1201–1500,Universiti Kuala Lumpur,18.4–24.3,13360,17.2,1461,9.0,1647,24.1,1322,40.1,949,38.3,1006,Malaysia,"15,858",12.3,3%,41 : 59,Universiti Kuala Lumpur,"Accounting & Finance,Chemical Engineering,Computer Science,Mechanical & Aerospace Engineering,Medicine & Dentistry,General Engineering,Other Health,Business & Management,Electrical & Electronic Engineering",False,False,universiti kuala lumpur
13370,1201–1500,Kyushu Institute of Technology (Kyutech),18.4–24.3,13370,20.2,1111,14.1,1101,25.1,1306,53.5,345,36.2,1062,Japan,"5,646",16.0,5%,14 : 86,Kyushu Institute of Technology (Kyutech),"Mechanical & Aerospace Engineering,Biological Sciences,Chemical Engineering,Mathematics & Statistics,Computer Science,General Engineering,Civil Engineering,Physics & Astronomy,Electrical & Electronic Engineering",False,False,kyushu institute of technology
13380,1201–1500,Lahore College for Women University (LCWU),18.4–24.3,13380,22.8,889,8.8,1679,27.5,1261,36.9,1762,28.7,1319,Pakistan,"10,457",17.7,0%,100 : 0,Lahore College for Women University (LCWU),"Architecture,Chemistry,Education,Communication & Media Studies,Business & Management,Psychology,Other Health,Mathematics & Statistics,History, Philosophy & Theology,Sport Science,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Sociology,Economics & Econometrics,Geography,Computer Science,Physics & Astronomy",False,False,lahore college for women university
13390,1201–1500,University of Lethbridge,18.4–24.3,13390,17.0,1488,13.7,1123,20.5,1411,37.0,1681,57.1,530,Canada,"7,172",13.3,11%,,University of Lethbridge,"Art, Performing Arts & Design,Business & Management,Politics & International Studies (incl Development Studies),Computer Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Biological Sciences,Psychology,Accounting & Finance,Geography,Economics & Econometrics,Physics & Astronomy,Archaeology,Agriculture & Forestry,Sociology,History, Philosophy & Theology,Education,Sport Science",False,False,university of lethbridge
13400,1201–1500,L.N. Gumilyov Eurasian National University,18.4–24.3,13400,18.1,1333,10.9,1407,24.4,1319,37.0,1682,53.3,601,Kazakhstan,"19,358",14.1,4%,57 : 43,L.N. Gumilyov Eurasian National University enu,"Chemical Engineering,Biological Sciences,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Physics & Astronomy,Art, Performing Arts & Design,Law,Communication & Media Studies,Accounting & Finance,General Engineering,Psychology,Architecture,Education,Chemistry,Politics & International Studies (incl Development Studies),Business & Management,Sport Science,Sociology,Archaeology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Civil Engineering,Agriculture & Forestry",False,False,l n gumilyov eurasian national university
13410,1201–1500,Lobachevsky State University of Nizhni Novgorod,18.4–24.3,13410,26.4,678,12.5,1233,9.9,1677,46.4,506,34.4,1122,Russian Federation,"18,767",9.1,12%,51 : 49,Lobachevsky State University of Nizhni Novgorod,"Biological Sciences,Psychology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Other Health,Business & Management,Mathematics & Statistics,Accounting & Finance,Chemistry,Sport Science,Sociology,Economics & Econometrics,Medicine & Dentistry,Law,Physics & Astronomy,Communication & Media Studies,Education,Politics & International Studies (incl Development Studies),Chemical Engineering,Languages, Literature & Linguistics,Computer Science,Electrical & Electronic Engineering",False,False,lobachevsky state university of nizhni novgorod
13420,1201–1500,Londrina State University,18.4–24.3,13420,23.1,869,14.9,1032,15.9,1534,45.5,542,21.1,1648,Brazil,"21,180",11.2,1%,58 : 42,Londrina State University,"Architecture,Sociology,Law,Chemistry,Physics & Astronomy,Agriculture & Forestry,Business & Management,Computer Science,Veterinary Science,Medicine & Dentistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Communication & Media Studies,Mathematics & Statistics,Chemical Engineering,Psychology,Civil Engineering,Archaeology,Economics & Econometrics,Languages, Literature & Linguistics,History, Philosophy & Theology,Geography,Politics & International Studies (incl Development Studies),Biological Sciences,Accounting & Finance,Sport Science,General Engineering,Other Health,Education",False,False,londrina state university
13430,1201–1500,University of Lucknow,18.4–24.3,13430,30.3,513,10.3,1476,20.7,1408,37.4,1477,18.1,1744,India,"17,291",39.2,0%,50 : 50,University of Lucknow,"History, Philosophy & Theology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Law,Sociology,Economics & Econometrics,Biological Sciences,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Education,Physics & Astronomy,Art, Performing Arts & Design,General Engineering,Psychology,Business & Management,Chemistry,Civil Engineering,Communication & Media Studies,Archaeology,Computer Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies)",False,False,university of lucknow
13440,1201–1500,"Lumière University, Lyon 2",18.4–24.3,13440,22.4,919,18.4,824,8.7,1699,37.3,1517,61.0,461,France,"25,186",47.2,18%,68 : 32,"Lumière University, Lyon 2","Business & Management,Education,Accounting & Finance,Communication & Media Studies,Psychology,Computer Science,History, Philosophy & Theology,Mathematics & Statistics,Geography,Languages, Literature & Linguistics,Art, Performing Arts & Design,Law,Politics & International Studies (incl Development Studies),Economics & Econometrics,Sociology,Archaeology",False,False,lumiere university lyon 2
13450,1201–1500,University of Malaga,18.4–24.3,13450,17.2,1462,14.6,1057,30.8,1192,39.8,994,39.1,979,Spain,"35,888",13.8,6%,54 : 46,University of Malaga,"Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Geography,General Engineering,Physics & Astronomy,Education,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Computer Science,Biological Sciences,Business & Management,Architecture,Electrical & Electronic Engineering,Art, Performing Arts & Design,Law,Other Health,Economics & Econometrics,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Politics & International Studies (incl Development Studies),Communication & Media Studies,Medicine & Dentistry,Psychology",False,False,university of malaga
13460,1201–1500,Universiti Malaysia Kelantan,18.4–24.3,13460,14.7,1715,11.6,1318,23.9,1333,39.4,1052,33.5,1151,Malaysia,"8,787",20.1,3%,71 : 29,Universiti Malaysia Kelantan,"Archaeology,Agriculture & Forestry,History, Philosophy & Theology,General Engineering,Economics & Econometrics,Accounting & Finance,Computer Science,Biological Sciences,Chemical Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Architecture,Veterinary Science,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Physics & Astronomy",False,False,universiti malaysia kelantan
13470,1201–1500,Universiti Malaysia Sarawak (UNIMAS),18.4–24.3,13470,22.9,883,11.8,1303,16.2,1527,37.9,1327,45.7,780,Malaysia,"13,956",17.9,7%,73 : 27,Universiti Malaysia Sarawak (UNIMAS),"Economics & Econometrics,Biological Sciences,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,Computer Science,Accounting & Finance,Chemistry,Architecture,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Languages, Literature & Linguistics,Other Health,Geography,Art, Performing Arts & Design,Electrical & Electronic Engineering,Psychology",False,False,universiti malaysia sarawak
13480,1201–1500,University of Maribor,18.4–24.3,13480,17.2,1463,17.4,871,28.3,1246,42.5,723,43.5,849,Slovenia,"12,403",14.3,10%,53 : 47,University of Maribor,"Law,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Biological Sciences,Art, Performing Arts & Design,General Engineering,Other Health,Accounting & Finance,Civil Engineering,Sport Science,Business & Management,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Communication & Media Studies,Computer Science,Geography,Languages, Literature & Linguistics,Psychology,Architecture,Education,Agriculture & Forestry,Sociology,Mathematics & Statistics",False,False,university of maribor
13490,1201–1500,Marmara University,18.4–24.3,13490,18.3,1302,10.0,1516,24.1,1323,40.4,910,26.3,1410,Turkey,"62,414",30.6,6%,51 : 49,Marmara University,"Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Chemical Engineering,Art, Performing Arts & Design,Civil Engineering,Physics & Astronomy,Medicine & Dentistry,Chemistry,History, Philosophy & Theology,Computer Science,Sociology,Business & Management,General Engineering,Geography,Accounting & Finance,Electrical & Electronic Engineering,Economics & Econometrics,Sport Science,Architecture,Mathematics & Statistics,Education,Psychology,Other Health,Law,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies,Biological Sciences",False,False,marmara university
13500,1201–1500,Mendel University in Brno,18.4–24.3,13500,19.0,1215,17.6,861,18.1,1463,37.7,1369,55.7,562,Czech Republic,"8,886",16.5,20%,57 : 43,Mendel University in Brno,"Biological Sciences,Geography,Architecture,Politics & International Studies (incl Development Studies),Economics & Econometrics,Computer Science,Agriculture & Forestry,Business & Management,Art, Performing Arts & Design,Chemistry,Education",False,False,mendel university in brno
13510,1201–1500,Metropolitan Autonomous University,18.4–24.3,13510,17.3,1449,17.5,865,31.6,1176,38.1,1282,25.8,1433,Mexico,"59,709",21.1,1%,50 : 50,Metropolitan Autonomous University,"Business & Management,General Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Veterinary Science,Computer Science,Chemistry,Agriculture & Forestry,Economics & Econometrics,Other Health,Psychology,Politics & International Studies (incl Development Studies),Communication & Media Studies,Medicine & Dentistry,History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Architecture,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Biological Sciences,Education,Law,Geography",False,False,metropolitan autonomous university
13520,1201–1500,Mie University,18.4–24.3,13520,22.4,920,12.7,1209,19.0,1441,44.9,568,23.8,1525,Japan,"7,125",8.4,4%,38 : 62,Mie University,"Archaeology,Other Health,General Engineering,Sociology,Computer Science,Geography,Medicine & Dentistry,Education,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Law,Economics & Econometrics,Biological Sciences,Accounting & Finance,Chemical Engineering,Languages, Literature & Linguistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Architecture,Mechanical & Aerospace Engineering,Business & Management,Electrical & Electronic Engineering",False,False,mie university
13530,1201–1500,Ming Chi University of Technology,18.4–24.3,13530,16.4,1567,19.8,751,29.4,1224,53.3,350,25.6,1441,Taiwan,"4,514",19.5,2%,26 : 74,Ming Chi University of Technology,"Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Business & Management,Biological Sciences,Accounting & Finance,Mathematics & Statistics,Computer Science,Chemistry,Architecture,General Engineering,Economics & Econometrics,Sport Science,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Civil Engineering,History, Philosophy & Theology,Sociology",False,False,ming chi university of technology
13540,1201–1500,Mohammed V University of Rabat,18.4–24.3,13540,30.4,508,13.3,1166,17.4,1481,45.4,549,27.9,1349,Morocco,"88,644",43.3,3%,52 : 48,Mohammed V University of Rabat,"Computer Science,Psychology,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry,Civil Engineering,Chemical Engineering,Languages, Literature & Linguistics,Other Health,Biological Sciences,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,History, Philosophy & Theology,Economics & Econometrics,Business & Management,Geography,Law,Mechanical & Aerospace Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Education,Sport Science,Medicine & Dentistry,Sociology,General Engineering",False,False,mohammed v university of rabat
13550,1201–1500,University of Monastir,18.4–24.3,13550,19.6,1161,10.0,1518,26.5,1273,36.9,1768,45.1,798,Tunisia,"19,203",9.6,2%,70 : 30,University of Monastir,"Other Health,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Education,Accounting & Finance,Art, Performing Arts & Design,Medicine & Dentistry,Physics & Astronomy,Business & Management,Chemical Engineering,Mathematics & Statistics,Computer Science,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Economics & Econometrics,General Engineering,Biological Sciences,Chemistry,Architecture",False,False,university of monastir
13560,1201–1500,Moscow Aviation Institute,18.4–24.3,13560,25.4,716,12.7,1210,23.0,1357,70.9,189,27.5,1368,Russian Federation,"15,493",12.8,12%,28 : 72,Moscow Aviation Institute,"Communication & Media Studies,Electrical & Electronic Engineering,General Engineering,Physics & Astronomy,Mathematics & Statistics,Business & Management,Chemical Engineering,Computer Science,Chemistry,Economics & Econometrics,Mechanical & Aerospace Engineering",False,False,moscow aviation institute
13570,1201–1500,Moscow State University of Civil Engineering,18.4–24.3,13570,18.1,1334,11.3,1344,32.8,1152,53.6,344,23.0,1567,Russian Federation,"11,918",12.7,8%,,Moscow State University of Civil Engineering,"Business & Management,Computer Science,Architecture,Civil Engineering",False,False,moscow state university of civil engineering
13580,1201–1500,Multimedia University,18.4–24.3,13580,19.5,1170,10.7,1431,25.6,1293,38.5,1189,42.1,899,Malaysia,"7,116",10.6,11%,51 : 49,Multimedia University,"Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Communication & Media Studies,Languages, Literature & Linguistics,Law",False,False,multimedia university
13590,1201–1500,University of Mumbai,18.4–24.3,13590,29.6,540,19.9,747,16.1,1530,38.0,1300,16.7,1775,India,"13,330",23.5,1%,51 : 49,University of Mumbai,"History, Philosophy & Theology,Education,Geography,Accounting & Finance,General Engineering,Business & Management,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sociology,Architecture,Languages, Literature & Linguistics,Law,Politics & International Studies (incl Development Studies),Communication & Media Studies,Mathematics & Statistics,Psychology,Physics & Astronomy,Computer Science,Chemistry,Economics & Econometrics,Art, Performing Arts & Design",False,False,university of mumbai
13600,1201–1500,University of Mysore,18.4–24.3,13600,31.3,474,8.6,1706,20.8,1407,37.3,1519,34.5,1118,India,"7,970",21.4,10%,42 : 58,University of Mysore,"Geography,Chemistry,Computer Science,Agriculture & Forestry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Communication & Media Studies,Economics & Econometrics,Psychology,Languages, Literature & Linguistics,Sport Science,Education,Sociology,Business & Management,Physics & Astronomy,Architecture,Archaeology,Law",False,False,university of mysore
13610,1201–1500,Nagaoka University of Technology,18.4–24.3,13610,25.0,744,15.7,978,9.1,1690,47.3,481,36.5,1054,Japan,"2,189",11.1,12%,10 : 90,Nagaoka University of Technology,"Civil Engineering,Mechanical & Aerospace Engineering,Computer Science,General Engineering,Chemical Engineering,Electrical & Electronic Engineering",False,False,nagaoka university of technology
13620,1201–1500,Nagasaki University,18.4–24.3,13620,24.2,800,13.0,1192,22.1,1379,43.9,619,36.1,1064,Japan,"8,869",6.7,6%,39 : 61,Nagasaki University,"Chemical Engineering,Electrical & Electronic Engineering,Computer Science,Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Sociology,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Education,Languages, Literature & Linguistics,Mathematics & Statistics,General Engineering,Business & Management,Civil Engineering",False,False,nagasaki university
13630,1201–1500,Nagoya City University,18.4–24.3,13630,24.5,784,15.8,973,24.1,1324,51.2,385,21.7,1624,Japan,"4,514",7.5,4%,48 : 52,Nagoya City University,"Geography,History, Philosophy & Theology,Law,Psychology,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Business & Management,Computer Science,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Chemistry,Education,Mathematics & Statistics,Accounting & Finance,General Engineering,Architecture,Economics & Econometrics,Sport Science,Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering",False,False,nagoya city university
13640,1201–1500,National Chengchi University,18.4–24.3,13640,23.9,818,28.3,467,11.0,1647,44.4,593,47.6,729,Taiwan,"12,489",14.8,13%,57 : 43,National Chengchi University,"Biological Sciences,Chemical Engineering,Law,Computer Science,Veterinary Science,Electrical & Electronic Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Education,Business & Management,Archaeology,Other Health,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Languages, Literature & Linguistics,General Engineering,Chemistry,Politics & International Studies (incl Development Studies),Accounting & Finance,Civil Engineering,Mathematics & Statistics,Sociology,Economics & Econometrics,Sport Science,Geology, Environmental, Earth & Marine Sciences,Psychology,Agriculture & Forestry,Physics & Astronomy,Communication & Media Studies",False,False,national chengchi university
13650,1201–1500,National Chin-Yi University of Technology,18.4–24.3,13650,15.2,1674,23.6,605,13.6,1595,46.4,507,24.1,1515,Taiwan,"7,294",23.2,5%,30 : 70,National Chin-Yi University of Technology,"Art, Performing Arts & Design,General Engineering,Business & Management,Electrical & Electronic Engineering",False,False,national chin yi university of technology
13660,1201–1500,National Chung Cheng University,18.4–24.3,13660,20.4,1091,18.7,810,13.3,1604,43.2,661,24.9,1471,Taiwan,"8,650",15.4,4%,44 : 56,National Chung Cheng University,"Other Health,Computer Science,Biological Sciences,Psychology,Education,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemistry,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Business & Management,Sport Science,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,General Engineering,Communication & Media Studies,Chemical Engineering,Sociology",False,False,national chung cheng university
13670,1201–1500,National Chung Hsing University,18.4–24.3,13670,21.5,999,21.0,707,17.2,1491,51.3,382,31.8,1201,Taiwan,"15,150",16.8,7%,41 : 59,National Chung Hsing University NCHU Taiwan Zhong Xing,"Sport Science,History, Philosophy & Theology,Accounting & Finance,Computer Science,Veterinary Science,Languages, Literature & Linguistics,Chemical Engineering,Physics & Astronomy,Business & Management,General Engineering,Politics & International Studies (incl Development Studies),Education,Agriculture & Forestry,Chemistry,Biological Sciences,Communication & Media Studies,Electrical & Electronic Engineering,Sociology,Economics & Econometrics,Law,Medicine & Dentistry,Other Health,Mechanical & Aerospace Engineering,Mathematics & Statistics,Civil Engineering",False,False,national chung hsing university
13680,1201–1500,National University of Distance Education (UNED),18.4–24.3,13680,17.8,1379,18.5,819,21.9,1384,38.2,1252,29.5,1288,Spain,"66,141",56.9,5%,54 : 46,National University of Distance Education (UNED),"History, Philosophy & Theology,Education,Communication & Media Studies,General Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Accounting & Finance,Chemistry,Other Health,Psychology,Languages, Literature & Linguistics,Law,Geography,Electrical & Electronic Engineering,Physics & Astronomy,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Business & Management,Agriculture & Forestry,Sociology",False,False,national university of distance education
13690,1201–1500,National Dong Hwa University,18.4–24.3,13690,17.3,1450,21.7,676,22.9,1360,40.9,855,45.7,781,Taiwan,"10,008",17.8,8%,52 : 48,National Dong Hwa University NDHU,"Law,Sport Science,History, Philosophy & Theology,Education,Geography,Physics & Astronomy,Art, Performing Arts & Design,Accounting & Finance,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Agriculture & Forestry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Mathematics & Statistics,Chemistry,Business & Management,Politics & International Studies (incl Development Studies),Psychology,Computer Science",False,False,national dong hwa university
13700,1201–1500,National Research University of Electronic Technology (MIET),18.4–24.3,13700,39.7,244,13.5,1142,3.4,1780,78.0,131,22.9,1575,Russian Federation,"4,736",9.3,7%,28 : 72,National Research University of Electronic Technology (MIET),"Business & Management,Chemistry,Languages, Literature & Linguistics,Civil Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Computer Science,History, Philosophy & Theology,Law,Physics & Astronomy,Accounting & Finance,General Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Sociology,Economics & Econometrics,Chemical Engineering,Art, Performing Arts & Design,Biological Sciences,Electrical & Electronic Engineering",False,False,national research university of electronic technology
13710,1201–1500,National Research Saratov State University,18.4–24.3,13710,21.3,1015,13.5,1143,14.3,1582,43.7,634,33.9,1134,Russian Federation,"9,826",9.3,11%,58 : 42,National Research Saratov State University,"Electrical & Electronic Engineering,Physics & Astronomy,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Psychology,Art, Performing Arts & Design,Sociology,Mathematics & Statistics,Chemical Engineering,Accounting & Finance,Biological Sciences,Politics & International Studies (incl Development Studies),Computer Science,Languages, Literature & Linguistics,Chemistry,Business & Management,Geography,Education,History, Philosophy & Theology",False,False,national research saratov state university
13720,1201–1500,National University of San Martín,18.4–24.3,13720,18.2,1319,10.4,1466,28.6,1240,37.6,1397,40.8,938,Argentina,"16,276",16.1,5%,60 : 40,National University of San Martín,"Agriculture & Forestry,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Economics & Econometrics,Biological Sciences,History, Philosophy & Theology,Electrical & Electronic Engineering,Sociology,Veterinary Science,Accounting & Finance,Education,Psychology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Business & Management,Architecture,Computer Science,Politics & International Studies (incl Development Studies),Other Health,Physics & Astronomy",False,False,national university of san martin
