world_rank,previous_rank,university_name,country,Region,Size,Focus,Research,Status,academic_reputation_score,AR RANK,employer_reputation_score,ER RANK,faculty_student_ratio,FSR RANK,citations_per_faculty_score,CPF RANK,international_faculty,IFR RANK,international_students_score,ISR RANK,ISD SCORE,ISD RANK,international_research_network,IRN RANK,employment_outcomes,EO RANK,sustainability_score,SUS RANK,overall_score,merge_key,the_rank,teaching_score,research_environment,research_quality,industry_impact,international_outlook,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,the_overall_score,P,TCS,MNCS,P_top_10,P_collab,P_int_collab,P_industry_collab,PP_OA,PA_M,PA_F,scimago_global_rank,Best Country Quartile,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,total_score,alumni,award,hici,ns,pub,pcp,teaching,research,citations_times,income,total_score_times,teaching_times,research_times,income_times,Country Average Rank,Country Average Score,Universities in Country,Best University Rank,Global Ranking Score,Research Productivity Index,Citation Impact Score,Internationalization Score,Research Excellence Score,Overall Performance Index,city,subject_field,university_type,degree_level,faculty_count,undergraduate_count,postgraduate_count,international_students_count,international_student_ratio,gender_ratio,female_percentage,male_percentage,h_index,research_output_score,research_productivity_index
1201,1001-1200,Universidad de la Frontera (UFRO),Chile,Americas,M,CO,VH,Public,14.4,701+,7.5,701+,6.5,801+,19.2,726,3.1,801+,1.7,801+,1.5,801+,44.0,801+,2.7,801+,32.3,801+,,UNIVERSIDAD DE LA FRONTERA UFRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.75,42.94,20,116,301,0.0,0.0,2.4,0.0,0.0,,,,,,,,,,,,,,,
1201,1201-1400,Universidad de Las Américas (UDLA) Ecuador,Ecuador,Americas,L,CO,HI,Private not for Profit,14.4,701+,8.4,701+,21.1,801+,2.6,801+,24.7,654,5.0,801+,9.2,801+,18.3,801+,7.0,801+,30.9,801+,,UNIVERSIDAD DE LAS AMÉRICAS UDLA ECUADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.0,,7,801,301,0.0,0.0,14.85,0.0,0.0,,,,,,,,,,,,,,,
1201,1001-1200,Universidad de Lima,Peru,Americas,L,SP,HI,Private not for Profit,14.1,701+,31.8,450,6.8,801+,1.7,801+,3.7,801+,3.7,801+,8.1,801+,11.3,801+,30.3,548,33.9,801+,,UNIVERSIDAD DE LIMA,,,,,,,,,,,,,,,,,,,,,,8757.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1100.3333333333333,41.7,9,345,301,0.0,0.0,3.7,0.0,0.0,Lima,Arts & Humanities,Private not for Profit,Undergraduate & Postgraduate,2778.0,17339.0,11719.0,6769.0,23.29370617,48:52:00,48.05432417,51.94567583,73.0,7.9,2.23
1201,1001-1200,Universidad de los Andes Mérida,Venezuela (Bolivarian Republic of),Americas,L,FC,MD,Public,20.2,608,12.7,701+,26.3,711,1.6,801+,1.5,801+,2.0,801+,6.3,801+,19.3,801+,22.4,688,32.0,801+,,UNIVERSIDAD DE LOS ANDES MÉRIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106.0,,6,731,301,0.0,0.0,1.75,0.0,0.0,Venezuela (Bolivarian Republic of),Engineering & Technology,Public,Undergraduate & Postgraduate,1610.0,12735.0,5583.0,4704.0,25.67802545,41:59:00,41.28610663,58.71389337,41.0,10.9,4.51
1201,1201-1400,Universidad de Monterrey,Mexico,Americas,M,FO,HI,Private not for Profit,19.8,622,15.4,701+,8.7,801+,2.4,801+,18.2,737,6.8,801+,5.3,801+,9.2,801+,6.4,801+,32.5,801+,,UNIVERSIDAD DE MONTERREY,,,,,,,,,,,,,,,,,,,,,,6035.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1004.2272727272727,60.55,22,136,301,0.0,0.0,12.5,0.0,0.0,San Pedro Garza García,Natural Sciences,Private not for Profit,Undergraduate & Postgraduate,1047.0,9345.0,4966.0,3211.0,22.43417545,46:54:00,46.29549226,53.70450774,50.0,11.1,0.65
1201,1201-1400,Universidad de Valparaíso,Chile,Americas,L,FC,HI,Public,15.5,701+,8.4,701+,12.8,801+,5.0,801+,8.6,801+,2.9,801+,2.4,801+,34.3,801+,4.8,801+,39.7,801+,,UNIVERSIDAD DE VALPARAÍSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.75,42.94,20,116,301,0.0,0.0,5.75,0.0,0.0,Valparaíso,Engineering & Technology,Public,Undergraduate & Postgraduate,818.0,12438.0,7557.0,5650.0,28.2559578,65:35:00,64.82295994,35.17704006,52.0,10.2,4.11
1201,1201-1400,Universidad del Desarrollo,Chile,Americas,L,CO,HI,Private not for Profit,11.8,701+,15.7,701+,15.7,801+,4.0,801+,10.6,801+,3.3,801+,7.6,801+,18.3,801+,6.8,801+,47.5,774=,,UNIVERSIDAD DEL DESARROLLO,1485.0,16.4,12.1,47.2,28.0,51.0,"17,491",17.7,4%,57 : 43,27.452,,,,,,,,,,,5542.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,953.75,42.94,20,116,301,0.0,0.0,6.949999999999999,27.43,8.2356,Santiago,Natural Sciences,Private not for Profit,Undergraduate & Postgraduate,1119.0,11857.0,5634.0,700.0,4.0,57:43:00,57.0,43.0,56.0,7.9,2.63
1201,1001-1200,Universidad del Norte,Colombia,Americas,M,FC,HI,Private not for Profit,13.2,701+,14.3,701+,12.7,801+,6.0,801+,8.5,801+,1.7,801+,6.0,801+,27.1,801+,10.8,801+,44.2,801+,,UNIVERSIDAD DEL NORTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.1538461538462,48.13333333333333,13,212,301,0.0,0.0,5.1,0.0,0.0,Barranquilla,Arts & Humanities,Private not for Profit,Undergraduate & Postgraduate,1791.0,9197.0,8264.0,3906.0,22.36825817,24 : 76,24.19755049,75.80244951,98.0,9.6,3.29
1201,,Universidad del Valle de Guatemala (UVG),Guatemala,Americas,M,CO,MD,Private not for Profit,6.5,701+,11.0,701+,61.9,288,1.4,801+,9.4,801+,3.2,801+,7.4,801+,5.6,801+,15.3,801+,11.0,801+,,UNIVERSIDAD DEL VALLE DE GUATEMALA UVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.0,,1,1201,301,0.0,0.0,6.300000000000001,0.0,0.0,,,,,,,,,,,,,,,
1201,1201-1400,Universidad Industrial de Santander,Colombia,Americas,L,FC,MD,Public,12.7,701+,17.6,701+,5.8,801+,3.4,801+,6.0,801+,2.0,801+,6.3,801+,18.5,801+,13.3,801+,28.5,801+,,UNIVERSIDAD INDUSTRIAL DE SANTANDER,,,,,,,,,,,,,,,,,,,,,,6099.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,820.1538461538462,48.13333333333333,13,212,301,0.0,0.0,4.0,0.0,0.0,Colombia,Social Sciences & Management,Public,Undergraduate & Postgraduate,1638.0,11826.0,9952.0,218.0,1.0,46:54:00,46.0,54.0,64.0,8.0,2.74
