Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
148;369;University of Birmingham;GBR;Universities;1
149;375;Kyoto University *;JPN;Universities;1
150;377;University of Leeds *;GBR;Universities;1
151;378;Jinan University *;CHN;Universities;1
152;379;Universidad Complutense de Madrid *;ESP;Universities;1
153;386;Princeton University;USA;Universities;1
154;388;Jiangsu University *;CHN;Universities;1
155;392;Southern Medical University *;CHN;Universities;1
156;393;Ecole Polytechnique Federale de Lausanne *;CHE;Universities;1
157;394;China Agricultural University;CHN;Universities;1
158;395;Universidade de Lisboa *;PRT;Universities;1
159;399;University of Calgary *;CAN;Universities;1
160;402;China University of Geosciences;CHN;Universities;1
161;404;Technical University of Denmark;DNK;Universities;1
162;405;Wuhan University of Technology *;CHN;Universities;1
163;407;Lunds University;SWE;Universities;1
164;408;University of Arizona *;USA;Universities;1
165;413;University of Liverpool *;GBR;Universities;1
166;416;Queen Mary, University of London;GBR;Universities;1
167;419;Universitat Hamburg *;DEU;Universities;1
168;421;Universidade do Porto *;PRT;Universities;1
169;425;University of Oslo;NOR;Universities;1
170;426;China University of Mining and Technology *;CHN;Universities;1
171;428;Wageningen University and Research Centre;NLD;Universities;1
172;430;Universite PSL *;FRA;Universities;1
173;436;Michigan State University *;USA;Universities;1
174;438;Fergana Polytechnic Institute;UZB;Universities;1
175;449;California Institute of Technology *;USA;Universities;1
176;451;University of Virginia *;USA;Universities;1
177;455;Zhejiang University of Technology;CHN;Universities;1
178;459;Universitat Heidelberg *;DEU;Universities;1
179;465;McMaster University *;CAN;Universities;1
180;470;Norwegian University of Science and Technology *;NOR;Universities;1
181;475;University of Technology, Sydney;AUS;Universities;1
182;478;University of Bristol *;GBR;Universities;1
183;483;The Hong Kong University of Science and Technology *;HKG;Universities;1
184;484;North Carolina State University;USA;Universities;1
185;485;University of Science and Technology Beijing;CHN;Universities;1
185;485;Universite Montpellier *;FRA;Universities;1
187;488;National University of Defense Technology;CHN;Universities;1
188;489;Qingdao University *;CHN;Universities;1
189;491;University of Waterloo *;CAN;Universities;1
190;497;Royal Institute of Technology *;SWE;Universities;1
191;499;Universidad de Sevilla *;ESP;Universities;1
192;500;Universitat de Valencia *;ESP;Universities;1
193;502;Nanjing Medical University *;CHN;Universities;1
194;503;University of Colorado, Denver *;USA;Universities;1
195;507;Tel Aviv University;ISR;Universities;1
196;509;Southwest Jiaotong University;CHN;Universities;1
197;511;Universita degli Studi di Torino;ITA;Universities;1
198;513;National Taiwan University;TWN;Universities;1
199;514;Hanyang University *;KOR;Universities;1
200;524;University of Rochester *;USA;Universities;1
201;526;The University of Sheffield;GBR;Universities;1
202;527;Sungkyunkwan University;KOR;Universities;1
203;534;Virginia Polytechnic Institute and State University *;USA;Universities;1
204;536;Universidad Autonoma de Madrid *;ESP;Universities;1
205;538;Newcastle University, Newcastle upon Tyne;GBR;Universities;1
206;541;Nanjing University of Science and Technology;CHN;Universities;1
207;542;Beijing Normal University *;CHN;Universities;1
208;545;University of Miami *;USA;Universities;1
209;546;Osaka University *;JPN;Universities;1
210;551;University of Colorado, Boulder *;USA;Universities;1
211;553;Brown University;USA;Universities;1
212;556;University of Southampton;GBR;Universities;1
213;560;Baylor College of Medicine;USA;Universities;1
214;561;Southern University of Science and Technology;CHN;Universities;1
215;562;University of Texas Southwestern Medical Center;USA;Universities;1
216;568;Northeastern University, USA *;USA;Universities;1
217;569;Guangdong University of Technology *;CHN;Universities;1
218;573;University of Gothenburg;SWE;Universities;1
219;574;Universita degli Studi di Firenze;ITA;Universities;1
220;578;Stockholm University *;SWE;Universities;1
221;579;Friedrich-Alexander-Universitat Erlangen-Nurnberg *;DEU;Universities;1
222;583;University of Colorado, Anschutz Medical Campus;USA;Universities;1
223;584;University of California, Santa Barbara *;USA;Universities;1
224;590;Shanghai University;CHN;Universities;1
225;593;University of Illinois, Chicago *;USA;Universities;1
226;597;University of Georgia;USA;Universities;1
227;600;Universitat Bern *;CHE;Universities;1
228;604;Australian National University;AUS;Universities;1
229;605;University of Alabama, Birmingham *;USA;Universities;1
230;607;Deakin University *;AUS;Universities;1
231;610;University of Ottawa;CAN;Universities;1
232;612;Rheinisch-Westfalische Technische Hochschule Aachen;DEU;Universities;1
233;613;Vanderbilt University;USA;Universities;1
234;614;Northwest A and F University;CHN;Universities;1
235;615;University of Iowa *;USA;Universities;1
236;616;Huazhong Agricultural University;CHN;Universities;1
237;617;University of Athens;GRC;Universities;1
238;618;University of Auckland;NZL;Universities;1
239;620;Universidad de Granada *;ESP;Universities;1
240;624;Universitat Politecnica de Catalunya *;ESP;Universities;1
241;626;University of Maryland, Baltimore *;USA;Universities;1
242;627;Case Western Reserve University *;USA;Universities;1
243;629;Technische Universitat Dresden *;DEU;Universities;1
244;632;North China Electric Power University;CHN;Universities;1
245;634;Toyota Technological Institute at Chicago;USA;Universities;1
246;638;Hefei University of Technology *;CHN;Universities;1
247;643;University of Pittsburgh Health Sciences;USA;Universities;1
248;646;The University of Western Australia;AUS;Universities;1
249;647;University College Dublin;IRL;Universities;1
250;652;The University of Adelaide;AUS;Universities;1
251;655;Northeastern University, China;CHN;Universities;1
252;656;Tohoku University *;JPN;Universities;1
253;657;University of Warwick;GBR;Universities;1
254;659;University of Cincinnati *;USA;Universities;1
255;662;South China Agricultural University *;CHN;Universities;1
256;664;Cardiff University;GBR;Universities;1
257;666;Fuzhou University *;CHN;Universities;1
258;667;Aix-Marseille Universite *;FRA;Universities;1
259;668;Medizinische Universitat Wien;AUT;Universities;1
260;676;Rheinische Friedrich-Wilhelms-Universitat Bonn *;DEU;Universities;1
261;679;University of Exeter;GBR;Universities;1
262;680;King Abdullah University of Science and Technology;SAU;Universities;1
262;680;King Abdulaziz University *;SAU;Universities;1
264;689;Oregon Health & Science University *;USA;Universities;1
265;692;Universite de Montreal *;CAN;Universities;1
266;693;Nanchang University *;CHN;Universities;1
267;700;Karlsruher Institut fur Technologie;DEU;Universities;1
268;701;Tehran University of Medical Sciences *;IRN;Universities;1
269;702;Nanjing Forestry University;CHN;Universities;1
270;707;University of Western Ontario;CAN;Universities;1
271;709;Politecnico di Milano;ITA;Universities;1
272;717;Albert-Ludwigs-Universitat Freiburg im Breisgau;DEU;Universities;1
273;718;Kunming University of Science and Technology *;CHN;Universities;1
274;720;Universitat Pompeu Fabra *;ESP;Universities;1
275;723;Universita degli Studi di Pisa;ITA;Universities;1
276;726;Beijing University of Technology;CHN;Universities;1
277;727;Hohai University *;CHN;Universities;1
278;729;Eberhard-Karls-Universitat Tubingen;DEU;Universities;1
279;730;University of Connecticut, Storrs *;USA;Universities;1
280;733;Royal Melbourne Institute of Technology *;AUS;Universities;1
280;733;Freie Universitat Berlin *;DEU;Universities;1
282;738;Universite Grenoble-Alpes *;FRA;Universities;1
283;739;Universidade Federal de Minas Gerais;BRA;Universities;1
283;739;Weizmann Institute of Science;ISR;Universities;1
285;742;Nanjing Tech University;CHN;Universities;1
286;745;Aalborg University *;DNK;Universities;1
287;753;Beijing Jiaotong University;CHN;Universities;1
288;757;University of South Florida System *;USA;Universities;1
289;758;ShanghaiTech University *;CHN;Universities;1
289;758;Lanzhou University *;CHN;Universities;1
291;760;Queen's University Belfast;GBR;Universities;1
292;761;Guangzhou Medical University *;CHN;Universities;1
293;763;Universidad del Pais Vasco *;ESP;Universities;1
294;769;East China Normal University *;CHN;Universities;1
295;781;Beijing University of Chemical Technology;CHN;Universities;1
296;783;Maastricht University;NLD;Universities;1
297;786;Indiana University-Indianapolis *;USA;Universities;1
298;788;University of Massachusetts, Amherst;USA;Universities;1
299;789;Queensland University of Technology;AUS;Universities;1
300;792;Kyung Hee University *;KOR;Universities;1
301;797;Charles University *;CZE;Universities;1
302;798;Indiana University-Bloomington;USA;Universities;1
303;800;China Pharmaceutical University;CHN;Universities;1
304;801;Colorado State University, Fort Collins *;USA;Universities;1
305;802;London School of Hygiene and Tropical Medicine *;GBR;Universities;1
306;804;University of Ljubljana *;SVN;Universities;1
307;805;Universitat Duisburg Essen *;DEU;Universities;1
308;806;University of South Florida;USA;Universities;1
309;808;Universitat Politecnica de Valencia *;ESP;Universities;1
310;810;Johannes Gutenberg-Universitat Mainz *;DEU;Universities;1
311;812;University of Surrey;GBR;Universities;1
312;815;University of Minnesota Health and Medicine;USA;Universities;1
313;816;Humboldt-Universitat zu Berlin *;DEU;Universities;1
314;817;Temple University *;USA;Universities;1
315;818;Rice University;USA;Universities;1
316;823;Southwest University *;CHN;Universities;1
317;830;Universite de Geneve *;CHE;Universities;1
318;832;George Washington University *;USA;Universities;1
319;838;Chongqing University of Post and Telecommunications;CHN;Universities;1
320;843;VIT University *;IND;Universities;1
321;849;State University of New York, Buffalo;USA;Universities;1
322;852;China University of Petroleum;CHN;Universities;1
323;853;Nanjing Agricultural University;CHN;Universities;1
