university_id,2024 RANK,2023 RANK,University,Country Code,Country_x,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Rank,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,World Rank,Location,National_Rank_x,Quality of Education,Alumni Employment,Quality of Faculty,Research_Output_x,Quality_Publications,Influence,Citations_Count,Score,Latitude,Longitude,city_x,region_x,type_x,research_output_x,student_faculty_ratio_x,faculty_count_x,city_y,region_y,type_y,research_output_y,student_faculty_ratio_y,faculty_count_y,city,region,type,research_output,student_faculty_ratio,faculty_count,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_rank,country_avg_citations,country_avg_international_ratio,research_productivity_index,female_percentage,male_percentage,subject_field,citations_score,research_output_score,Enrollment,Undergrad_Students,Postgrad_Students,Faculty_Count,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank
U0477,851-900,1001-1200,University of Bucharest,RO,Romania,XL,FO,VH,5,A,15.5,564,13.8,586,6.5,701+,4.2,701+,2.8,701+,1.9,701+,28.7,465,34.7,222,27.8,469=,-,1139,32362,33.3,2%,70:30:00,29.5895,24.8,21.1,43.2,25.3,29.1,2024,827,Romania,3,461,1001,304,674,925,1001,673,70.9,45.9852129,24.6859225,Bucharest,Europe,Public,Very High,17,"1,972",Bucharest,Europe,Public,Very High,17,"1,972",Bucharest,Europe,Public,Very High,17,"1,972",6,1139,23.05858333,6.883333333,1481.666667,673,,29.86666667,70,30,,,100,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0478,851-900,801-1000,University of East London,UK,United Kingdom,L,CO,HI,3,A,3.6,601+,3.5,601+,3.5,701+,6.7,701+,74.2,258,100,31,2.1,701+,12,701+,1.1,701+,-,1086,14480,26.1,52%,56:44:00,30.6055,21.8,15.1,41,28.2,84.9,2024,-1,,-1,,,,,,,,,,,London,Europe,Public,High,22,582,London,Europe,Public,High,22,582,London,Europe,Public,High,22,582,69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,28.1,56,44,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0479,851-900,801-1000,University of Hertfordshire,UK,United Kingdom,L,CO,HI,3,A,4.7,601+,4.8,601+,6.4,701+,5.6,701+,63.4,305,99.5,42,11.2,647,12,701+,2.7,701+,-,764,20480,16.3,40%,52:48:00,37.759,18.6,13.4,67.2,33.9,91.6,2024,809,United Kingdom,54,667,1001,304,1001,823,514,541,71,54.7023545,-3.2765753,Hatfield,Europe,Public,High,17,1.234,Hatfield,Europe,Public,High,17,1.234,Hatfield,Europe,Public,High,17,1.234,69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,38.16666667,52,48,"Business & Management,General Engineering,Architecture,Physics & Astronomy,Geography,Communication & Media Studies,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sport Science,Psychology,Art, Performing Arts & Design,Education,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Other Health,Veterinary Science,Sociology,Law,Mathematics & Statistics,Economics & Econometrics",55.5,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0480,851-900,801-1000,University of Lincoln,UK,United Kingdom,L,CO,HI,3,A,6.1,601+,5.1,601+,9.1,701+,11.3,701+,64.6,298,30.1,421,9.6,679,8.9,701+,37.5,382=,-,571,15020,16.1,13%,55:45:00,42.9565,19.9,18.7,82.2,24.7,80.2,2024,-1,,-1,,,,,,,,,,,Lincoln,Europe,Public,High,16,959,Lincoln,Europe,Public,High,16,959,Lincoln,Europe,Public,High,16,959,69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,41.86666667,55,45,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0481,851-900,801-1000,University of Malta,MT,Malta,M,FC,HI,3,A,5.3,601+,5.2,601+,38.2,413,6.5,701+,15.1,665,11.2,688,35.4,416,47.4,147,2.3,701+,-,919,10056,12.3,14%,59:41:00,34.636,23.4,16.2,60.6,20.5,53.8,2024,-1,,-1,,,,,,,,,,,Msida,Europe,Public,High,10,900,Msida,Europe,Public,High,10,900,Msida,Europe,Public,High,10,900,1,919,34.636,5.3,919,,,32.43333333,59,41,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0482,851-900,801-1000,University of Maribor,SI,Slovenia,L,FC,HI,3,A,7,601+,6.7,601+,30.8,509,6.7,701+,1.9,701+,14.3,636,16.1,584,52.1,123,31.3,428=,-,1239,12919,14.4,11%,54:46:00,27.448,20.1,16.9,40.8,36.5,38.9,2024,978,Slovenia,2,667,1001,304,871,1001,1001,898,69.9,46.1199444,14.8153333,Maribor,Europe,Public,High,10,1.248,Maribor,Europe,Public,High,10,1.248,Maribor,Europe,Public,High,10,1.248,3,884,28.49216667,10.03333333,1212.333333,651.5,,31.4,54,46,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0483,851-900,1001-1200,University of Palermo,IT,Italy,L,CO,VH,5,A,10.9,601+,2.4,601+,5.1,701+,27.5,455,2.4,701+,1.9,701+,53.3,295,5.1,701+,9.7,673=,-,773,33972,22,1%,59:41:00,37.5385,18.9,22.5,69.8,47.2,34.8,2024,509,Italy,26,667,1001,304,438,494,633,460,73.7,42.6384261,12.674297,Palermo,Europe,Public,Very High,20,1.434,Palermo,Europe,Public,Very High,20,1.434,Palermo,Europe,Public,Very High,20,1.434,18,181,47.393,24.45,458.7222222,335.6666667,,46.5,59,41,,,100,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0484,851-900,801-1000,University of Parma,IT,Italy,L,FC,VH,5,A,9.4,601+,2.7,601+,2.6,701+,34.6,393,2,701+,6.3,701+,35.1,419,10.2,701+,3.7,701+,-,694,29840,33.4,6%,58:42:00,39.4755,19.4,22.6,72.2,65.9,38.7,2024,475,Italy,24,667,776,304,516,481,533,327,74,42.6384261,12.674297,Parma,Europe,Public,High,28,"1,007",Parma,Europe,Public,High,28,"1,007",Parma,Europe,Public,High,28,"1,007",18,181,47.393,24.45,458.7222222,335.6666667,,53.56666667,58,42,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0485,851-900,801-1000,University of Salford,UK,United Kingdom,L,CO,HI,4,A,7.4,601+,4,601+,6.7,701+,7.8,701+,38.1,422,70.1,210,20.8,539,11.8,701+,9.8,669=,-,832,20010,20.3,23%,55:45:00,36.267,18.8,15,61.1,46.9,82.2,2024,-1,,-1,,,,,,,,,,,Salford,Europe,Public,High,17,"1,124",Salford,Europe,Public,High,17,"1,124",Salford,Europe,Public,High,17,"1,124",69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,41,55,45,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0486,851-900,,University of South Africa,ZA,South Africa,XL,CO,VH,5,A,9.6,601+,4.9,601+,1,701+,8.8,701+,,,8,701+,81.8,136,66.6,81,,,-,1019,198816,114.2,3%,74:26:00,32.1785,24.7,19.3,50.5,26,41.4,2024,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,167,43.0708125,17.4875,629,559.4,,31.93333333,74,26,,,,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0487,851-900,801-1000,Worcester Polytechnic Institute,US,United States,M,CO,VH,5,B,3.9,601+,5.7,601+,17.1,701+,27.5,457,42.7,390,24.2,485,1.7,701+,11.8,701+,1.3,701+,-,654,5834,13,14%,38 : 62,40.381,30,22.1,61.2,61.8,57.2,2024,-1,,-1,,,,,,,,,,,Worcester,North America,Private,Very High,14,432,Worcester,North America,Private,Very High,14,432,Worcester,North America,Private,Very High,14,432,98,2,56.8432449,31.06530612,362.2653061,265.6666667,23.5,48.36666667,38,62,,,100,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0488,901-950,1001-1200,Athens University of Economics and Business,GR,Greece,M,FO,VH,5,A,7.4,601+,33.3,296,1.6,701+,17.7,588,1.7,701+,3.3,701+,1,701+,15.7,530,4.1,701+,-,950,10477,53.7,5%,45:55:00,33.823,18.1,23.6,53.3,57.8,44.5,2024,-1,,-1,,,,,,,,,,,Athens,Europe,Public,Very High,45,233,Athens,Europe,Public,Very High,45,233,Athens,Europe,Public,Very High,45,233,8,521,35.50925,15.3625,882.625,455,,44.9,45,55,,,100,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0489,901-950,801-1000,Donghua University,CN,China (Mainland),L,FO,VH,3,A,4,601+,1.5,601+,26.9,562,37.9,370,2.3,701+,3.4,701+,1.9,701+,6.2,701+,1.3,701+,-,573,23099,14.7,6%,44:56:00,42.8545,27.8,22.1,72.8,85.3,39.9,2024,705,China,65,667,1001,304,626,704,1001,460,71.8,30.047992,-94.3357433,,,,,,,,,,,,,,,,,,,35,12,56.53822857,28.66857143,328.4,574.8823529,12,60.06666667,44,56,,,,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0490,901-950,651-700,Kumamoto University,JP,Japan,M,FC,VH,4,A,7.6,601+,3.1,601+,56,266,12.3,691,5.9,701+,3.4,701+,3.1,701+,8.1,701+,1.9,701+,-,954,9384,9.8,6%,39 : 61,33.7035,33.6,19.6,40.9,77.5,36.5,2024,628,Japan,23,545,638,304,611,564,522,898,72.5,36.5748441,139.2394179,Kumamoto City,Asia,Public,Very High,8,1.267,Kumamoto City,Asia,Public,Very High,8,1.267,Kumamoto City,Asia,Public,Very High,8,1.267,37,29,35.23782432,24.98108108,1011.972973,567.8518519,,46,39,61,,,100,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
