country_code,country_name,year,gdp_per_capita_usd,education_expenditure_pct_gdp,tertiary_enrollment_ratio,population,literacy_rate_pct,data_source,download_timestamp_utc
BRB,Barbados,2021,21084.4013935998,4.49793004989624,54.672,282147.0,,World Bank API,2026-07-13 06:56:42 UTC
BRB,Barbados,2022,24393.2193483944,4.14000988006592,55.0600902713579,282318.0,,World Bank API,2026-07-13 06:56:42 UTC
BRB,Barbados,2023,25583.8722302505,3.7754499912262,54.2600399378744,282336.0,,World Bank API,2026-07-13 06:56:42 UTC
BRB,Barbados,2024,26897.2002039176,3.55593188106322,53.5815662047086,282467.0,,World Bank API,2026-07-13 06:56:42 UTC
BLR,Belarus,2020,6542.85579976768,4.86263990402222,79.900160036935,9379952.0,,World Bank API,2026-07-13 06:56:42 UTC
BLR,Belarus,2021,7489.71894713888,4.60641002655029,78.6027133367864,9302585.0,,World Bank API,2026-07-13 06:56:42 UTC
BLR,Belarus,2022,7994.64806074889,4.62823009490967,77.0977334087936,9228071.0,,World Bank API,2026-07-13 06:56:42 UTC
BLR,Belarus,2023,7896.75388295584,4.90902996063232,72.8250212584046,9178298.0,,World Bank API,2026-07-13 06:56:42 UTC
BLR,Belarus,2024,8605.60954569694,5.04593992233276,70.1107509145358,9132629.0,,World Bank API,2026-07-13 06:56:42 UTC
BEL,Belgium,2020,45906.2875805246,6.75470018386841,79.4996032714844,11538604.0,,World Bank API,2026-07-13 06:56:42 UTC
BEL,Belgium,2021,51658.238294958,6.38081979751587,82.6882019042969,11586195.0,,World Bank API,2026-07-13 06:56:42 UTC
BEL,Belgium,2022,50639.0264882739,6.27611017227173,83.5736465454102,11680210.0,,World Bank API,2026-07-13 06:56:42 UTC
BEL,Belgium,2023,55244.68145811,,82.1475601196289,11779946.0,,World Bank API,2026-07-13 06:56:42 UTC
BEL,Belgium,2024,56581.9375642531,,,11858610.0,,World Bank API,2026-07-13 06:56:42 UTC
BLZ,Belize,2020,5238.54078175696,5.21301984786987,25.9421694120047,390812.0,,World Bank API,2026-07-13 06:56:42 UTC
BLZ,Belize,2021,6142.98930557031,5.96298980712891,23.6813942822198,395346.0,,World Bank API,2026-07-13 06:56:42 UTC
BLZ,Belize,2022,7068.21728043145,4.60415983200073,23.9767727412258,402733.0,87.879997253418,World Bank API,2026-07-13 06:56:42 UTC
BLZ,Belize,2023,7424.75821321022,4.23143005371094,22.3734089825019,411106.0,,World Bank API,2026-07-13 06:56:42 UTC
BLZ,Belize,2024,7681.24400583113,4.62276317232973,24.8098643151325,417072.0,,World Bank API,2026-07-13 06:56:42 UTC
BEN,Benin,2020,1200.19426557789,2.89898431911618,10.3808002471924,13070169.0,,World Bank API,2026-07-13 06:56:42 UTC
BEN,Benin,2021,1318.65158075198,3.09692638090381,9.82796955108643,13413417.0,43.8300018310547,World Bank API,2026-07-13 06:56:42 UTC
BEN,Benin,2022,1266.42711031904,3.0972642678305,10.2350101470947,13759501.0,51.3800010681152,World Bank API,2026-07-13 06:56:42 UTC
BEN,Benin,2023,1394.17784721831,3.22974322056608,,14111034.0,,World Bank API,2026-07-13 06:56:42 UTC
BEN,Benin,2024,1485.38018885134,,,14462724.0,,World Bank API,2026-07-13 06:56:42 UTC
BMU,Bermuda,2020,106976.546239632,1.74834797496856,,64382.0,,World Bank API,2026-07-13 06:56:42 UTC
BMU,Bermuda,2021,112765.08167306,1.94565325816336,,64648.0,,World Bank API,2026-07-13 06:56:42 UTC
