university_id,normalized_name,university_name,country
U002970,university of innsbruck,University of Innsbruck,Austria
U002976,university of jaen,University of Jaén,Spain
U002995,university of kiel,University of Kiel,Germany
U003003,university of la costa,University of la Costa,Colombia
U003004,university of la frontera,University of La Frontera,Chile
U003005,university of la laguna,University of La Laguna,Spain
U003006,university of la sabana,University of La Sabana,Colombia
U003011,university of lampung,University of Lampung,Indonesia
U003013,university of las americas,University of Las Américas (UDLA),Ecuador
U003014,university of las palmas de gran canaria,University of Las Palmas de Gran Canaria,Spain
U003019,university of leoben,University of Leoben,Austria
U003020,university of leon,University of León,Spain
U003025,university of lille,University of Lille,France
U003031,university of lleida,University of Lleida,Spain
U003032,university of lodz,University of Lodz,Poland
U003033,university of lorraine,University of Lorraine,France
U003034,university of los lagos,University of Los Lagos,Chile
U003041,university of magallanes,University of Magallanes,Chile
U003042,university of malaga,University of Malaga,Spain
U003050,university of manouba,University of Manouba,Tunisia
U003052,university of marburg,University of Marburg,Germany
U003054,university of marrakech cadi ayyad,University of Marrakech Cadi Ayyad,Morocco
U003057,university of mascara,University of Mascara,Algeria
U003058,university of massachusetts,University of Massachusetts,United States
U003064,university of medea,University of Medea,Algeria
U003065,university of medellin,University of Medellín,Colombia
U003066,university of medicine and pharmacy carol davila,University of Medicine and Pharmacy Carol Davila,Romania
U003068,university of melbourne,University of Melbourne,Australia
U003072,university of michigan ann arbor,University of Michigan-Ann Arbor,United States
U003074,university of milan bicocca,University of Milan-Bicocca,Italy
U003078,university of minnesota twin cities,University of Minnesota Twin Cities,United States
U003082,university of missouri columbia,"University of Missouri, Columbia",United States
U003084,university of missouri saint louis,University of Missouri Saint Louis,United States
U003089,university of mohamed lamine debaghin setif 2,University of Mohamed Lamine Debaghin Setif 2,Algeria
U003093,university of montana missoula,University of Montana Missoula ,United States
U003096,university of montreal,University of Montreal,Canada
U003101,university of murcia,University of Murcia,Spain
U003107,university of naples parthenope,University of Naples Parthenope,Italy
U003108,university of navarra,University of Navarra,Spain
U003110,university of nebraska medical center,University of Nebraska Medical Center,United States
U003114,university of new brunswick unb,University of New Brunswick UNB,Canada
U003115,university of new england australia,University of New England Australia,Australia
U003118,university of newcastle,University of Newcastle,Australia
U003120,university of nigeria nsukka,University of Nigeria Nsukka,Nigeria
U003122,university of nis,University of Niš,Serbia
U003126,university of north carolina chapel hill,"University of North Carolina, Chapel Hill",United States
U003147,university of oum el bouaghi,University of Oum El Bouaghi,Algeria
U003148,university of oviedo,University of Oviedo,Spain
U003156,university of passo fundo,University of Passo Fundo (UPF),Brazil
U003158,university of pau and pays de ladour,University of Pau and Pays de l’Adour,France
U003163,university of pernambuco,University of Pernambuco,Brazil
U003166,university of petra,University of Petra,Jordan
U003171,university of pittsburgh pittsburgh campus,University of Pittsburgh-Pittsburgh campus,United States
U003175,university of porto,University of Porto,Portugal
U003181,university of professional studies accra,"University of Professional Studies, Accra",Ghana
U003182,university of puerto rico,University of Puerto Rico,Puerto Rico
U003189,university of rennes 1,University of Rennes 1,France
U003194,university of rome ii tor vergata,University of Rome II – Tor Vergata,Italy
U003195,university of rome iii,University of Rome III,Italy
U003199,university of saida,University of Saida,Algeria
U003201,university of salamanca,University of Salamanca,Spain
U003208,university of san martin de porres,University of San Martín de Porres,Peru
U003210,university of santander,University of Santander,Colombia
U003211,university of santiago chile,"University of Santiago, Chile (USACH)",Chile
U003212,university of santiago de compostela,University of Santiago de Compostela,Spain
U003214,university of sao paulo,University of São Paulo,Brazil
U003221,university of science and technology of oran mohamed boudiaf,University of Science and Technology of Oran Mohamed-Boudiaf,Algeria
U003225,university of seville,University of Seville,Spain
U003236,university of sonora,University of Sonora,Mexico
U003238,university of souk ahras,University of Souk Ahras,Algeria
U003243,university of south bohemia,University of South Bohemia,Czech Republic
U003246,university of south carolina columbia,University of South Carolina-Columbia,United States
U003250,university of south santa catarina,University of South Santa Catarina (Unisul),Brazil
U003262,university of strasbourg,University of Strasbourg,France
U003266,university of sufism and modern sciences,University of Sufism and Modern Sciences (USMS),Pakistan
U003283,university of technology of compiegne,University of Technology of Compiègne,France
U003284,university of technology of troyes,University of Technology of Troyes,France
U003287,university of telafer,University of Telafer,Iraq
U003288,university of texas at arlington,University of Texas at Arlington,United States
U003289,university of texas at austin,University of Texas at Austin,United States
U003290,university of texas at dallas,University of Texas at Dallas,United States
U003291,university of texas at el paso,University of Texas at El Paso,United States
U003292,university of texas at san antonio,University of Texas at San Antonio,United States
U003293,university of texas dallas,University of Texas Dallas,United States
U003294,university of texas el paso,University of Texas El Paso ,United States
U003295,university of texas rio grande valley,University of Texas Rio Grande Valley,United States
U003297,university of the andes chile,"University of the Andes, Chile",Chile
U003298,university of the andes colombia,"University of the Andes, Colombia",Colombia
U003299,university of the andes venezuela,"University of the Andes, Venezuela",Venezuela
U003301,university of the balearic islands,University of the Balearic Islands,Spain
U003305,university of the north colombia,"University of the North, Colombia",Colombia
U003307,university of the peloponnese,University of the Peloponnese,Greece
U003308,university of the philippines,University of the Philippines,Philippines
U003319,university of thi qar,University of Thi-Qar,Iraq
U003322,university of toulouse,University of Toulouse,France
U003323,university of tours,University of Tours,France
U003329,university of troms the arctic university of norway,University of Tromsø The Arctic University of Norway,Norway
U003333,university of tunis,University of Tunis,Tunisia
U003334,university of tunis el manar,University of Tunis El Manar,Tunisia
U003337,university of tuscia,University of Tuscia,Italy
U003342,university of urbino carlo bo,University of Urbino Carlo Bo,Italy
U003346,university of vale do itajai,University of Vale do Itajaí,Brazil
U003347,university of valencia,University of Valencia,Spain
U003348,university of valladolid,University of Valladolid,Spain
U003352,university of veterinary and animal sciences lahore,"University of Veterinary and Animal Sciences, Lahore",Pakistan
U003353,university of veterinary medicine and pharmacy in kosice,University of Veterinary Medicine and Pharmacy in Košice,Slovakia
U003354,university of vic central university of catalonia,University of Vic – Central University of Catalonia,Spain
U003357,university of vigo,University of Vigo,Spain
U003362,university of warith alanbiyaa,University of Warith Alanbiyaa,Iraq
U003369,university of west bohemia,University of West Bohemia ,Czech Republic
U003377,university of witwatersrand,University of Witwatersrand,South Africa
U003382,university of wroclaw,University of Wroclaw,Poland
U003391,university of zaragoza,University of Zaragoza,Spain
U003395,university paris 2 pantheon assas,University Paris 2 Panthéon-Assas,France
U003396,university politehnica of bucharest,University POLITEHNICA of Bucharest,Romania
U003397,university politehnica of timisoara upt,"University Politehnica of Timisoara, UPT",Romania
U003398,university rey juan carlos,University Rey Juan Carlos,Spain
U003399,university ulm,University Ulm,Germany
U003400,unnoba,UNNOBA,Argentina
U003402,upes,UPES,India
U003405,ural federal university urfu,Ural Federal University - UrFU,Russia
U003412,uruk university,Uruk University,Iraq
U003413,usak university,Uşak University,Turkey
U003414,usamv cluj napoca,USAMV Cluj-Napoca,Romania
U003415,usi universita della svizzera italiana,USI - Università della Svizzera italiana,Switzerland
U003417,usmanu danfodiyo university sokoto,"Usmanu Danfodiyo University, Sokoto",Nigeria
U003422,uzbekistan state university of world languages,Uzbekistan State University of World Languages,Uzbekistan
U003427,van yuzuncu yil university,Van Yüzüncü Yil University,Turkey
U003432,vasyl stefanyk precarpathian national university,Vasyl Stefanyk Precarpathian National University,Ukraine
U003434,vellore institute of technology,Vellore Institute of Technology (VIT),India
U003435,veltech university,Veltech University,India
U003436,veritas university abuja,"Veritas University, Abuja",Nigeria
U003437,verona university,Verona University,Italy
U003440,viet nam national university ho chi minh city,Viet Nam National University Ho Chi Minh City (VNU-HCM),Vietnam
U003443,vignans foundation for science technology and research,"Vignan’s Foundation for Science, Technology and Research",India
U003444,vila velha university,Vila Velha University,Brazil
U003447,vinayaka missions research foundation,Vinayaka Mission’s Research Foundation,India
U003449,virginia polytechnic institute and state university,Virginia Polytechnic Institute and State University,United States
U003452,visvesvaraya national institute of technology nagpur,"Visvesvaraya National Institute of Technology, Nagpur",India
U003454,vit university,VIT University,India
U003470,warsaw university of life sciences sggw,Warsaw University of Life Sciences – SGGW (WULS-SGGW),Poland
U003475,wasit university,Wasit University,Iraq
U003492,westfalische wilhelms universitat munster,Westfälische Wilhelms-Universität Münster ,Germany
U003493,whu beisheim,WHU: Beisheim,Germany
U003499,wrexham glyndwr university,Wrexham Glyndwr University,United Kingdom
U003504,wroclaw university of science and technology,Wroclaw University of Science and Technology (WRUST),Poland
U003505,wsb academy,WSB Academy,Poland
U003515,xuzhou medical university,Xuzhou Medical University,China
U003516,yagshigeldi kakayev international university of oil and gas,Yagshigeldi Kakayev International University of Oil and Gas,Turkmenistan
U003534,yildiz technical university,Yildiz Technical University,Turkey
U003546,yusuf maitama sule university kano,"Yusuf Maitama Sule University, Kano",Nigeria
U003560,zhetysu university,Zhetysu University,Kazakhstan
U003565,zurcher hochschule winterthur,Zürcher Hochschule Winterthur,Switzerland
