university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,normalized_name,university_id,2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
Johns Hopkins University,2020.0,24,83.9,https://www.topuniversities.com/universities/johns-hopkins-university,United States,Baltimore,North America,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,Private,Very High,3.0,"5,070",L,"4,855",johns hopkins university,U001039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke University,2020.0,25,83.8,https://www.topuniversities.com/universities/duke-university,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,Private,Very High,3.0,"3,445",L,"5,673",duke university,U000534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Hong Kong,2020.0,25,83.8,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,Public,Very High,7.0,"8,311",L,"2,944",the university of hong kong,U002188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Manchester,2020.0,27,82.7,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,Public,Very High,8.0,"16,079",XL,"4,889",the university of manchester,U002191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of California, Berkeley (UCB)",2020.0,28,82.6,https://www.topuniversities.com/universities/university-california-berkeley-ucb,United States,Berkeley,North America,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,Public,Very High,11.0,"9,428",XL,"3,701",university of california berkeley,U002809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Australian National University,2020.0,29,82.1,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,Oceania,https://www.topuniversities.com/sites/default/files/the-australian-national-university_40_small.jpg,Public,Very High,9.0,"6,496",L,"1,763",the australian national university,U002147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Toronto,2020.0,29,82.1,https://www.topuniversities.com/universities/university-toronto,Canada,Toronto,North America,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,Public,Very high,8.0,"27,536",XL,"9,881",university of toronto,U003321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern University,2020.0,31,81.5,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,North America,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,Private,Very High,5.0,"3,846",L,"3,652",northwestern university,U001562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hong Kong University of Science and Technology,2020.0,32,80.6,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,Public,Very High,8.0,"3,033",M,697,the hong kong university of science and technology,U002160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's College London,2020.0,33,80.5,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,Public,Very High,7.0,"15,075",L,"4,216",king s college london,U001139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyoto University,2020.0,33,80.5,https://www.topuniversities.com/universities/kyoto-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,Public,Very High,6.0,"2,863",L,"3,911",kyoto university,U001204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGill University,2020.0,35,80.4,https://www.topuniversities.com/universities/mcgill-university,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,Public,Very High,7.0,"10,827",L,"3,876",mcgill university,U001316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
