university_id,university_name,country,openalex_name,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U000160,Ariel University,Israel,Ariel University,https://openalex.org/I52170813,15289,352814,173,8791,2.3668447694038246
U000161,Aristotle University of Thessaloniki,Greece,Aristotle University of Thessaloniki,https://openalex.org/I21370196,108507,6883796,547,124293,3.271990245572003
U000162,Arizona State University,United States,Arizona State University,https://openalex.org/I55732556,195826,13916016,964,166442,3.492092849275784
U000165,Armenian State University of Economics,Armenia,Armenian State University of Economics,https://openalex.org/I260099557,1626,2105,16,49,0.3424657534246575
U000166,Arts et Métiers,France,Arts et Métiers,https://openalex.org/I190861549,15261,641989,241,12650,2.5114844746916205
U000167,Arts University Bournemouth,United Kingdom,Arts University Bournemouth,https://openalex.org/I3131094493,256,2576,23,39,0.3777777777777777
U000168,Arts University Plymouth,United Kingdom,Arts University Plymouth,https://openalex.org/I2801530513,119,769,14,15,0.5
U000169,Arturo Prat University,Chile,Arturo Prat University,https://openalex.org/I94256465,3955,56500,88,1263,2.133371169125993
U000170,Asahi University,Japan,Asahi University,https://openalex.org/I142822886,4049,175212,134,3038,0.8179800221975583
U000172,Ashikaga University,Japan,Ashikaga University,https://openalex.org/I100248960,2027,40833,76,704,1.1336633663366336
U000177,Assiut University ,Egypt,Assiut University,https://openalex.org/I91041137,47141,1141453,240,27520,2.81160621761658
U000178,Aston University,United Kingdom,Aston University,https://openalex.org/I169199633,36968,1778998,416,27158,4.239387088671188
U000179,Aswan University,Egypt,Aswan University,https://openalex.org/I86310350,12100,250299,156,5726,3.089133797370456
U000181,Ateneo de Manila University,Philippines,Ateneo de Manila University,https://openalex.org/I19722,6011,103229,116,2139,1.9696164071401443
U000182,Athens University of Economics and Business,Greece,Athens University of Economics and Business,https://openalex.org/I73142707,13358,478718,241,7699,1.931020066889632
U000186,Auburn University,United States,Auburn University,https://openalex.org/I82497590,81407,3917258,481,71246,2.577556235077284
U000187,Auckland University of Technology (AUT),New Zealand,Auckland University of Technology,https://openalex.org/I39854758,34923,8111357,1437,23861,2.913919575784357
U000191,Austral University,Argentina,Austral University,https://openalex.org/I204205638,5141,122038,113,2214,1.825207468879668
U000192,Austral University of Chile,Chile,Austral University of Chile,https://openalex.org/I16465266,22470,721686,217,15734,1.5702781844802345
U000193,Australian Catholic University,Australia,Australian Catholic University,https://openalex.org/I86695891,22901,925848,299,15172,4.1439786465693205
U000194,Australian National University,Australia,Australian National University,https://openalex.org/I118347636,192008,14473177,1062,167482,4.173798695961865
U000201,Azarbaijan Shahid Madani University,Iran,Azarbaijan Shahid Madani University,https://openalex.org/I51301133,7753,184190,137,4352,3.298956158663883
U000202,Azerbaijan State Oil and Industry University,Azerbaijan,Azerbaijan State Oil and Industry University,https://openalex.org/I136806742,4744,30856,66,658,0.6072587784007082
U000203,Azerbaijan State University of Economics,Azerbaijan,Azerbaijan State University of Economics,https://openalex.org/I4210086371,4602,47768,86,1243,5.920745272525028
U000204,Azerbaijan University of Architecture and Construction,Azerbaijan,Azerbaijan University of Architecture and Construction,https://openalex.org/I4210127900,1200,3536,26,84,1.0461538461538462
U000206,Babcock University,Nigeria,Babcock University,https://openalex.org/I30887324,7551,67344,86,1438,1.500402900886382
U000208,Babol Noshirvani University of Technology,Iran,Babol Noshirvani University of Technology,https://openalex.org/I84248293,8309,379160,197,7627,4.940143655227455
U000209,Babol University of Medical Sciences,Iran,Babol University of Medical Sciences,https://openalex.org/I70876197,11821,496624,215,9982,2.3942895989123048
U000212,Badr University in Cairo (BUC),Egypt,Badr University in Cairo,https://openalex.org/I4210151980,3347,56367,83,1450,4.413864818024264
U000213,Bahauddin Zakariya University ,Pakistan,Bahauddin Zakariya University,https://openalex.org/I127670440,19609,675278,220,14548,4.117127263276444
U000214,Bahçeşehir University,Turkey,Bahçeşehir University,https://openalex.org/I128277893,11313,237281,168,4534,2.4137331594958717
U000215,Bahria University,Pakistan,Bahria University,https://openalex.org/I59225215,11342,166466,134,3814,1.9459790209790209
U000216,Bakrie University,Indonesia,Bakrie University,https://openalex.org/I205458487,1550,9669,42,245,0.2895086321381142
U000217,Baku Engineering University,Azerbaijan,Baku Engineering University,https://openalex.org/I4210157156,1110,7636,42,173,1.3822751322751323
U000218,Baku State University,Azerbaijan,Baku State University,https://openalex.org/I194342707,7673,89106,89,2135,1.5191961607678464
U000220,"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)",Pakistan,"Balochistan University of Information Technology, Engineering and Management Sciences",https://openalex.org/I143719379,3899,84054,104,1951,2.927140255009108
U000222,Banaras Hindu University,India,Banaras Hindu University,https://openalex.org/I91357014,73169,3822712,406,75700,3.22781142320142
U000223,Banasthali University,India,Banasthali University,https://openalex.org/I102117144,9149,218434,145,4994,3.29810443490701
U000225,Bandung Institute of Technology (ITB),Indonesia,Bandung Institute of Technology,https://openalex.org/I134635517,56415,802914,200,19408,1.2447178822957985
U000227,Bangladesh Agricultural University (BAU),Bangladesh,Bangladesh Agricultural University,https://openalex.org/I24057909,16665,468092,198,10789,2.616994477279333
U000228,Bangladesh University of Engineering and Technology,Bangladesh,Bangladesh University of Engineering and Technology,https://openalex.org/I183697816,18636,508598,207,10926,3.579557328773629
U000229,Bangor University,United Kingdom,Bangor University,https://openalex.org/I161548249,36974,2367434,471,32079,2.7649769585253456
U000230,Banking University,Ukraine,Banking University,https://openalex.org/I4210131056,713,6305,35,179,0.5769230769230769
U000231,Bar-Ilan University,Israel,Bar-Ilan University,https://openalex.org/I13955877,59453,3556012,544,51995,2.845961810943931
U000233,Bartin University,Turkey,Bartin University,https://openalex.org/I254571519,7960,130641,116,2913,2.681624538483385
U000234,Bashkir State Medical University,Russian Federation,Bashkir State Medical University,https://openalex.org/I4210120901,4760,58761,75,902,0.8227785959744722
U000235,Bashkir State University,Russian Federation,Bashkir State University,https://openalex.org/I138958963,6637,94435,99,1492,1.084931506849315
U000236,Başkent University,Turkey,Başkent University,https://openalex.org/I188740104,19793,600686,172,15797,1.327269800386349
U000237,Basrah University College of Science and Technology,Iraq,Basrah University College of Science and Technology,https://openalex.org/I4391768058,140,2109,28,49,1.5
U000238,Bath Spa University,United Kingdom,Bath Spa University,https://openalex.org/I91047523,4684,64583,89,950,0.6344473007712083
U000239,Bauman Moscow State Technical University,Russia,Bauman Moscow State Technical University,https://openalex.org/I177537411,24281,240327,107,6492,2.050796332046332
U000240,Bayburt University,Turkey,Bayburt University,https://openalex.org/I140940799,4671,47636,82,1095,1.4867213906325447
U000242,Baylor College of Medicine,United States,Baylor College of Medicine,https://openalex.org/I181547552,164908,27357213,1441,235965,3.916263901664019
U000243,Baylor University,United States,Baylor University,https://openalex.org/I157394403,40598,2588762,511,36505,2.8841018582243634
U000244,Baze University,Nigeria,Baze University,https://openalex.org/I3132818693,1742,12838,48,335,1.2386792452830189
U000245,Beihang University (former BUAA),China (Mainland),Beihang University,https://openalex.org/I82880672,150547,7697395,556,151786,5.016492474719392
U000246,Beijing Foreign Studies University,China (Mainland),Beijing Foreign Studies University,https://openalex.org/I109173049,4146,40388,84,846,2.064516129032258
U000247,Beijing Forestry University,China,Beijing Forestry University,https://openalex.org/I31683504,43678,2314998,326,49846,4.44042469524184
U000248,Beijing Institute of Technology,China (Mainland),Beijing Institute of Technology,https://openalex.org/I125839683,137929,7800566,575,146837,5.472620896136986
U000249,Beijing Jiaotong University,China (Mainland),Beijing Jiaotong University,https://openalex.org/I21193070,80327,2774746,337,61523,3.793979343353766
U000250,Beijing Normal University ,China (Mainland),Beijing Normal University,https://openalex.org/I25254941,118427,6585875,584,117638,4.510232967921776
U000251,Beijing University of Chemical Technology,China (Mainland),Beijing University of Chemical Technology,https://openalex.org/I75390827,55796,6033409,530,104484,7.597571359065845
U000252,Beijing University of Chinese Medicine,China (Mainland),Beijing University of Chinese Medicine,https://openalex.org/I17747738,29555,1401460,291,33239,3.5794884422419897
U000253,Beijing University of Posts and Telecommunications,China (Mainland),Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,79370,2780096,386,58726,2.8245589526622497
U000254,Beijing University of Technology,China (Mainland),Beijing University of Technology,https://openalex.org/I37796252,80056,3793168,395,81107,4.930017890163417
U000255,Beirut Arab University ,Lebanon,Beirut Arab University,https://openalex.org/I36314861,5249,124458,121,3042,2.9253200568990043
U000256,Belarusian National Technical University (BNTU),Belarus,Belarusian National Technical University,https://openalex.org/I45812101,6451,37083,67,882,0.8870662460567823
