university_id,university_name,country,matched_name,score,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U002052,SWPS University of Social Sciences and Humanities,Poland,VNU University of Social Sciences and Humanities,90.72164948453609,https://openalex.org/I4405262989,0,0,0,0,0.0
U002074,Tarlac Agricultural University,Philippines,Kerala Agricultural University,90.0,https://openalex.org/I54021868,5592,64568,86,1442,0.8844651162790698
U002076,Tashkent Institute of Chemical Technology,Uzbekistan,Tashkent Chemical-Technological Institute,90.2439024390244,https://openalex.org/I4210136103,2251,6567,29,211,0.913317191283293
U002078,Tashkent Institute of Irrigation and Agricultural Mechanisation,Uzbekistan,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,91.17647058823529,https://openalex.org/I4210109462,7053,72911,65,2275,1.8499804916113929
U002091,Tashkent University of Information Technologies,Uzbekistan,Tashkent University of Information Technology,95.65217391304348,https://openalex.org/I21256249,5240,28271,45,824,1.139751552795031
U002097,Technical University of Cartagena,Spain,Technical University of Crete,90.32258064516128,https://openalex.org/I55741626,11533,601379,273,9559,2.4376976597090447
U002102,Technical University of Kosice,Slovakia,Technical University of Košice,90.0,https://openalex.org/I183764125,19349,431386,156,11096,1.977263661747108
U002104,Technical University of Loja,Ecuador,Technical University of Moldova,91.52542372881356,https://openalex.org/I177823932,3823,74884,123,1243,1.4793650793650794
U002146,The American University in Cairo,Egypt,American University in Cairo,93.33333333333333,https://openalex.org/I80693520,11744,293592,164,6681,3.174635701275045
U002147,The Australian National University,Australia,Australian National University,93.75,https://openalex.org/I118347636,192008,14473177,1062,167482,4.173798695961865
U002148,The British University in Dubai,United Arab Emirates,British University in Dubai,93.10344827586206,https://openalex.org/I193260172,2163,62638,108,1114,3.695821185617104
U002149,The British University in Egypt,Egypt,British University in Egypt,93.10344827586206,https://openalex.org/I154023281,6976,131381,111,3243,3.1590848629954773
U002150,The Catholic University of America,United States,Catholic University of America,93.75,https://openalex.org/I84470341,33938,1865987,405,27396,2.713590342679128
U002151,The Catholic University of Korea ,South Korea,Catholic University of Korea,93.33333333333333,https://openalex.org/I87111246,53755,3284732,338,75755,2.8190031556650674
U002153,"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,Gheorghe Asachi Technical University of Iași,91.30434782608697,https://openalex.org/I4210108695,15422,329545,155,7976,1.813931656027037
U002156,The Hashemite University,Jordan,Hashemite University,90.9090909090909,https://openalex.org/I157392197,13468,302496,170,6587,3.269460206605558
U002157,The Hebrew University of Jerusalem,Israel,Hebrew University of Jerusalem,93.75,https://openalex.org/I197251160,147928,11170311,842,151107,2.704542755344418
U002159,The Hong Kong Polytechnic University,Hong Kong SAR,Hong Kong Polytechnic University,94.11764705882352,https://openalex.org/I14243506,152491,9262185,651,145908,6.690398343414528
U002160,The Hong Kong University of Science and Technology,Hong Kong SAR,Hong Kong University of Science and Technology,95.83333333333334,https://openalex.org/I200769079,94210,8564486,746,110001,6.46152405916495
U002162,The Islamia University of Bahawalpur,Pakistan,Islamia University of Bahawalpur,94.11764705882352,https://openalex.org/I174731842,21408,670397,215,14607,5.365879973027647
U002163,The Islamic University,Iraq,Islamic University,90.0,https://openalex.org/I40279923,15977,143096,119,3310,1.5867524602573808
U002164,The Jikei University School of Medicine,Japan,Jikei University School of Medicine,94.5945945945946,https://openalex.org/I115498069,26828,1489803,316,29634,1.8178056889545624
U002165,The John Paul II Catholic University of Lublin,Poland,John Paul II Catholic University of Lublin,95.45454545454545,https://openalex.org/I111702420,15580,118245,117,2530,1.7213500784929356
U002167,The LNM Institute of Information Technology,India,LNM Institute of Information Technology,95.1219512195122,https://openalex.org/I33552525,2135,42973,76,1097,1.8830462375339985
U002168,The London School of Economics and Political Science (LSE),United Kingdom,London School of Economics and Political Science,92.3076923076923,https://openalex.org/I909854389,73094,2697578,546,31737,2.9904131251235424
U002170,The National University of Ostroh Academy,Ukraine,National University Ostroh Academy,90.66666666666666,https://openalex.org/I3130895234,921,2359,21,46,0.2533333333333333
U002171,The National University of Science and Technology MISIS,Russia,National University of Science and Technology,90.0,https://openalex.org/I4405254421,0,0,0,0,0.0
U002175,The Rockefeller University,United States,Rockefeller University,91.66666666666666,https://openalex.org/I83399316,45412,12879036,1169,83785,6.75041782729805
U002178,The University of Aizu,Japan,University of Aizu,90.0,https://openalex.org/I141591182,8695,236177,185,4476,3.599264705882353
U002179,The University of Alabama,United States,University of South Alabama,92.3076923076923,https://openalex.org/I83809506,21872,1410209,384,19659,1.9292219204345744
U002180,The University of Arizona,United States,University of Arizona,91.30434782608697,https://openalex.org/I138006243,259568,22824158,1266,267392,3.8012330940193295
U002181,The University of Auckland,New Zealand,University of Auckland,91.66666666666666,https://openalex.org/I154130895,141721,9843689,764,135174,3.3378772272019988
U002182,The University of Chicago,United States,University of Chicago,91.30434782608697,https://openalex.org/I40347166,306617,34391647,1625,320271,4.143974850734889
U002184,The University of Edinburgh,United Kingdom,University of Edinburgh,92.0,https://openalex.org/I98677209,280399,25927521,1329,280444,3.9146779588481073
U002185,The University of Electro-Communications,Japan,University of Electro-Communications,94.73684210526316,https://openalex.org/I20529979,30483,867287,264,17670,2.3151053339309726
U002186,The University of Exeter,United Kingdom,University of Exeter,90.9090909090909,https://openalex.org/I23923803,116755,7404521,795,88024,3.7862103174603177
U002187,The University of Georgia,United States,University of Georgia,91.30434782608697,https://openalex.org/I4210126868,1211,18311,65,368,4.320366132723112
U002188,The University of Hong Kong,Hong Kong SAR,University of Hong Kong,92.0,https://openalex.org/I889458895,229042,21888471,1163,272210,4.89807209622426
U002189,The University of Jordan,Jordan,University of Jordan,90.9090909090909,https://openalex.org/I114972647,38089,1073112,271,22571,3.5555609028345927
U002190,The University of Lahore,Pakistan,University of Lahore,90.9090909090909,https://openalex.org/I142204992,22131,491437,204,10503,5.066817434210527
U002191,The University of Manchester,United Kingdom,University of Manchester,92.3076923076923,https://openalex.org/I28407311,313219,28666738,1236,351562,3.651800779053055
U002195,The University of Northampton,United Kingdom,University of Northampton,92.5925925925926,https://openalex.org/I35870678,6876,165753,144,2822,1.9811178247734136
U002198,The University of Sheffield,United Kingdom,University of Sheffield,92.0,https://openalex.org/I91136226,190139,15829041,980,199189,3.6181974282425022
U002199,The University of Shiga Prefecture,Japan,University of Shiga Prefecture,93.75,https://openalex.org/I139159150,4700,106385,101,2682,1.1868958109559613
U002201,"The University of Tennessee, Knoxville",United States,University of Tennessee at Knoxville,90.41095890410959,https://openalex.org/I75027704,147326,10510562,763,147178,3.093772893772894
U002204,The University of the West Indies,Jamaica,University of the West Indies,93.5483870967742,https://openalex.org/I4210129319,5502,359164,182,3769,3.25
U002206,The University of Tulsa,United States,University of Tulsa,90.47619047619048,https://openalex.org/I87208437,18707,692334,266,12397,2.306921944035346
U002207,The University of Warwick,United Kingdom,University of Warwick,91.30434782608697,https://openalex.org/I39555362,139398,9045557,772,122032,3.72432915921288
U002210,The World Islamic Sciences and Education University (WISE),Jordan,World Islamic Sciences and Education University,91.2621359223301,https://openalex.org/I3132651366,1505,19674,65,447,2.480446927374301
U002214,Tikrit University,Iraq,University of Tikrit,91.89189189189189,https://openalex.org/I72539421,12958,81150,88,2020,1.1855830205771969
U002239,Tomas Bata University in Zlin,Czech Republic,Tomas Bata University in Zlín,93.10344827586206,https://openalex.org/I165737746,8482,311654,154,7308,3.158326016973953
