university_name,normalized_name,country,year,source
Prague University of Economics and Business,prague university of economics and business,Czech Republic,2020,QS
University of Karachi,university of karachi,Pakistan,2020,QS
The University of Lahore,the university of lahore,Pakistan,2020,QS
University of Nairobi,university of nairobi,Kenya,2020,QS
University of the Sunshine Coast ,university of the sunshine coast,Australia,2020,QS
University POLITEHNICA of Bucharest,university politehnica of bucharest,Romania,2020,QS
Weizmann Institute of Science,weizmann institute of science,Israel,2020,QS
Universitatea de Vest din Timisoara /  West University of Timisoara,universitatea de vest din timisoara west university of timisoara,Romania,2020,QS
WHU - Otto Beisheim School of Management ,whu otto beisheim school of management,Germany,2020,QS
Massachusetts Institute of Technology (MIT) ,massachusetts institute of technology,United States,2021,QS
Stanford University,stanford university,United States,2021,QS
Harvard University,harvard university,United States,2021,QS
California Institute of Technology (Caltech),california institute of technology,United States,2021,QS
University of Oxford,university of oxford,United Kingdom,2021,QS
ETH Zurich - Swiss Federal Institute of Technology,eth zurich swiss federal institute of technology,Switzerland,2021,QS
University of Cambridge,university of cambridge,United Kingdom,2021,QS
Imperial College London,imperial college london,United Kingdom,2021,QS
University of Chicago,university of chicago,United States,2021,QS
UCL,ucl,United Kingdom,2021,QS
National University of Singapore (NUS),national university of singapore,Singapore,2021,QS
Princeton University,princeton university,United States,2021,QS
"Nanyang Technological University, Singapore (NTU)",nanyang technological university singapore,Singapore,2021,QS
EPFL,epfl,Switzerland,2021,QS
Tsinghua University,tsinghua university,China (Mainland),2021,QS
University of Pennsylvania,university of pennsylvania,United States,2021,QS
Yale University,yale university,United States,2021,QS
Cornell University,cornell university,United States,2021,QS
Columbia University,columbia university,United States,2021,QS
The University of Edinburgh,the university of edinburgh,United Kingdom,2021,QS
University of Michigan-Ann Arbor,university of michigan ann arbor,United States,2021,QS
The University of Hong Kong,the university of hong kong,Hong Kong SAR,2021,QS
Peking University,peking university,China (Mainland),2021,QS
The University of Tokyo,the university of tokyo,Japan,2021,QS
Johns Hopkins University,johns hopkins university,United States,2021,QS
University of Toronto,university of toronto,Canada,2021,QS
The Hong Kong University of Science and Technology,the hong kong university of science and technology,Hong Kong SAR,2021,QS
The University of Manchester,the university of manchester,United Kingdom,2021,QS
Northwestern University,northwestern university,United States,2021,QS
"University of California, Berkeley (UCB)",university of california berkeley,United States,2021,QS
The Australian National University,the australian national university,Australia,2021,QS
King's College London,king s college london,United Kingdom,2021,QS
McGill University,mcgill university,Canada,2021,QS
Fudan University,fudan university,China (Mainland),2021,QS
New York University (NYU),new york university,United States,2021,QS
"University of California, Los Angeles (UCLA)",university of california los angeles,United States,2021,QS
Seoul National University,seoul national university,South Korea,2021,QS
Kyoto University,kyoto university,Japan,2021,QS
KAIST - Korea Advanced Institute of Science & Technology,kaist korea advanced institute of science and technology,South Korea,2021,QS
The University of Sydney,the university of sydney,Australia,2021,QS
The University of Melbourne,the university of melbourne,Australia,2021,QS
Duke University,duke university,United States,2021,QS
The Chinese University of Hong Kong (CUHK),the chinese university of hong kong,Hong Kong SAR,2021,QS
The University of New South Wales (UNSW Sydney),the university of new south wales,Australia,2021,QS
University of British Columbia,university of british columbia,Canada,2021,QS
The University of Queensland,the university of queensland,Australia,2021,QS
Shanghai Jiao Tong University,shanghai jiao tong university,China (Mainland),2021,QS
City University of Hong Kong,city university of hong kong,Hong Kong SAR,2021,QS
The London School of Economics and Political Science (LSE),the london school of economics and political science,United Kingdom,2021,QS
Technical University of Munich,technical university of munich,Germany,2021,QS
Carnegie Mellon University,carnegie mellon university,United States,2021,QS
Université PSL,universite psl,France,2021,QS
Zhejiang University,zhejiang university,China (Mainland),2021,QS
"University of California, San Diego (UCSD)",university of california san diego,United States,2021,QS
Monash University,monash university,Australia,2021,QS
Tokyo Institute of Technology (Tokyo Tech),tokyo institute of technology,Japan,2021,QS
Delft University of Technology,delft university of technology,Netherlands,2021,QS
University of Bristol,university of bristol,United Kingdom,2021,QS
Universiti Malaya (UM),universiti malaya,Malaysia,2021,QS
Brown University,brown university,United States,2021,QS
University of Amsterdam,university of amsterdam,Netherlands,2021,QS
Ecole Polytechnique,ecole polytechnique,France,2021,QS
The University of Warwick,the university of warwick,United Kingdom,2021,QS
Ludwig-Maximilians-Universität München,ludwig maximilians universitat munchen,Germany,2021,QS
Ruprecht-Karls-Universität Heidelberg,ruprecht karls universitat heidelberg,Germany,2021,QS
University of Wisconsin-Madison,university of wisconsin madison,United States,2021,QS
National Taiwan University (NTU),national taiwan university,Taiwan,2021,QS
Universidad de Buenos Aires (UBA),universidad de buenos aires,Argentina,2021,QS
Korea University,korea university,South Korea,2021,QS
University of Zurich,university of zurich,Switzerland,2021,QS
University of Texas at Austin,university of texas at austin,United States,2021,QS
Osaka University,osaka university,Japan,2021,QS
University of Washington,university of washington,United States,2021,QS
Lomonosov Moscow State University,lomonosov moscow state university,Russia,2021,QS
The Hong Kong Polytechnic University,the hong kong polytechnic university,Hong Kong SAR,2021,QS
University of Copenhagen,university of copenhagen,Denmark,2021,QS
Pohang University of Science And Technology (POSTECH),pohang university of science and technology,South Korea,2021,QS
University of Glasgow,university of glasgow,United Kingdom,2021,QS
Tohoku University,tohoku university,Japan,2021,QS
Georgia Institute of Technology,georgia institute of technology,United States,2021,QS
The University of Auckland,the university of auckland,New Zealand,2021,QS
University of Illinois at Urbana-Champaign,university of illinois at urbana champaign,United States,2021,QS
Sorbonne University,sorbonne university,France,2021,QS
KU Leuven,ku leuven,Belgium,2021,QS
Durham University,durham university,United Kingdom,2021,QS
Yonsei University,yonsei university,South Korea,2021,QS
University of Birmingham,university of birmingham,United Kingdom,2021,QS
Sungkyunkwan University(SKKU),sungkyunkwan university,South Korea,2021,QS
Rice University,rice university,United States,2021,QS
University of Southampton,university of southampton,United Kingdom,2021,QS
University of Leeds,university of leeds,United Kingdom,2021,QS
The University of Western Australia,the university of western australia,Australia,2021,QS
The University of Sheffield,the university of sheffield,United Kingdom,2021,QS
University of Science and Technology of China,university of science and technology of china,China (Mainland),2021,QS
"University of North Carolina, Chapel Hill",university of north carolina chapel hill,United States,2021,QS
University of St Andrews,university of st andrews,United Kingdom,2021,QS
Lund University,lund university,Sweden,2021,QS
KTH Royal Institute of Technology ,kth royal institute of technology,Sweden,2021,QS
University of Nottingham,university of nottingham,United Kingdom,2021,QS
Universidad Nacional Autónoma de México  (UNAM),universidad nacional autonoma de mexico,Mexico,2021,QS
Pennsylvania State University,pennsylvania state university,United States,2021,QS
"Trinity College Dublin, The University of Dublin",trinity college dublin the university of dublin,Ireland,2021,QS
Technical University of Denmark,technical university of denmark,Denmark,2021,QS
University of Helsinki,university of helsinki,Finland,2021,QS
Washington University in St. Louis,washington university in st louis,United States,2021,QS
The University of Adelaide,the university of adelaide,Australia,2021,QS
University of Geneva,university of geneva,Switzerland,2021,QS
The Ohio State University,the ohio state university,United States,2021,QS
Purdue University,purdue university,United States,2021,QS
Boston University,boston university,United States,2021,QS
Nagoya University,nagoya university,Japan,2021,QS
"University of California, Davis",university of california davis,United States,2021,QS
University of Oslo,university of oslo,Norway,2021,QS
University of Bern,university of bern,Switzerland,2021,QS
Queen Mary University of London,queen mary university of london,United Kingdom,2021,QS
Universidade de São Paulo,universidade de sao paulo,Brazil,2021,QS
Wageningen University & Research,wageningen university and research,Netherlands,2021,QS
Humboldt-Universität zu Berlin,humboldt universitat zu berlin,Germany,2021,QS
Université de Montréal ,universite de montreal,Canada,2021,QS
University of Alberta,university of alberta,Canada,2021,QS
Eindhoven University of Technology,eindhoven university of technology,Netherlands,2021,QS
Pontificia Universidad Católica de Chile (UC),pontificia universidad catolica de chile,Chile,2021,QS
University of Southern California,university of southern california,United States,2021,QS
Utrecht University,utrecht university,Netherlands,2021,QS
Kyushu University,kyushu university,Japan,2021,QS
Nanjing University,nanjing university,China (Mainland),2021,QS
Uppsala University,uppsala university,Sweden,2021,QS
Aalto University,aalto university,Finland,2021,QS
Leiden University,leiden university,Netherlands,2021,QS
University of Groningen,university of groningen,Netherlands,2021,QS
Freie Universitaet Berlin,freie universitaet berlin,Germany,2021,QS
"KIT, Karlsruhe Institute of Technology",kit karlsruhe institute of technology,Germany,2021,QS
Universiti Putra Malaysia (UPM),universiti putra malaysia,Malaysia,2021,QS
University of Technology Sydney,university of technology sydney,Australia,2021,QS
Lancaster University,lancaster university,United Kingdom,2021,QS
Ghent University,ghent university,Belgium,2021,QS
Politecnico di Milano,politecnico di milano,Italy,2021,QS
CentraleSupélec,centralesupelec,France,2021,QS
Chalmers University of Technology,chalmers university of technology,Sweden,2021,QS
Hokkaido University,hokkaido university,Japan,2021,QS
Universiti Kebangsaan Malaysia (UKM),universiti kebangsaan malaysia,Malaysia,2021,QS
Universiti Sains Malaysia (USM),universiti sains malaysia,Malaysia,2021,QS
King Abdulaziz University (KAU),king abdulaziz university,Saudi Arabia,2021,QS
McMaster University,mcmaster university,Canada,2021,QS
RWTH Aachen University,rwth aachen university,Germany,2021,QS
Hanyang University,hanyang university,South Korea,2021,QS
Aarhus University,aarhus university,Denmark,2021,QS
Technische Universität Berlin (TU Berlin),technische universitat berlin,Germany,2021,QS
University of Basel,university of basel,Switzerland,2021,QS
University of Vienna,university of vienna,Austria,2021,QS
University of York,university of york,United Kingdom,2021,QS
Newcastle University,newcastle university,United Kingdom,2021,QS
"University of California, Santa Barbara (UCSB)",university of california santa barbara,United States,2021,QS
"University of Maryland, College Park",university of maryland college park,United States,2021,QS
Tecnológico de Monterrey,tecnologico de monterrey,Mexico,2021,QS
University of Pittsburgh,university of pittsburgh,United States,2021,QS
Michigan State University,michigan state university,United States,2021,QS
Emory University,emory university,United States,2021,QS
Cardiff University,cardiff university,United Kingdom,2021,QS
Alma Mater Studiorum - University of Bologna,alma mater studiorum university of bologna,Italy,2021,QS
École Normale Supérieure de Lyon,ecole normale superieure de lyon,France,2021,QS
Case Western Reserve University,case western reserve university,United States,2021,QS
University of Florida,university of florida,United States,2021,QS
The University of Exeter,the university of exeter,United Kingdom,2021,QS
University of Rochester,university of rochester,United States,2021,QS
Al-Farabi Kazakh National University,al farabi kazakh national university,Kazakhstan,2021,QS
University of Waterloo,university of waterloo,Canada,2021,QS
National Tsing Hua University,national tsing hua university,Taiwan,2021,QS
Texas A&M University,texas a and m university,United States,2021,QS
University of Lausanne,university of lausanne,Switzerland,2021,QS
Sapienza University of Rome,sapienza university of rome,Italy,2021,QS
Indian Institute of Technology Bombay (IITB),indian institute of technology bombay,India,2021,QS
Technische Universität Dresden,technische universitat dresden,Germany,2021,QS
University of Bath,university of bath,United Kingdom,2021,QS
Eberhard Karls Universität Tübingen,eberhard karls universitat tubingen,Germany,2021,QS
Albert-Ludwigs-Universitaet Freiburg,albert ludwigs universitaet freiburg,Germany,2021,QS
The Hebrew University of Jerusalem,the hebrew university of jerusalem,Israel,2021,QS
University College Dublin,university college dublin,Ireland,2021,QS
University of Minnesota Twin Cities,university of minnesota twin cities,United States,2021,QS
Universidad de Chile,universidad de chile,Chile,2021,QS
Stockholm University,stockholm university,Sweden,2021,QS
University of Liverpool,university of liverpool,United Kingdom,2021,QS
Universitat de Barcelona,universitat de barcelona,Spain,2021,QS
University of Otago,university of otago,New Zealand,2021,QS
Indian Institute of Science,indian institute of science,India,2021,QS
King Fahd University of Petroleum & Minerals,king fahd university of petroleum and minerals,Saudi Arabia,2021,QS
Universiti Teknologi Malaysia ,universiti teknologi malaysia,Malaysia,2021,QS
Vanderbilt University,vanderbilt university,United States,2021,QS
Université catholique de Louvain (UCLouvain),universite catholique de louvain,Belgium,2021,QS
Waseda University,waseda university,Japan,2021,QS
Keio University,keio university,Japan,2021,QS
Technische Universität Wien,technische universitat wien,Austria,2021,QS
Indian Institute of Technology Delhi (IITD),indian institute of technology delhi,India,2021,QS
University of Bergen,university of bergen,Norway,2021,QS
University of Göttingen,university of gottingen,Germany,2021,QS
University of Wollongong,university of wollongong,Australia,2021,QS
Erasmus University Rotterdam ,erasmus university rotterdam,Netherlands,2021,QS
"The University of Newcastle, Australia (UON)",the university of newcastle australia,Australia,2021,QS
University of Twente,university of twente,Netherlands,2021,QS
Universidad Autónoma de Madrid,universidad autonoma de madrid,Spain,2021,QS
Vrije Universiteit Brussel (VUB),vrije universiteit brussel,Belgium,2021,QS
University of Gothenburg,university of gothenburg,Sweden,2021,QS
Dartmouth College,dartmouth college,United States,2021,QS
Western University,western university,Canada,2021,QS
University of Reading,university of reading,United Kingdom,2021,QS
Complutense University of Madrid,complutense university of madrid,Spain,2021,QS
University of Aberdeen,university of aberdeen,United Kingdom,2021,QS
Chulalongkorn University,chulalongkorn university,Thailand,2021,QS
Queen's University Belfast,queen s university belfast,United Kingdom,2021,QS
"University of California, Irvine",university of california irvine,United States,2021,QS
Khalifa University,khalifa university,United Arab Emirates,2021,QS
University of Notre Dame,university of notre dame,United States,2021,QS
Universitat Autònoma de Barcelona,universitat autonoma de barcelona,Spain,2021,QS
Macquarie University,macquarie university,Australia,2021,QS
Radboud University ,radboud university,Netherlands,2021,QS
Università di Padova,universita di padova,Italy,2021,QS
Curtin University,curtin university,Australia,2021,QS
Queensland University of Technology (QUT),queensland university of technology,Australia,2021,QS
University of Virginia,university of virginia,United States,2021,QS
American University of Beirut (AUB),american university of beirut,Lebanon,2021,QS
Arizona State University,arizona state university,United States,2021,QS
University of Cape Town,university of cape town,South Africa,2021,QS
RMIT University,rmit university,Australia,2021,QS
Victoria University of Wellington,victoria university of wellington,New Zealand,2021,QS
Saint Petersburg State University,saint petersburg state university,Russia,2021,QS
Loughborough University,loughborough university,United Kingdom,2021,QS
Universidad de los Andes,universidad de los andes,Colombia,2021,QS
Novosibirsk State University,novosibirsk state university,Russia,2021,QS
Universität Hamburg,universitat hamburg,Germany,2021,QS
Georgetown University,georgetown university,United States,2021,QS
Tel Aviv University,tel aviv university,Israel,2021,QS
University of Colorado Boulder,university of colorado boulder,United States,2021,QS
Universidade Estadual de Campinas (Unicamp),universidade estadual de campinas,Brazil,2021,QS
Maastricht University ,maastricht university,Netherlands,2021,QS
National Cheng Kung University (NCKU),national cheng kung university,Taiwan,2021,QS
Kyung Hee University,kyung hee university,South Korea,2021,QS
Vrije Universiteit Amsterdam,vrije universiteit amsterdam,Netherlands,2021,QS
National University of Ireland Galway,national university of ireland galway,Ireland,2021,QS
University of Antwerp,university of antwerp,Belgium,2021,QS
National Chiao Tung University,national chiao tung university,Taiwan,2021,QS
Rheinische Friedrich-Wilhelms-Universität Bonn,rheinische friedrich wilhelms universitat bonn,Germany,2021,QS
Ecole des Ponts ParisTech,ecole des ponts paristech,France,2021,QS
Sciences Po ,sciences po,France,2021,QS
University of Leicester,university of leicester,United Kingdom,2021,QS
Qatar University,qatar university,Qatar,2021,QS
Queen's University at Kingston,queen s university at kingston,Canada,2021,QS
University of Calgary,university of calgary,Canada,2021,QS
University of Sussex,university of sussex,United Kingdom,2021,QS
Wuhan University,wuhan university,China (Mainland),2021,QS
Tomsk State University,tomsk state university,Russia,2021,QS
Universite libre de Bruxelles,universite libre de bruxelles,Belgium,2021,QS
Mahidol University,mahidol university,Thailand,2021,QS
University of Navarra,university of navarra,Spain,2021,QS
Gadjah Mada University,gadjah mada university,Indonesia,2021,QS
Universiti Brunei Darussalam (UBD),universiti brunei darussalam,Brunei,2021,QS
Tongji University,tongji university,China (Mainland),2021,QS
University of Illinois at Chicago (UIC),university of illinois at chicago,United States,2021,QS
Rutgers University–New Brunswick,rutgers universitynew brunswick,United States,2021,QS
Universidad Nacional de Colombia,universidad nacional de colombia,Colombia,2021,QS
Charles University,charles university,Czech Republic,2021,QS
Harbin Institute of Technology,harbin institute of technology,China (Mainland),2021,QS
Tufts University,tufts university,United States,2021,QS
Sun Yat-sen University,sun yat sen university,China (Mainland),2021,QS
Hong Kong Baptist University,hong kong baptist university,Hong Kong SAR,2021,QS
Universität Innsbruck,universitat innsbruck,Austria,2021,QS
University of Tsukuba,university of tsukuba,Japan,2021,QS
National Taiwan University of Science and Technology (Taiwan Tech),national taiwan university of science and technology,Taiwan,2021,QS
Technical University of Darmstadt,technical university of darmstadt,Germany,2021,QS
University of Surrey,university of surrey,United Kingdom,2021,QS
University of Canterbury | Te Whare Wānanga o Waitaha,university of canterbury te whare wananga o waitaha,New Zealand,2021,QS
University of Massachusetts Amherst,university of massachusetts amherst,United States,2021,QS
Massey University,massey university,New Zealand,2021,QS
USI - Università della Svizzera italiana,usi universita della svizzera italiana,Switzerland,2021,QS
The University of Arizona,the university of arizona,United States,2021,QS
Deakin University,deakin university,Australia,2021,QS
Indian Institute of Technology Madras (IITM),indian institute of technology madras,India,2021,QS
Graz University of Technology,graz university of technology,Austria,2021,QS
Université de Paris,universite de paris,France,2021,QS
Beijing Normal University ,beijing normal university,China (Mainland),2021,QS
University of Ottawa,university of ottawa,Canada,2021,QS
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),moscow institute of physics and technology,Russia,2021,QS
Bauman Moscow State Technical University,bauman moscow state technical university,Russia,2021,QS
University of Cologne,university of cologne,Germany,2021,QS
United Arab Emirates University,united arab emirates university,United Arab Emirates,2021,QS
University of Tartu,university of tartu,Estonia,2021,QS
University College Cork,university college cork,Ireland,2021,QS
King Saud University,king saud university,Saudi Arabia,2021,QS
Universitat Pompeu Fabra (Barcelona),universitat pompeu fabra,Spain,2021,QS
Université Paris 1 Panthéon-Sorbonne,universite paris 1 pantheon sorbonne,France,2021,QS
University of Turku,university of turku,Finland,2021,QS
Dalhousie University,dalhousie university,Canada,2021,QS
ENS Paris-Saclay,ens paris saclay,France,2021,QS
Technion - Israel Institute of Technology,technion israel institute of technology,Israel,2021,QS
University of Miami,university of miami,United States,2021,QS
Gwangju Institute of Science and Technology (GIST),gwangju institute of science and technology,South Korea,2021,QS
North Carolina State University,north carolina state university,United States,2021,QS
University of South Australia,university of south australia,Australia,2021,QS
HSE University,hse university,Russia,2021,QS
National Yang Ming University,national yang ming university,Taiwan,2021,QS
University of Strathclyde,university of strathclyde,United Kingdom,2021,QS
Heriot-Watt University,heriot watt university,United Kingdom,2021,QS
University of Milan,university of milan,Italy,2021,QS
Griffith University,griffith university,Australia,2021,QS
Xi’an Jiaotong University,xian jiaotong university,China (Mainland),2021,QS
Aalborg University,aalborg university,Denmark,2021,QS
Université Paris-Saclay,universite paris saclay,France,2021,QS
Universitas Indonesia,universitas indonesia,Indonesia,2021,QS
Universität Mannheim,universitat mannheim,Germany,2021,QS
Politecnico di Torino,politecnico di torino,Italy,2021,QS
Royal Holloway University of London,royal holloway university of london,United Kingdom,2021,QS
University of Tasmania,university of tasmania,Australia,2021,QS
Universidad Carlos III de Madrid (UC3M),universidad carlos iii de madrid,Spain,2021,QS
Goethe-University Frankfurt am Main,goethe university frankfurt am main,Germany,2021,QS
Bandung Institute of Technology (ITB),bandung institute of technology,Indonesia,2021,QS
Indian Institute of Technology Kharagpur (IIT-KGP),indian institute of technology kharagpur,India,2021,QS
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),national research nuclear university mephi,Russia,2021,QS
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),universitat politecnica de catalunya barcelonatech,Spain,2021,QS
Belarusian State University,belarusian state university,Belarus,2021,QS
Friedrich-Alexander-Universität Erlangen-Nürnberg,friedrich alexander universitat erlangen nurnberg,Germany,2021,QS
 University of Dundee,university of dundee,United Kingdom,2021,QS
Indiana University Bloomington,indiana university bloomington,United States,2021,QS
Hiroshima University,hiroshima university,Japan,2021,QS
University of Warsaw ,university of warsaw,Poland,2021,QS
Simon Fraser University,simon fraser university,Canada,2021,QS
Southern University of Science and Technology,southern university of science and technology,China (Mainland),2021,QS
Universität Jena,universitat jena,Germany,2021,QS
IE University,ie university,Spain,2021,QS
Jagiellonian University,jagiellonian university,Poland,2021,QS
Pontificia Universidad Católica Argentina,pontificia universidad catolica argentina,Argentina,2021,QS
RUDN University,rudn university,Russia,2021,QS
Universitat Politècnica de València,universitat politecnica de valencia,Spain,2021,QS
Virginia Polytechnic Institute and State University,virginia polytechnic institute and state university,United States,2021,QS
National Taiwan Normal University,national taiwan normal university,Taiwan,2021,QS
Ural Federal University - UrFU,ural federal university urfu,Russia,2021,QS
Ewha Womans University,ewha womans university,South Korea,2021,QS
Umea University,umea university,Sweden,2021,QS
Universität Stuttgart,universitat stuttgart,Germany,2021,QS
University of East Anglia (UEA),university of east anglia,United Kingdom,2021,QS
University of Hawaiʻi at Mānoa,university of hawaii at manoa,United States,2021,QS
University of Jyväskylä,university of jyvaskyla,Finland,2021,QS
University of Utah,university of utah,United States,2021,QS
Yeshiva University,yeshiva university,United States,2021,QS
Université Grenoble Alpes,universite grenoble alpes,France,2021,QS
"University of Chemistry and Technology, Prague",university of chemistry and technology prague,Czech Republic,2021,QS
"Birkbeck, University of London",birkbeck university of london,United Kingdom,2021,QS
University Ulm,university ulm,Germany,2021,QS
SOAS University of London ,soas university of london,United Kingdom,2021,QS
University at Buffalo SUNY,university at buffalo suny,United States,2021,QS
American University of Sharjah,american university of sharjah,United Arab Emirates,2021,QS
MGIMO University,mgimo university,Russia,2021,QS
"City, University of London",city university of london,United Kingdom,2021,QS
Indian Institute of Technology Kanpur (IITK),indian institute of technology kanpur,India,2021,QS
Universiti Teknologi Brunei,universiti teknologi brunei,Brunei,2021,QS
George Washington University,george washington university,United States,2021,QS
University of Southern Denmark (SDU),university of southern denmark,Denmark,2021,QS
National University of Sciences And Technology (NUST) Islamabad,national university of sciences and technology islamabad,Pakistan,2021,QS
Westfälische Wilhelms-Universität Münster ,westfalische wilhelms universitat munster,Germany,2021,QS
L.N. Gumilyov Eurasian National University (ENU),l n gumilyov eurasian national university,Kazakhstan,2021,QS
University of Lisbon ,university of lisbon,Portugal,2021,QS
University of Porto,university of porto,Portugal,2021,QS
ITMO University,itmo university,Russia,2021,QS
Norwegian University of Science And Technology,norwegian university of science and technology,Norway,2021,QS
Johannes Kepler University Linz,johannes kepler university linz,Austria,2021,QS
Linköping University,linkoping university,Sweden,2021,QS
Northeastern University,northeastern university,United States,2021,QS
Tokyo Medical and Dental University (TMDU),tokyo medical and dental university,Japan,2021,QS
University of Macau,university of macau,Macau SAR,2021,QS
Brunel University London,brunel university london,United Kingdom,2021,QS
Tilburg University,tilburg university,Netherlands,2021,QS
Kazan (Volga region) Federal University,kazan federal university,Russia,2021,QS
University of Victoria (UVic),university of victoria,Canada,2021,QS
Swinburne University of Technology,swinburne university of technology,Australia,2021,QS
Pakistan Institute of Engineering and Applied Sciences (PIEAS),pakistan institute of engineering and applied sciences,Pakistan,2021,QS
"Stony Brook University, State University of New York",stony brook university state university of new york,United States,2021,QS
Sultan Qaboos University,sultan qaboos university,Oman,2021,QS
University of Waikato,university of waikato,New Zealand,2021,QS
Nankai University,nankai university,China (Mainland),2021,QS
Universidad de Palermo (UP),universidad de palermo,Argentina,2021,QS
Taylor's University,taylor s university,Malaysia,2021,QS
Universidade Federal do Rio de Janeiro,universidade federal do rio de janeiro,Brazil,2021,QS
University of Kent,university of kent,United Kingdom,2021,QS
Wake Forest University,wake forest university,United States,2021,QS
Indian Institute of Technology Roorkee (IITR),indian institute of technology roorkee,India,2021,QS
Oxford Brookes University,oxford brookes university,United Kingdom,2021,QS
University of Pisa,university of pisa,Italy,2021,QS
University of Kansas,university of kansas,United States,2021,QS
Lincoln University ,lincoln university,New Zealand,2021,QS
Shanghai University,shanghai university,China (Mainland),2021,QS
Taipei Medical University (TMU),taipei medical university,Taiwan,2021,QS
Tianjin University,tianjin university,China (Mainland),2021,QS
UCSI University,ucsi university,Malaysia,2021,QS
Beijing Institute of Technology,beijing institute of technology,China (Mainland),2021,QS
HUFS - Hankuk (Korea) University of Foreign Studies ,hufs hankuk university of foreign studies,South Korea,2021,QS
University of Naples - Federico II,university of naples federico ii,Italy,2021,QS
Università Vita-Salute San Raffaele,universita vita salute san raffaele,Italy,2021,QS
Huazhong University of Science and Technology,huazhong university of science and technology,China (Mainland),2021,QS
University of the Philippines,university of the philippines,Philippines,2021,QS
La Trobe University,la trobe university,Australia,2021,QS
Université de Strasbourg,universite de strasbourg,France,2021,QS
"University of Colorado, Denver ",university of colorado denver,United States,2021,QS
Peter the Great St. Petersburg Polytechnic University,peter the great st petersburg polytechnic university,Russia,2021,QS
National Research Tomsk Polytechnic University,national research tomsk polytechnic university,Russia,2021,QS
Chung-Ang University (CAU),chung ang university,South Korea,2021,QS
Johannes Gutenberg Universität Mainz,johannes gutenberg universitat mainz,Germany,2021,QS
Kobe University,kobe university,Japan,2021,QS
University of Trento,university of trento,Italy,2021,QS
University of Witwatersrand,university of witwatersrand,South Africa,2021,QS
University of Oulu,university of oulu,Finland,2021,QS
Sharif University of Technology,sharif university of technology,"Iran, Islamic Republic of",2021,QS
Tampere University,tampere university,Finland,2021,QS
The American University in Cairo,the american university in cairo,Egypt,2021,QS
"Essex, University of",essex university of,United Kingdom,2021,QS
Washington State University,washington state university,United States,2021,QS
Bond University,bond university,Australia,2021,QS
Tulane University,tulane university,United States,2021,QS
"Goldsmiths, University of London",goldsmiths university of london,United Kingdom,2021,QS
National Sun Yat-sen University,national sun yat sen university,Taiwan,2021,QS
"University of California, Santa Cruz",university of california santa cruz,United States,2021,QS
University of Tromsø The Arctic University of Norway,university of troms the arctic university of norway,Norway,2021,QS
Université Laval,universite laval,Canada,2021,QS
Universidade Federal de São Paulo,universidade federal de sao paulo,Brazil,2021,QS
University of Iowa,university of iowa,United States,2021,QS
Flinders University,flinders university,Australia,2021,QS
Vilnius University ,vilnius university,Lithuania,2021,QS
University of Bordeaux,university of bordeaux,France,2021,QS
Illinois Institute of Technology,illinois institute of technology,United States,2021,QS
Pontificia Universidad Javeriana,pontificia universidad javeriana,Colombia,2021,QS
The National University of Science and Technology MISIS,the national university of science and technology misis,Russia,2021,QS
Universidade Nova de Lisboa,universidade nova de lisboa,Portugal,2021,QS
University of St.Gallen (HSG),university of st gallen,Switzerland,2021,QS
University of Coimbra,university of coimbra,Portugal,2021,QS
Czech Technical University in Prague,czech technical university in prague,Czech Republic,2021,QS
Pontificia Universidad Católica del Perú,pontificia universidad catolica del peru,Peru,2021,QS
University of Florence,university of florence,Italy,2021,QS
"The University of Tennessee, Knoxville",the university of tennessee knoxville,United States,2021,QS
Xiamen University,xiamen university,China (Mainland),2021,QS
Auckland University of Technology (AUT),auckland university of technology,New Zealand,2021,QS
Julius-Maximilians-Universität Würzburg,julius maximilians universitat wurzburg,Germany,2021,QS
Dublin City University,dublin city university,Ireland,2021,QS
Ruhr-Universität Bochum,ruhr universitat bochum,Germany,2021,QS
Universiti Teknologi PETRONAS (UTP),universiti teknologi petronas,Malaysia,2021,QS
University of Johannesburg,university of johannesburg,South Africa,2021,QS
Colorado State University,colorado state university,United States,2021,QS
Universidad Austral,universidad austral,Argentina,2021,QS
Universität Konstanz,universitat konstanz,Germany,2021,QS
Ben-Gurion University of The Negev,ben gurion university of the negev,Israel,2021,QS
Brandeis University,brandeis university,United States,2021,QS
University of Science and Technology Beijing,university of science and technology beijing,China (Mainland),2021,QS
Beihang University (former BUAA),beihang university,China (Mainland),2021,QS
"University of California, Riverside",university of california riverside,United States,2021,QS
Universidad Politécnica de Madrid (UPM),universidad politecnica de madrid,Spain,2021,QS
Universität des Saarlandes,universitat des saarlandes,Germany,2021,QS
Université de Liège,universite de liege,Belgium,2021,QS
Boston College,boston college,United States,2021,QS
Quaid-i-Azam University,quaid i azam university,Pakistan,2021,QS
Dongguk University ,dongguk university,South Korea,2021,QS
Florida State University,florida state university,United States,2021,QS
Hasselt University ,hasselt university,Belgium,2021,QS
Stellenbosch University,stellenbosch university,South Africa,2021,QS
The Catholic University of Korea ,the catholic university of korea,South Korea,2021,QS
University of Canberra ,university of canberra,Australia,2021,QS
James Cook University,james cook university,Australia,2021,QS
