university_name,normalized_name,country,year,source
Utrecht University,utrecht university,Netherlands,2017,QS
University of Science and Technology of China,university of science and technology of china,China (Mainland),2017,QS
Sungkyunkwan University(SKKU),sungkyunkwan university,South Korea,2017,QS
Washington University in St. Louis,washington university in st louis,United States,2017,QS
Lomonosov Moscow State University,lomonosov moscow state university,Russia,2017,QS
Technical University of Denmark,technical university of denmark,Denmark,2017,QS
Zhejiang University,zhejiang university,China (Mainland),2017,QS
The Hong Kong Polytechnic University,the hong kong polytechnic university,Hong Kong SAR,2017,QS
Yonsei University,yonsei university,South Korea,2017,QS
University of Oslo,university of oslo,Norway,2017,QS
University of Groningen,university of groningen,Netherlands,2017,QS
Nanjing University,nanjing university,China (Mainland),2017,QS
Nagoya University,nagoya university,Japan,2017,QS
Aarhus University,aarhus university,Denmark,2017,QS
"University of California, Santa Barbara (UCSB)",university of california santa barbara,United States,2017,QS
Wageningen University & Research,wageningen university and research,Netherlands,2017,QS
Universidade de São Paulo,universidade de sao paulo,Brazil,2017,QS
Humboldt-Universität zu Berlin,humboldt universitat zu berlin,Germany,2017,QS
Eindhoven University of Technology,eindhoven university of technology,Netherlands,2017,QS
Freie Universitaet Berlin,freie universitaet berlin,Germany,2017,QS
Queen Mary University of London,queen mary university of london,United Kingdom,2017,QS
The University of Adelaide,the university of adelaide,Australia,2017,QS
Université de Montréal ,universite de montreal,Canada,2017,QS
University of York,university of york,United Kingdom,2017,QS
Universidad Nacional Autónoma de México  (UNAM),universidad nacional autonoma de mexico,Mexico,2017,QS
Lancaster University,lancaster university,United Kingdom,2017,QS
Hokkaido University,hokkaido university,Japan,2017,QS
Ghent University,ghent university,Belgium,2017,QS
"University of Maryland, College Park",university of maryland college park,United States,2017,QS
Universiti Malaya (UM),universiti malaya,Malaysia,2017,QS
Aalto University,aalto university,Finland,2017,QS
Kyushu University,kyushu university,Japan,2017,QS
University of Southern California,university of southern california,United States,2017,QS
University of Minnesota Twin Cities,university of minnesota twin cities,United States,2017,QS
University of Lausanne,university of lausanne,Switzerland,2017,QS
Chalmers University of Technology,chalmers university of technology,Sweden,2017,QS
Cardiff University,cardiff university,United Kingdom,2017,QS
Université Pierre et Marie Curie (UPMC),universite pierre et marie curie,France,2017,QS
University of Basel,university of basel,Switzerland,2017,QS
University of Aberdeen,university of aberdeen,United Kingdom,2017,QS
Erasmus University Rotterdam ,erasmus university rotterdam,Netherlands,2017,QS
University of Pittsburgh,university of pittsburgh,United States,2017,QS
RWTH Aachen University,rwth aachen university,Germany,2017,QS
Pontificia Universidad Católica de Chile (UC),pontificia universidad catolica de chile,Chile,2017,QS
The Hebrew University of Jerusalem,the hebrew university of jerusalem,Israel,2017,QS
McMaster University,mcmaster university,Canada,2017,QS
