university_id,university_name,country,source,year
U002759,University of Bahrain,Bahrain,THE,2022
U000215,Bahria University,Pakistan,THE,2022
U000216,Bakrie University,Indonesia,THE,2022
U002760,University of Balamand,Lebanon,THE,2022
U002761,University of Balochistan,Pakistan,THE,2022
U000230,Banking University,Ukraine,THE,2022
U000237,Basrah University College of Science and Technology,Iraq,THE,2022
U000238,Bath Spa University,United Kingdom,THE,2022
U000255,Beirut Arab University,Lebanon,THE,2022
U000259,Belarusian State University of Informatics and Radioelectronics,Belarus,THE,2022
U000267,Bernardo O’Higgins University,Chile,THE,2022
U000270,Bharath Institute of Higher Education and Research,India,THE,2022
U000287,Birzeit University,Palestine,THE,2022
U000288,Bishop Grosseteste University,United Kingdom,THE,2022
U002787,University of Bogotá Jorge Tadeo Lozano,Colombia,THE,2022
U002789,University of Bolton,United Kingdom,THE,2022
U002149,The British University in Egypt,Egypt,THE,2022
U000205,B. S. Abdur Rahman Crescent Institute of Science and Technology,India,THE,2022
U002802,University of Buckingham,United Kingdom,THE,2022
U000315,Buckinghamshire New University,United Kingdom,THE,2022
U000320,Bukkyo University,Japan,THE,2022
U000334,Canadian International College (CIC) – Cairo,Egypt,THE,2022
U000341,"Capital University of Science and Technology, Islamabad",Pakistan,THE,2022
U002336,Universidad Católica de la Santísima Concepción,Chile,THE,2022
U000357,CBS International Business School,Germany,THE,2022
U002832,University of Celaya,Mexico,THE,2022
U000361,Central European University,Austria,THE,2022
U000375,CES University,Colombia,THE,2022
U000377,CETYS Universidad,Mexico,THE,2022
U000396,Chernihiv National University of Technology,Ukraine,THE,2022
U002841,University of Chichester,United Kingdom,THE,2022
U000415,Chitkara University,India,THE,2022
U000421,Christ University Bengaluru India,India,THE,2022
U002848,University of Colima,Mexico,THE,2022
U000459,Conservatoire for Dance and Drama,United Kingdom,THE,2022
U003003,University of la Costa,Colombia,THE,2022
U000464,Courtauld Institute of Art,United Kingdom,THE,2022
U000468,Cranfield University,United Kingdom,THE,2022
U002723,University for the Creative Arts,United Kingdom,THE,2022
U002864,University of Cumbria,United Kingdom,THE,2022
U002865,University of Cyberjaya,Malaysia,THE,2022
U000483,Daffodil International University (DIU),Bangladesh,THE,2022
U000484,Daito Bunka University,Japan,THE,2022
U000487,Damanhour University,Egypt,THE,2022
U000490,Damietta University,Egypt,THE,2022
U000491,Daneshpajoohan Pishro Higher Education Institute,Iran,THE,2022
U000494,Dawood University of Engineering and Technology,Pakistan,THE,2022
U000506,Deraya University,Egypt,THE,2022
U000507,Derzhavin Tambov State University,Russian Federation,THE,2022
U000510,Dhofar University,Oman,THE,2022
U002877,University of Diyala,Iraq,THE,2022
U000520,Don Bosco University,India,THE,2022
U000522,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),Ukraine,THE,2022
U000526,Dostoevsky Omsk State University,Russian Federation,THE,2022
U000528,Dow University of Health Sciences,Pakistan,THE,2022
U002880,University of Duhok,Iraq,THE,2022
U000554,École de Psychologues Praticiens,France,THE,2022
U002887,University of Economics in Bratislava,Slovakia,THE,2022
U000018,Academy of Economic Studies of Moldova,Moldova,THE,2022
U002890,"University of Education, Lahore",Pakistan,THE,2022
U000590,Effat University,Saudi Arabia,THE,2022
U000593,Egypt-Japan University of Science and Technology (E-JUST),Egypt,THE,2022
U000615,ESIC,Spain,THE,2022
U002495,Universidade do Estado do Amazonas,Brazil,THE,2022
U002502,Universidade Estadual do Maranhão,Brazil,THE,2022
U000621,Estonian Academy of Arts,Estonia,THE,2022
U000633,Externado University of Colombia,Colombia,THE,2022
U002902,University of Faisalabad,Pakistan,THE,2022
U002903,University of Fallujah,Iraq,THE,2022
U000634,Falmouth University,United Kingdom,THE,2022
U000640,Federal University of Alagoas,Brazil,THE,2022
U000651,Federal University of Paraí­ba (UFPB),Brazil,THE,2022
U000677,Financial University under the Government of the Russian Federation,Russian Federation,THE,2022
U000678,Finis Terrae University,Chile,THE,2022
U002910,University of Franca,Brazil,THE,2022
