year,country,region,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
2018,Indonesia,Asia,737.88,12,277.0,27.48,26.3,27.76,766.05
2021,Australia,Oceania,358.74,43,31.0,45.75,45.44,47.15,20.69
2025,Indonesia,Asia,1311.3,42,206.0,25.73,18.26,9.31,8.34
2022,Slovenia,Europe,880.0,3,595.5,26.1,26.27,25.32,7.11
2016,South Korea,Asia,489.38,24,85.0,31.56,30.99,32.26,7.42
2025,Germany,Europe,390.38,89,28.0,49.87,40.45,42.47,21.02
2019,Japan,Asia,818.68,104,23.0,23.85,23.96,23.79,4.28
2025,Greece,Europe,1122.83,18,321.0,28.95,23.21,31.02,3.83
2022,Denmark,Europe,280.29,7,79.0,46.6,43.85,46.72,15.1
2017,Turkey,Asia,672.68,22,346.0,27.43,26.15,27.52,4.03
2019,Canada,North America,401.31,29,28.0,40.7,42.54,39.89,13.44
2017,Austria,Europe,410.54,13,155.0,40.41,40.85,41.09,27.21
2020,Saudi Arabia,Asia,576.77,13,186.0,37.14,34.94,37.4,161.79
2026,Malaysia,Asia,795.19,40,58.0,39.12,29.39,22.69,21.22
2024,Russian Federation,Europe,1637.33,48,387.0,19.23,18.6,18.65,11.77
2017,Kazakhstan,Asia,528.12,8,236.0,38.08,42.57,37.89,1158.35
2020,Mexico,Latin America,946.2,28,103.0,28.77,28.43,29.79,300.91
2023,Armenia,Asia,950.0,2,894.0,47.2,5.85,1.55,20.58
2017,Canada,North America,354.28,29,30.0,44.16,42.5,43.74,14.38
2024,"Iran, Islamic Republic Of",Asia,611.64,7,334.0,34.16,8.24,67.29,6.13
2018,China (Mainland),Asia,452.73,39,25.0,39.72,39.92,38.94,118.81
2018,Colombia,Latin America,682.4,15,254.0,31.22,29.58,32.96,370.06
2017,Germany,Europe,297.42,77,30.0,48.53,48.86,49.14,12.77
2024,Turkey,Asia,1348.35,88,336.0,24.56,18.98,18.44,9.31
2016,Netherlands,Europe,105.08,13,47.0,60.02,57.72,58.49,16.54
2023,Iran,Asia,949.98,59,362.0,31.0,31.21,31.21,2.61
2025,India,Asia,1073.64,135,118.0,35.02,25.4,32.61,7.01
2022,Iran,Asia,963.25,52,360.0,28.56,28.35,29.41,1.94
2023,Russian Federation,Europe,1528.36,44,330.0,17.71,18.07,17.64,11.75
2017,France,Europe,420.63,67,33.0,37.8,37.48,37.57,17.07
2017,Italy,Europe,483.47,52,140.0,36.59,37.54,36.33,60.38
2025,Estonia,Europe,694.67,3,358.0,35.21,14.9,9.03,13.67
2019,Chile,Latin America,828.48,26,132.0,28.85,29.52,27.18,274.64
2018,Portugal,Europe,530.09,11,301.0,32.59,33.81,33.46,10.23
2024,Chile,Latin America,1239.64,49,103.0,28.21,20.59,14.41,10.86
2016,Switzerland,Europe,168.7,10,9.0,56.18,55.58,53.47,28.4
2018,South Korea,Asia,453.39,33,36.0,40.28,39.67,38.88,140.5
2020,Taiwan,Asia,806.14,38,69.0,25.29,25.95,24.74,7.45
2018,France,Europe,513.87,68,43.0,37.11,37.22,37.38,17.39
2021,Colombia,Latin America,855.12,24,227.0,34.58,34.52,36.77,231.93
2017,Hong Kong,Asia,104.0,3,43.0,62.6,67.13,61.02,30.33
2017,South Korea,Asia,414.8,32,35.0,39.4,39.51,40.77,144.46
2021,Ukraine,Europe,1027.42,13,477.0,27.24,27.99,27.27,8.61
2019,Egypt,Africa,850.38,20,420.0,21.83,22.04,22.17,1.85
2019,China (Mainland),Asia,455.6,40,17.0,39.03,39.3,39.69,189.63
2025,Pakistan,Asia,1005.39,53,315.0,33.79,27.93,30.14,3.37
2020,Jordan,Asia,872.44,9,385.0,33.6,31.63,33.22,12.19
2019,Australia,Oceania,373.81,42,24.0,45.54,45.45,46.21,20.92
2026,Canada,Americas,559.59,39,27.0,46.68,36.42,48.16,22.85
2023,China (Mainland),Asia,625.92,71,12.0,42.98,16.89,52.32,12.56
2026,China (Mainland),Asia,616.32,72,14.0,46.0,21.88,70.61,14.17
2021,Malaysia,Asia,658.92,26,59.0,38.08,38.34,38.25,48.52
2016,Germany,Europe,197.73,37,29.0,51.04,51.73,51.73,12.68
2020,Uganda,Africa,1001.0,1,1001.0,35.12,36.48,35.94,7.77
2026,Italy,Europe,644.77,80,98.0,45.37,35.17,47.49,13.04
2026,Cyprus,Asia,626.5,4,452.0,35.94,26.0,45.84,38.0
2024,Pakistan,Asia,989.03,45,315.0,33.03,24.86,27.07,3.91
2021,Russian Federation,Europe,1244.29,28,336.0,19.18,20.5,19.35,11.14
2017,United Kingdom,Europe,367.05,105,4.0,44.04,43.22,43.94,25.93
2018,Philippines,Asia,642.12,4,367.0,33.33,34.43,32.37,833.88
2022,Italy,Europe,614.23,73,142.0,40.29,39.48,41.44,44.78
