year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2024,601–800,National Sun Yat-Sen University,Taiwan,37.0–41.8,28.2,33.7,43.8,79.1,47.2,
2024,601–800,National Technical University of Athens,Greece,37.0–41.8,26.3,23.0,59.1,59.7,38.1,
2024,601–800,National University of Science and Technology (MISiS),Russian Federation,37.0–41.8,39.1,27.1,43.2,64.1,65.6,
2024,601–800,National University of Sciences and Technology,Pakistan,37.0–41.8,25.1,19.4,71.2,34.9,55.1,
2024,601–800,Near East University,Northern Cyprus,37.0–41.8,25.9,18.8,66.6,49.9,86.8,
2024,601–800,"Northeastern University, China",China,37.0–41.8,31.5,28.1,57.8,73.7,46.7,
2024,601–800,Northern Illinois University,United States,37.0–41.8,26.3,15.9,60.0,60.4,62.8,
2024,601–800,North-West University,South Africa,37.0–41.8,22.7,18.7,64.3,48.0,56.6,
2024,601–800,Norwegian University of Life Sciences,Norway,37.0–41.8,32.1,14.7,64.0,36.5,70.8,
2024,601–800,Novosibirsk State University,Russian Federation,37.0–41.8,42.2,36.6,31.6,40.7,51.9,
2024,601–800,Ohio University (Main campus),United States,37.0–41.8,30.6,20.1,61.2,54.7,37.2,
2024,601–800,Oklahoma State University,United States,37.0–41.8,34.1,20.9,60.8,65.8,56.0,
2024,601–800,Old Dominion University,United States,37.0–41.8,26.1,20.4,61.2,64.0,38.1,
2024,601–800,Ontario Tech University,Canada,37.0–41.8,18.8,25.0,63.5,51.9,63.2,
2024,601–800,Open University of Catalonia,Spain,37.0–41.8,18.4,18.2,75.9,29.7,51.0,
2024,601–800,Örebro University,Sweden,37.0–41.8,20.1,22.5,77.9,43.8,54.6,
2024,601–800,Otto von Guericke University of Magdeburg,Germany,37.0–41.8,33.4,18.0,54.4,51.4,74.5,
2024,601–800,Oxford Brookes University,United Kingdom,37.0–41.8,25.1,21.1,62.5,29.1,87.9,
2024,601–800,Panjab University,India,37.0–41.8,32.6,16.2,67.9,39.2,23.5,
2024,601–800,Paris Lodron Universität Salzburg,Austria,37.0–41.8,31.6,23.4,55.0,45.8,93.4,
2024,601–800,Parthenope University of Naples,Italy,37.0–41.8,18.5,22.6,78.2,25.6,32.2,
2024,601–800,Polytechnic University of Valencia,Spain,37.0–41.8,30.0,25.0,55.4,83.2,57.6,
2024,601–800,Prince Sattam Bin Abdulaziz University,Saudi Arabia,37.0–41.8,21.3,12.0,80.8,23.5,75.8,
2024,601–800,Princess Nourah bint Abdulrahman University,Saudi Arabia,37.0–41.8,26.7,16.3,66.1,28.3,91.7,
2024,601–800,Qazvin University of Medical Sciences,Iran,37.0–41.8,38.7,11.6,71.9,18.7,26.5,
2024,601–800,Qingdao University,China,37.0–41.8,17.8,18.4,84.1,40.0,24.4,
2024,601–800,Reykjavík University,Iceland,37.0–41.8,15.6,24.0,76.1,28.7,64.4,
2024,601–800,Roskilde University,Denmark,37.0–41.8,21.9,33.4,55.5,76.1,54.6,
2024,601–800,RPTU University Kaiserslautern-Landau,Germany,37.0–41.8,38.7,28.7,44.4,83.0,56.7,
2024,601–800,RUDN University,Russian Federation,37.0–41.8,39.1,23.0,46.1,21.0,70.4,
2024,601–800,Saveetha Institute of Medical and Technical Sciences,India,37.0–41.8,31.7,10.2,77.8,17.3,58.9,
2024,601–800,Shahid Beheshti University of Medical Sciences,Iran,37.0–41.8,45.1,22.9,49.9,63.5,27.1,
2024,601–800,South China Normal University,China,37.0–41.8,22.9,21.7,63.9,51.4,37.4,
2024,601–800,South Ural State University,Russian Federation,37.0–41.8,23.2,13.5,74.7,24.7,54.5,
2024,601–800,SRUC (Scotland’s Rural College),United Kingdom,37.0–41.8,25.3,12.8,79.3,26.9,64.8,
2024,601–800,Sultan Qaboos University,Oman,37.0–41.8,28.1,22.2,62.3,35.7,74.0,
2024,601–800,Sumy State University,Ukraine,37.0–41.8,24.3,13.5,68.9,20.0,63.2,
2024,601–800,Sunway University,Malaysia,37.0–41.8,24.7,14.6,71.7,17.2,78.3,
2024,601–800,SUNY Binghamton University,United States,37.0–41.8,30.7,22.0,61.1,62.8,42.7,
2024,601–800,Tallinn University of Technology,Estonia,37.0–41.8,25.7,20.6,65.7,48.1,69.1,
2024,601–800,Tecnológico de Monterrey,Mexico,37.0–41.8,24.0,22.7,61.9,60.1,65.8,
2024,601–800,Tehran University of Medical Sciences,Iran,37.0–41.8,50.0,18.5,54.3,45.1,37.5,
2024,601–800,Texas Tech University,United States,37.0–41.8,30.7,20.9,56.9,58.0,58.9,
2024,601–800,Thapar Institute of Engineering and Technology,India,37.0–41.8,24.3,11.9,84.8,23.0,28.7,
2024,601–800,The Catholic University of America,United States,37.0–41.8,44.4,20.0,45.6,68.7,51.7,
2024,601–800,The Catholic University of Korea (CUK),South Korea,37.0–41.8,30.7,38.7,42.9,89.9,36.2,
2024,601–800,The Open University,United Kingdom,37.0–41.8,17.7,16.1,68.7,52.6,63.6,
2024,601–800,The University of Aizu,Japan,37.0–41.8,26.6,13.8,58.6,63.7,82.6,
2024,601–800,The University of Alabama,United States,37.0–41.8,26.0,21.2,64.4,46.6,39.3,
2024,601–800,The University of Jordan,Jordan,37.0–41.8,27.8,13.4,62.7,30.8,67.1,
2024,601–800,Ton Duc Thang University,Vietnam,37.0–41.8,12.9,16.0,90.6,20.9,63.1,
2024,601–800,Toronto Metropolitan University,Canada,37.0–41.8,19.5,32.3,57.3,70.3,62.1,
2024,601–800,Ulster University,United Kingdom,37.0–41.8,21.3,22.4,62.0,50.1,82.4,
2024,601–800,Umm Al-Qura University,Saudi Arabia,37.0–41.8,33.3,14.4,62.2,53.2,73.1,
2024,601–800,Universidade Estadual Paulista (Unesp),Brazil,37.0–41.8,41.5,33.1,38.1,40.5,38.6,
2024,601–800,Universidade Federal do Rio Grande do Sul,Brazil,37.0–41.8,36.4,22.5,54.1,52.9,34.1,
2024,601–800,Universitat Politècnica de Catalunya,Spain,37.0–41.8,31.2,21.0,57.3,69.7,61.4,
2024,601–800,Universitat Ramon Llull,Spain,37.0–41.8,20.7,18.2,70.3,32.1,72.6,
2024,601–800,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,37.0–41.8,27.4,19.0,67.5,28.3,57.9,
2024,601–800,Universiti Pendidikan Sultan Idris,Malaysia,37.0–41.8,35.3,25.2,38.8,62.3,70.8,
2024,601–800,Universiti Tenaga Nasional (UNITEN),Malaysia,37.0–41.8,25.1,16.8,58.0,70.8,60.8,
2024,601–800,University of Arkansas,United States,37.0–41.8,27.4,30.5,62.6,67.3,36.2,
2024,601–800,University of Aveiro,Portugal,37.0–41.8,27.1,30.2,57.3,48.1,48.6,
2024,601–800,University of Bari Aldo Moro,Italy,37.0–41.8,19.8,21.8,78.3,57.8,37.5,
2024,601–800,University of Beira Interior,Portugal,37.0–41.8,20.1,22.2,65.4,36.7,52.3,
2024,601–800,University of Campania Luigi Vanvitelli,Italy,37.0–41.8,25.6,9.6,79.0,47.7,31.6,
2024,601–800,University of Cape Coast,Ghana,37.0–41.8,16.5,23.8,71.0,44.6,46.9,
2024,601–800,University of Córdoba,Spain,37.0–41.8,27.0,19.9,62.6,41.9,52.3,
2024,601–800,University of Debrecen,Hungary,37.0–41.8,41.2,22.5,40.7,51.1,59.7,
2024,601–800,University of Derby,United Kingdom,37.0–41.8,18.5,12.8,71.8,26.5,75.0,
2024,601–800,"University of Engineering and Technology, Taxila",Pakistan,37.0–41.8,16.4,12.8,82.6,17.1,48.5,
2024,601–800,University of Foggia,Italy,37.0–41.8,24.3,24.7,65.5,30.6,30.3,
2024,601–800,University of Haifa,Israel,37.0–41.8,23.9,30.1,68.4,64.5,34.5,
2024,601–800,University of Ha’il,Saudi Arabia,37.0–41.8,22.1,10.5,72.3,23.5,76.8,
2024,601–800,University of Hertfordshire,United Kingdom,37.0–41.8,18.6,13.4,67.2,33.9,91.6,
2024,601–800,University of Insubria,Italy,37.0–41.8,19.7,22.7,80.4,43.2,42.4,
2024,601–800,University of Kashan,Iran,37.0–41.8,27.1,19.9,74.7,21.9,24.8,
2024,601–800,University of Lille,France,37.0–41.8,32.5,23.2,58.6,67.2,68.0,
2024,601–800,University of Lorraine,France,37.0–41.8,27.3,18.9,58.0,60.6,72.9,
2024,601–800,"University of Maryland, Baltimore County",United States,37.0–41.8,28.8,24.6,61.5,66.8,50.1,
2024,601–800,University of Minho,Portugal,37.0–41.8,26.3,30.3,59.3,74.7,51.9,
2024,601–800,University of Namur,Belgium,37.0–41.8,24.4,27.2,53.7,62.8,69.7,
2024,601–800,"University of Nevada, Las Vegas",United States,37.0–41.8,29.3,25.6,64.7,51.5,38.3,
2024,601–800,University of New Brunswick UNB,Canada,37.0–41.8,24.3,25.0,62.4,64.0,81.1,
2024,601–800,University of North Carolina at Charlotte,United States,37.0–41.8,23.2,22.1,74.4,58.7,37.0,
2024,601–800,University of Palermo,Italy,37.0–41.8,18.9,22.5,69.8,47.2,34.8,
2024,601–800,University of Parma,Italy,37.0–41.8,19.4,22.6,72.2,65.9,38.7,
2024,601–800,University of Rhode Island,United States,37.0–41.8,26.3,20.5,57.4,50.0,53.7,
2024,601–800,University of Rome III,Italy,37.0–41.8,23.1,25.3,58.3,49.5,45.4,
2024,601–800,University of Salento,Italy,37.0–41.8,30.1,21.8,64.5,52.2,34.5,
2024,601–800,University of Sannio,Italy,37.0–41.8,23.6,20.5,63.6,71.1,29.3,
2024,601–800,University of Santiago de Compostela,Spain,37.0–41.8,29.7,21.1,58.7,69.6,46.6,
2024,601–800,University of Sassari,Italy,37.0–41.8,31.1,24.7,66.3,45.7,41.9,
2024,601–800,University of Siegen,Germany,37.0–41.8,27.4,26.9,60.7,46.2,62.7,
2024,601–800,University of Stavanger,Norway,37.0–41.8,24.7,15.6,66.6,30.2,74.4,
2024,601–800,University of Texas at Arlington,United States,37.0–41.8,25.2,20.5,65.5,62.9,55.0,
2024,601–800,University of the Basque Country,Spain,37.0–41.8,27.0,23.9,65.8,65.5,46.2,
2024,601–800,University of the Western Cape,South Africa,37.0–41.8,22.0,23.8,59.3,22.6,65.7,
2024,601–800,University of the West of Scotland,United Kingdom,37.0–41.8,24.4,16.0,66.5,24.2,86.9,
2024,601–800,University of Toledo,United States,37.0–41.8,35.7,16.7,54.5,68.8,56.7,
2024,601–800,University of Tuscia,Italy,37.0–41.8,21.4,22.6,77.3,54.9,43.2,
2024,601–800,University of Udine,Italy,37.0–41.8,28.5,20.2,73.1,61.1,41.8,
2024,601–800,University of Warsaw,Poland,37.0–41.8,33.1,29.9,55.6,37.1,45.6,
2024,601–800,University of Wolverhampton,United Kingdom,37.0–41.8,19.1,14.7,64.7,40.7,81.1,
2024,601–800,University of Wyoming,United States,37.0–41.8,35.9,20.3,62.1,58.6,37.7,
2024,601–800,Urmia University of Medical Sciences,Iran,37.0–41.8,35.3,11.7,69.3,17.8,25.2,
2024,601–800,VIT University,India,37.0–41.8,27.9,15.6,68.3,28.9,46.2,
2024,601–800,William & Mary,United States,37.0–41.8,38.4,21.7,62.2,37.1,39.1,
2024,601–800,Worcester Polytechnic Institute,United States,37.0–41.8,30.0,22.1,61.2,61.8,57.2,
2024,601–800,Wroclaw Medical University,Poland,37.0–41.8,40.7,13.3,66.9,36.5,37.7,
2024,601–800,Xi’an Jiaotong-Liverpool University,China,37.0–41.8,18.6,15.1,70.8,20.9,77.3,
2024,601–800,Xidian University,China,37.0–41.8,24.3,25.0,61.0,77.5,25.9,
2024,601–800,Yeungnam University,South Korea,37.0–41.8,24.1,18.0,66.8,47.0,54.9,
2024,601–800,Zhejiang Normal University,China,37.0–41.8,20.3,19.0,75.4,54.1,35.6,
2024,601–800,Zhengzhou University,China,37.0–41.8,18.7,19.8,82.5,35.8,25.2,
2024,801–1000,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,32.7–36.9,38.1,10.7,58.1,20.1,21.8,
2024,801–1000,Al-Azhar University,Egypt,32.7–36.9,19.2,10.9,69.2,20.4,57.4,
2024,801–1000,Alexandria University,Egypt,32.7–36.9,17.9,17.7,58.2,27.2,51.4,
2024,801–1000,American University in Cairo,Egypt,32.7–36.9,26.7,24.0,51.1,23.0,70.3,
2024,801–1000,"Amity University, Noida",India,32.7–36.9,23.6,14.0,62.3,20.0,31.1,
2024,801–1000,Amrita Vishwa Vidyapeetham,India,32.7–36.9,28.4,20.5,60.8,41.1,36.9,
2024,801–1000,Arak University of Medical Sciences,Iran,32.7–36.9,31.7,10.2,66.4,18.9,21.2,
2024,801–1000,Aristotle University of Thessaloniki,Greece,32.7–36.9,22.3,16.8,66.3,52.7,38.1,
2024,801–1000,Arts et Métiers,France,32.7–36.9,31.1,19.5,35.2,67.7,67.0,
2024,801–1000,Aswan University,Egypt,32.7–36.9,16.7,12.1,75.6,18.4,50.4,
2024,801–1000,Athens University of Economics and Business,Greece,32.7–36.9,18.1,23.6,53.3,57.8,44.5,
2024,801–1000,Bahçeşehir University,Turkey,32.7–36.9,19.5,24.4,59.4,39.6,61.2,
2024,801–1000,Bahria University,Pakistan,32.7–36.9,14.2,9.7,77.3,16.2,48.7,
2024,801–1000,"Birla Institute of Technology and Science, Pilani",India,32.7–36.9,23.7,17.0,67.4,31.7,25.1,
2024,801–1000,BRAC University,Bangladesh,32.7–36.9,14.8,12.3,71.1,15.7,42.2,
2024,801–1000,Bucharest University of Economic Studies,Romania,32.7–36.9,19.7,11.6,75.9,20.8,27.8,
2024,801–1000,Cairo University,Egypt,32.7–36.9,25.0,18.5,59.9,39.2,45.4,
2024,801–1000,Carlos III University of Madrid,Spain,32.7–36.9,29.5,20.8,42.9,66.9,60.0,
2024,801–1000,Catholic University of Portugal,Portugal,32.7–36.9,19.6,18.7,64.4,25.6,55.7,
2024,801–1000,Changsha University of Science and Technology,China,32.7–36.9,16.8,13.5,76.5,41.6,27.9,
2024,801–1000,Chapman University,United States,32.7–36.9,36.9,14.7,48.1,59.2,46.8,
2024,801–1000,Charles Sturt University,Australia,32.7–36.9,18.5,17.9,55.1,58.0,66.3,
2024,801–1000,Chengdu University,China,32.7–36.9,18.5,14.5,74.1,28.5,28.2,
2024,801–1000,Chiang Mai University,Thailand,32.7–36.9,28.5,19.1,46.3,58.1,39.5,
2024,801–1000,Chiba University,Japan,32.7–36.9,33.2,20.9,42.0,68.9,33.9,
2024,801–1000,China University of Petroleum (East China),China,32.7–36.9,22.2,23.0,54.3,68.2,23.8,
2024,801–1000,Chonnam National University,South Korea,32.7–36.9,28.5,28.3,43.6,57.5,32.8,
2024,801–1000,Chungnam National University,South Korea,32.7–36.9,29.9,29.7,34.9,71.7,26.0,
2024,801–1000,Clarkson University,United States,32.7–36.9,29.9,18.0,41.2,67.4,63.3,
2024,801–1000,Covenant University,Nigeria,32.7–36.9,24.7,24.4,56.6,24.2,54.3,
2024,801–1000,CY Cergy Paris University,France,32.7–36.9,23.8,25.3,44.4,56.6,92.7,
2024,801–1000,Czech University of Life Sciences Prague (CZU),Czechia,32.7–36.9,20.1,15.4,50.8,50.2,76.4,
2024,801–1000,Damietta University,Egypt,32.7–36.9,16.4,9.4,73.0,17.4,46.1,
2024,801–1000,Delhi Technological University,India,32.7–36.9,16.9,20.1,76.7,28.5,19.7,
2024,801–1000,Eötvös Loránd University,Hungary,32.7–36.9,28.6,19.2,57.3,33.4,51.3,
2024,801–1000,Federal University of Minas Gerais,Brazil,32.7–36.9,40.2,23.3,43.3,50.8,33.4,
2024,801–1000,Ferdowsi University of Mashhad,Iran,32.7–36.9,28.6,26.8,48.2,45.4,38.6,
2024,801–1000,Florida Atlantic University,United States,32.7–36.9,22.5,21.9,57.3,57.6,51.8,
2024,801–1000,Florida Institute of Technology,United States,32.7–36.9,29.0,16.4,45.2,54.8,80.4,
2024,801–1000,Fuzhou University,China,32.7–36.9,18.9,16.5,71.5,53.2,36.7,
2024,801–1000,Gorgan University of Agricultural Sciences and Natural Resources,Iran,32.7–36.9,15.8,11.3,78.0,34.2,35.7,
2024,801–1000,Guangzhou Medical University,China,32.7–36.9,24.2,10.2,72.5,26.6,28.5,
2024,801–1000,Guangzhou University,China,32.7–36.9,19.4,12.7,77.1,22.4,35.9,
2024,801–1000,Guilan University of Medical Sciences,Iran,32.7–36.9,38.2,10.4,63.7,16.6,21.9,
2024,801–1000,Harbin Engineering University,China,32.7–36.9,28.1,30.6,43.6,64.9,24.4,
2024,801–1000,Hazara University Mansehra,Pakistan,32.7–36.9,27.1,10.7,70.9,16.7,49.0,
2024,801–1000,Howard University,United States,32.7–36.9,48.0,18.8,41.6,39.8,39.3,
2024,801–1000,Ilam University of Medical Sciences,Iran,32.7–36.9,30.8,12.0,65.7,17.2,23.4,
2024,801–1000,"Indian Institute of Science Education and Research, Pune",India,32.7–36.9,42.9,25.1,35.7,25.4,38.9,
2024,801–1000,Indian Institute of Technology Gandhinagar,India,32.7–36.9,41.1,27.2,39.0,26.5,29.6,
2024,801–1000,Indraprastha Institute of Information Technology Delhi,India,32.7–36.9,22.8,16.0,66.2,57.8,44.6,
2024,801–1000,Inha University,South Korea,32.7–36.9,31.2,27.2,41.7,83.9,38.8,
2024,801–1000,Institute of Chemical Technology,India,32.7–36.9,37.5,20.7,51.0,57.9,17.4,
2024,801–1000,Institute of Space Technology,Pakistan,32.7–36.9,18.6,13.3,70.5,16.5,47.1,
2024,801–1000,"International Islamic University, Islamabad",Pakistan,32.7–36.9,17.3,11.2,72.7,17.6,60.0,
2024,801–1000,Isfahan University of Medical Sciences,Iran,32.7–36.9,45.6,13.6,47.0,25.6,25.4,
2024,801–1000,Islamia College Peshawar,Pakistan,32.7–36.9,21.4,11.1,62.9,17.1,55.6,
2024,801–1000,Jahangirnagar University,Bangladesh,32.7–36.9,24.1,8.9,71.9,19.5,49.7,
2024,801–1000,Jaume I University,Spain,32.7–36.9,23.0,20.5,56.5,47.7,45.7,
2024,801–1000,Jawaharlal Nehru Technological University Anantapur (JNTUA),India,32.7–36.9,28.9,14.1,60.7,17.5,19.6,
2024,801–1000,Jaypee University of Information Technology,India,32.7–36.9,23.2,16.5,70.6,22.5,23.8,
2024,801–1000,Jazan University,Saudi Arabia,32.7–36.9,21.0,9.9,67.3,19.4,77.4,
2024,801–1000,Jeonbuk National University,South Korea,32.7–36.9,30.2,27.3,45.0,68.1,34.1,
2024,801–1000,Jiangnan University,China,32.7–36.9,24.7,22.4,60.2,76.6,24.0,
2024,801–1000,Jordan University of Science and Technology,Jordan,32.7–36.9,19.8,13.6,67.3,40.8,61.1,
2024,801–1000,JSS Academy of Higher Education and Research,India,32.7–36.9,39.7,10.6,51.9,22.0,51.8,
2024,801–1000,Kafrelsheikh University,Egypt,32.7–36.9,14.7,9.1,76.2,20.0,51.9,
2024,801–1000,Kalasalingam Academy of Research and Education,India,32.7–36.9,29.1,8.9,74.8,19.9,30.3,
2024,801–1000,Kaohsiung Medical University,Taiwan,32.7–36.9,26.4,26.1,44.0,81.3,28.7,
2024,801–1000,Kazan Federal University,Russian Federation,32.7–36.9,44.7,21.7,32.3,42.6,69.2,
2024,801–1000,King Faisal University,Saudi Arabia,32.7–36.9,19.9,12.2,68.0,31.4,75.5,
2024,801–1000,King Mongkut’s University of Technology Thonburi,Thailand,32.7–36.9,21.5,22.1,59.5,71.0,43.3,
2024,801–1000,Kingston University,United Kingdom,32.7–36.9,20.0,15.3,53.2,52.2,91.3,
2024,801–1000,K.N. Toosi University of Technology,Iran,32.7–36.9,22.6,21.0,60.2,34.8,35.7,
2024,801–1000,Kore University of Enna,Italy,32.7–36.9,18.0,12.3,71.3,40.9,37.3,
2024,801–1000,Kumamoto University,Japan,32.7–36.9,33.6,19.6,40.9,77.5,36.5,
2024,801–1000,Kyoto Prefectural University of Medicine,Japan,32.7–36.9,33.6,16.0,47.8,68.2,20.1,
2024,801–1000,Lahore University of Management Sciences,Pakistan,32.7–36.9,23.3,16.7,60.2,43.1,53.0,
2024,801–1000,Lakehead University,Canada,32.7–36.9,17.6,24.0,51.4,48.7,59.2,
2024,801–1000,Lebanese University,Lebanon,32.7–36.9,42.8,22.3,23.6,17.7,78.8,
2024,801–1000,Leeds Beckett University,United Kingdom,32.7–36.9,17.7,16.2,65.0,49.9,67.3,
2024,801–1000,Lithuanian University of Health Sciences,Lithuania,32.7–36.9,27.1,12.6,55.5,25.5,52.9,
2024,801–1000,Lovely Professional University,India,32.7–36.9,21.5,12.8,73.7,17.5,43.4,
2024,801–1000,Makerere University,Uganda,32.7–36.9,23.4,25.3,39.6,52.1,68.1,
2024,801–1000,Mansoura University,Egypt,32.7–36.9,19.5,12.4,68.1,31.8,74.1,
2024,801–1000,Marquette University,United States,32.7–36.9,36.9,18.2,54.0,49.3,33.1,
2024,801–1000,Medical University of Lodz,Poland,32.7–36.9,27.4,11.0,67.6,39.7,32.3,
2024,801–1000,Montana State University,United States,32.7–36.9,24.0,20.4,56.3,63.0,38.0,
2024,801–1000,Nanjing Medical University,China,32.7–36.9,36.3,16.5,58.1,41.2,25.8,
2024,801–1000,Nanjing Normal University,China,32.7–36.9,25.1,15.1,66.5,50.7,29.8,
2024,801–1000,Nanjing University of Information Science and Technology,China,32.7–36.9,18.0,18.3,68.6,42.0,42.4,
2024,801–1000,National Autonomous University of Mexico,Mexico,32.7–36.9,29.9,30.4,34.4,62.5,58.4,
2024,801–1000,"National Institute of Technology, Tiruchirappalli",India,32.7–36.9,33.8,17.1,60.2,27.1,21.2,
2024,801–1000,National Taipei University of Technology,Taiwan,32.7–36.9,27.3,25.0,35.8,94.1,41.6,
2024,801–1000,New Mexico State University (Main campus),United States,32.7–36.9,25.8,22.1,49.8,62.9,45.6,
2024,801–1000,North China Electric Power University,China,32.7–36.9,22.0,23.1,51.4,60.1,22.4,
2024,801–1000,Northeast Normal University,China,32.7–36.9,28.2,15.6,60.9,45.5,31.1,
2024,801–1000,North South University,Bangladesh,32.7–36.9,12.9,10.0,76.1,15.8,43.3,
2024,801–1000,Nova Southeastern University,United States,32.7–36.9,39.1,12.2,50.1,38.9,34.4,
2024,801–1000,Okayama University,Japan,32.7–36.9,34.6,21.5,36.4,84.9,37.2,
2024,801–1000,Ozyegin University,Turkey,32.7–36.9,16.3,23.9,53.5,58.0,57.7,
2024,801–1000,Pablo de Olavide University,Spain,32.7–36.9,23.8,17.5,58.5,66.9,47.8,
2024,801–1000,Palacký University Olomouc,Czechia,32.7–36.9,23.4,23.9,49.8,36.8,61.8,
2024,801–1000,Panthéon-Sorbonne University – Paris 1,France,32.7–36.9,33.9,31.8,36.6,27.3,67.7,
2024,801–1000,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,32.7–36.9,33.4,30.5,37.1,62.9,43.2,
2024,801–1000,Portland State University,United States,32.7–36.9,22.1,23.2,55.7,54.7,35.0,
2024,801–1000,Qassim University,Saudi Arabia,32.7–36.9,36.0,20.4,42.8,21.6,80.2,
2024,801–1000,Qom University of Medical Sciences,Iran,32.7–36.9,35.2,7.3,60.0,17.9,22.4,
2024,801–1000,Reichman University,Israel,32.7–36.9,13.1,16.6,64.3,31.4,63.6,
2024,801–1000,Robert Gordon University,United Kingdom,32.7–36.9,17.5,13.2,53.4,36.0,87.1,
2024,801–1000,Rochester Institute of Technology,United States,32.7–36.9,22.9,20.2,58.4,60.7,46.3,
2024,801–1000,San Diego State University,United States,32.7–36.9,21.5,11.9,71.1,58.3,37.0,
2024,801–1000,Savitribai Phule Pune University,India,32.7–36.9,44.0,11.8,54.5,22.8,25.2,
2024,801–1000,Sechenov University,Russian Federation,32.7–36.9,32.6,17.1,47.7,39.4,62.1,
2024,801–1000,Shahrekord University of Medical Sciences,Iran,32.7–36.9,33.7,10.5,62.1,17.3,20.6,
2024,801–1000,Shantou University,China,32.7–36.9,21.2,16.4,63.0,33.8,42.9,
2024,801–1000,Sheffield Hallam University,United Kingdom,32.7–36.9,19.4,14.4,66.7,33.1,64.0,
2024,801–1000,Shiraz University,Iran,32.7–36.9,29.3,24.6,55.0,57.4,29.1,
2024,801–1000,Shiraz University of Medical Sciences,Iran,32.7–36.9,41.7,12.7,55.7,24.5,24.1,
2024,801–1000,Shri Mata Vaishno Devi University,India,32.7–36.9,24.7,17.2,68.0,26.1,22.8,
2024,801–1000,Siksha ‘O’ Anusandhan,India,32.7–36.9,37.9,16.7,47.7,40.8,19.9,
2024,801–1000,Sogang University,South Korea,32.7–36.9,27.2,30.6,39.8,73.3,45.0,
2024,801–1000,Technical University of Madrid,Spain,32.7–36.9,26.6,15.8,49.8,57.4,53.8,
2024,801–1000,The New School,United States,32.7–36.9,29.8,15.5,45.8,27.2,61.1,
2024,801–1000,Tokyo Medical University,Japan,32.7–36.9,35.1,17.0,54.0,70.4,21.4,
2024,801–1000,Tokyo University of Agriculture and Technology,Japan,32.7–36.9,35.0,29.1,29.6,84.5,38.1,
2024,801–1000,Tomsk Polytechnic University,Russian Federation,32.7–36.9,40.5,23.5,31.7,54.9,69.4,
2024,801–1000,Universidade Federal de Santa Catarina,Brazil,32.7–36.9,32.5,21.6,41.6,64.2,35.3,
2024,801–1000,Universidade Federal de São Paulo (UNIFESP),Brazil,32.7–36.9,33.2,22.5,48.2,47.2,35.2,
2024,801–1000,Universitat Internacional de Catalunya,Spain,32.7–36.9,22.8,17.6,57.0,21.2,65.9,
2024,801–1000,Université de Bretagne Occidentale,France,32.7–36.9,20.3,19.6,52.0,47.8,60.5,
2024,801–1000,Université de Poitiers,France,32.7–36.9,28.6,25.7,36.0,45.0,58.9,
2024,801–1000,University of Alcalá,Spain,32.7–36.9,27.8,15.1,55.0,41.9,64.4,
2024,801–1000,University of Algarve,Portugal,32.7–36.9,18.5,19.5,52.3,25.3,66.4,
2024,801–1000,University of Belgrade,Serbia,32.7–36.9,21.3,27.0,49.4,34.0,42.3,
2024,801–1000,University of Bergamo,Italy,32.7–36.9,19.4,21.2,59.6,33.3,37.5,
2024,801–1000,University of Brighton,United Kingdom,32.7–36.9,19.8,16.5,53.9,60.9,84.4,
2024,801–1000,University of Camerino (Unicam),Italy,32.7–36.9,18.0,17.6,58.6,60.0,53.0,
2024,801–1000,University of Castilla-La Mancha,Spain,32.7–36.9,24.2,17.2,53.7,46.3,42.0,
2024,801–1000,University of Chile,Chile,32.7–36.9,25.9,19.8,50.5,57.4,52.9,
2024,801–1000,University of Clermont Auvergne,France,32.7–36.9,21.8,18.1,54.2,61.6,68.3,
2024,801–1000,University of Delhi,India,32.7–36.9,40.4,24.2,39.0,40.5,23.3,
2024,801–1000,University of Deusto,Spain,32.7–36.9,22.5,23.2,54.3,36.6,42.3,
2024,801–1000,University of Dhaka,Bangladesh,32.7–36.9,17.5,10.0,68.8,18.1,48.5,
2024,801–1000,University of Girona,Spain,32.7–36.9,20.8,22.4,56.3,55.0,56.8,
2024,801–1000,University of Gloucestershire,United Kingdom,32.7–36.9,17.4,14.0,57.6,34.5,65.7,
2024,801–1000,University of Ibadan,Nigeria,32.7–36.9,27.6,14.4,59.3,24.4,41.0,
2024,801–1000,University of Indonesia,Indonesia,32.7–36.9,45.5,23.1,29.2,51.9,60.3,
2024,801–1000,University of Jaén,Spain,32.7–36.9,20.7,18.8,64.2,41.0,45.4,
2024,801–1000,University of Kurdistan,Iran,32.7–36.9,16.8,14.7,70.8,19.0,35.9,
2024,801–1000,University of la Costa,Colombia,32.7–36.9,13.2,10.7,74.2,16.3,54.9,
2024,801–1000,University of Lahore,Pakistan,32.7–36.9,17.6,10.2,68.8,20.3,52.6,
2024,801–1000,University of Ljubljana,Slovenia,32.7–36.9,24.5,20.1,54.6,69.8,42.4,
2024,801–1000,University of Lleida,Spain,32.7–36.9,23.5,20.1,58.2,57.3,45.4,
2024,801–1000,University of Malakand,Pakistan,32.7–36.9,16.8,14.0,74.1,26.7,49.2,
