year,Rank,Name,Country,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2024,61,University of Amsterdam,Netherlands,"28,649",13.2,36%,60 : 40,
2024,62,Seoul National University,South Korea,"28,620",16.1,13%,,
2024,63,University of Wisconsin-Madison,United States,"41,209",9.9,13%,,
2024,64,Brown University,United States,"9,781",10.3,19%,,=
2024,64,The Hong Kong University of Science and Technology,Hong Kong,"9,794",19.9,30%,,=
2024,64,Wageningen University & Research,Netherlands,"15,899",18.1,28%,54 : 46,=
2024,67,Australian National University,Australia,"17,293",15.1,48%,52 : 48,
2024,68,Washington University in St Louis,United States,"13,825",7.3,22%,52 : 48,
2024,69,"University of California, Santa Barbara",United States,"25,540",27.5,18%,54 : 46,
2024,70,The University of Queensland,Australia,"42,847",39.1,42%,55 : 45,
2024,71,Institut Polytechnique de Paris,France,"6,073",6.8,42%,25 : 75,
2024,72,University of North Carolina at Chapel Hill,United States,"30,782",7.7,8%,60 : 40,
2024,73,Nanjing University,China,"36,711",16.7,8%,54 : 46,
2024,74,University of Southern California,United States,"44,083",14.2,24%,49 : 51,
2024,75,Sorbonne University,France,"41,527",14.5,22%,60 : 40,
2024,76,Yonsei University (Seoul campus),South Korea,"18,961",13.9,17%,49 : 51,
2024,77,Leiden University,Netherlands,"35,072",19.3,21%,60 : 40,
2024,78,Boston University,United States,"26,677",10.8,29%,58 : 42,
2024,79,University of Groningen,Netherlands,"31,942",28.8,29%,53 : 47,
2024,80,University of Zurich,Switzerland,"25,608",14.7,24%,58 : 42,
2024,81,University of Bristol,United Kingdom,"27,335",14.8,31%,55 : 45,
2024,82,City University of Hong Kong,Hong Kong,"9,076",13.2,67%,54 : 46,
2024,83,Korea Advanced Institute of Science and Technology (KAIST),South Korea,"10,130",10.7,8%,21 : 79,
2024,84,UNSW Sydney,Australia,"47,044",36.6,40%,47 : 53,
2024,85,University of Minnesota,United States,"59,556",11.8,9%,55 : 45,
2024,86,Purdue University West Lafayette,United States,"42,633",18.3,17%,44 : 56,
2024,87,Humboldt University of Berlin,Germany,"34,761",54.5,18%,,=
2024,87,The Hong Kong Polytechnic University,Hong Kong,"20,034",30.6,30%,51 : 49,=
2024,87,University of Glasgow,United Kingdom,"32,270",14.4,43%,59 : 41,=
2024,90,RWTH Aachen University,Germany,"34,914",43.3,29%,34 : 66,
2024,91,University of Bonn,Germany,"26,290",44.5,17%,57 : 43,
2024,92,"University of California, Irvine",United States,"35,675",16.2,26%,53 : 47,=
2024,92,Vanderbilt University,United States,"12,971",3.9,17%,55 : 45,=
2024,94,Charité - Universitätsmedizin Berlin,Germany,"8,868",17.5,21%,65 : 35,
2024,95,Lomonosov Moscow State University,Russian Federation,"32,680",9.6,37%,50 : 50,=
2024,95,University of Tübingen,Germany,"21,632",27.1,14%,59 : 41,=
2024,97,KTH Royal Institute of Technology,Sweden,"13,269",15.9,26%,34 : 66,=
2024,97,University of Southampton,United Kingdom,"19,920",13.0,35%,51 : 49,=
2024,99,Erasmus University Rotterdam,Netherlands,"33,874",36.0,25%,54 : 46,=
2024,99,Ohio State University (Main campus),United States,"55,538",11.4,11%,51 : 49,=
2024,101,University of Birmingham,United Kingdom,"32,625",15.2,32%,58 : 42,
2024,102,Free University of Berlin,Germany,"25,427",41.5,20%,63 : 37,
2024,103,McMaster University,Canada,"28,254",30.9,22%,56 : 44,=
2024,103,University of Copenhagen,Denmark,"31,728",4.3,14%,62 : 38,=
2024,105,University of Sheffield,United Kingdom,"27,860",15.4,40%,53 : 47,
2024,106,Emory University,United States,"13,127",4.0,19%,61 : 39,=
2024,106,Lund University,Sweden,"30,349",12.0,18%,56 : 44,=
2024,106,University of Warwick,United Kingdom,"24,905",14.4,44%,50 : 50,=
2024,109,Aarhus University,Denmark,"26,996",13.5,9%,56 : 44,=
2024,109,University of Alberta,Canada,"33,730",22.8,27%,,=
2024,111,Université de Montréal,Canada,"39,935",20.5,22%,,=
2024,111,University of Adelaide,Australia,"23,792",36.4,31%,49 : 51,=
2024,111,University of Göttingen,Germany,"23,349",27.4,14%,53 : 47,=
2024,114,"University of Maryland, College Park",United States,"33,988",17.0,9%,49 : 51,
2024,115,Ghent University,Belgium,"41,487",37.6,12%,57 : 43,
2024,116,Michigan State University,United States,"44,514",16.1,11%,52 : 48,=
2024,116,University of Bern,Switzerland,"12,399",18.2,16%,59 : 41,=
2024,118,Texas A&M University,United States,"64,427",20.5,6%,47 : 53,
2024,119,Rice University,United States,"7,318",9.8,26%,42 : 58,=
2024,119,University of Vienna,Austria,"31,318",37.4,31%,66 : 34,=
2024,121,University of Helsinki,Finland,"22,887",15.9,5%,67 : 33,
2024,122,Penn State (Main campus),United States,"45,875",14.2,15%,48 : 52,
2024,123,University of Basel,Switzerland,"8,536",10.4,31%,56 : 44,=
2024,123,University of Massachusetts,United States,"63,500",13.3,14%,50 : 50,=
2024,125,Vrije Universiteit Amsterdam,Netherlands,"31,704",19.2,18%,57 : 43,
2024,126,Technical University of Denmark,Denmark,"10,410",7.7,28%,32 : 68,
2024,127,University of Oslo,Norway,"20,967",12.5,15%,66 : 34,
2024,128,University of Freiburg,Germany,"19,417",34.4,17%,53 : 47,
2024,129,University of Leeds,United Kingdom,"33,450",14.4,32%,59 : 41,
2024,130,Tohoku University,Japan,"17,409",11.8,12%,28 : 72,=
2024,130,University of Nottingham,United Kingdom,"33,520",16.0,27%,54 : 46,=
2024,132,University of Florida,United States,"48,114",16.7,9%,56 : 44,
2024,133,University of Rochester,United States,"9,855",7.3,34%,50 : 50,
2024,134,Trinity College Dublin,Ireland,"18,778",22.2,34%,61 : 39,
2024,135,Queen Mary University of London,United Kingdom,"22,205",14.6,45%,54 : 46,
2024,136,Technical University of Berlin,Germany,"20,425",49.6,29%,35 : 65,=
2024,136,University of Hamburg,Germany,"29,240",58.5,13%,58 : 42,=
2024,138,Maastricht University,Netherlands,"21,337",19.6,57%,60 : 40,=
2024,138,University of Colorado Boulder,United States,"35,844",16.5,8%,45 : 55,=
2024,140,Karlsruhe Institute of Technology,Germany,"21,448",20.5,25%,29 : 71,=
2024,140,Radboud University Nijmegen,Netherlands,"23,004",18.2,12%,57 : 43,=
2024,140,Uppsala University,Sweden,"24,749",13.3,17%,60 : 40,=
2024,143,The University of Western Australia,Australia,"19,382",22.4,26%,50 : 50,=
2024,143,University of Lausanne,Switzerland,"14,478",10.5,23%,,=
2024,145,Sungkyunkwan University (SKKU),South Korea,"23,402",19.4,19%,,=
2024,145,University of Pittsburgh-Pittsburgh campus,United States,"26,305",5.4,10%,56 : 44,=
2024,147,University of York,United Kingdom,"19,505",16.1,31%,56 : 44,
2024,148,University of Technology Sydney,Australia,"28,223",37.4,25%,50 : 50,
2024,149,Pohang University of Science and Technology (POSTECH),South Korea,"3,300",10.5,5%,,
2024,150,Sichuan University,China,"49,117",15.9,5%,,=
2024,150,University of Auckland,New Zealand,"35,663",24.4,31%,57 : 43,=
2024,152,National Taiwan University (NTU),Taiwan,"24,744",11.1,13%,41 : 59,=
2024,152,Université Paris Cité,France,"61,690",16.9,18%,66 : 34,=
2024,152,University of Barcelona,Spain,"44,365",15.3,11%,64 : 36,=
2024,155,Lancaster University,United Kingdom,"15,385",13.9,38%,51 : 49,=
2024,155,University of Arizona,United States,"45,517",19.9,7%,56 : 44,=
2024,155,University of Bologna,Italy,"74,105",24.7,11%,57 : 43,=
2024,158,Huazhong University of Science and Technology,China,"57,663",15.5,4%,,=
2024,158,University of Waterloo,Canada,"36,904",24.2,23%,47 : 53,=
2024,160,University of Cologne,Germany,"31,299",28.7,17%,,
2024,161,Dartmouth College,United States,"6,226",7.4,16%,49 : 51,=
2024,161,TU Dresden,Germany,"29,719",29.4,17%,45 : 55,=
2024,161,University of Antwerp,Belgium,"16,168",31.8,17%,56 : 44,=
2024,164,Case Western Reserve University,United States,"10,294",8.8,25%,51 : 49,=
2024,164,Wuhan University,China,"56,066",15.0,5%,,=
2024,166,University of Virginia (Main campus),United States,"25,953",8.9,11%,54 : 46,
2024,167,University of Cape Town,South Africa,"21,961",13.6,13%,54 : 46,
2024,168,Eindhoven University of Technology,Netherlands,"10,611",21.4,27%,,=
2024,168,Harbin Institute of Technology,China,"30,933",10.6,6%,,=
2024,168,Newcastle University,United Kingdom,"25,650",14.8,26%,53 : 47,=
2024,168,Scuola Normale Superiore di Pisa,Italy,614,7.4,11%,29 : 71,=
2024,168,Université Catholique de Louvain,Belgium,"25,409",37.3,20%,54 : 46,=
2024,168,University of Liverpool,United Kingdom,"25,955",14.2,32%,54 : 46,=
2024,174,Durham University,United Kingdom,"19,575",14.0,32%,54 : 46,
2024,175,The University of Osaka,Japan,"22,274",10.4,10%,32 : 68,=
2024,175,University of Würzburg,Germany,"23,637",38.3,12%,59 : 41,=
2024,177,Beijing Normal University,China,"26,439",14.4,9%,,=
2024,177,University of Exeter,United Kingdom,"27,190",16.6,28%,53 : 47,=
2024,177,University of Ottawa,Canada,"38,366",27.2,26%,59 : 41,=
2024,180,Macquarie University,Australia,"30,371",51.7,22%,,
2024,181,Sapienza University of Rome,Italy,"60,522",22.2,9%,61 : 39,
2024,182,Arizona State University (Tempe),United States,"48,870",19.7,14%,46 : 54,
2024,183,University of Geneva,Switzerland,"18,865",8.4,40%,62 : 38,
2024,184,University of Twente,Netherlands,"9,964",13.9,38%,37 : 63,
2024,185,Stockholm University,Sweden,"29,774",20.3,13%,,=
2024,185,Tongji University,China,"31,632",11.3,15%,41 : 59,=
2024,187,Georgetown University,United States,"17,508",10.1,18%,55 : 45,=
2024,187,University of Mannheim,Germany,"7,475",57.1,14%,52 : 48,=
2024,189,Chalmers University of Technology,Sweden,"10,103",15.4,17%,32 : 68,
2024,190,Cardiff University,United Kingdom,"28,815",15.0,27%,58 : 42,
2024,191,Tokyo Institute of Technology,Japan,"9,928",9.6,17%,16 : 84,=
2024,191,Tufts University,United States,"11,611",10.5,16%,57 : 43,=
2024,193,Ulm University,Germany,"10,301",26.4,13%,51 : 49,=
2024,193,University of Erlangen-Nuremberg,Germany,"29,467",41.9,13%,51 : 49,=
2024,193,University of Macau,Macao,"10,908",18.6,41%,54 : 46,=
2024,193,University of Münster,Germany,"27,529",25.1,5%,,=
2024,193,University of St Andrews,United Kingdom,"10,325",12.4,46%,58 : 42,=
2024,198,Indiana University,United States,"66,389",12.3,12%,54 : 46,
2024,199,Queensland University of Technology,Australia,"35,164",37.9,14%,54 : 46,=
2024,199,Ulsan National Institute of Science and Technology (UNIST),South Korea,"3,799",11.8,9%,28 : 72,=
2024,199,University of Notre Dame,United States,"12,576",10.9,12%,47 : 53,=
2024,201–250,Aalborg University,Denmark,"17,275",14.9,12%,,
2024,201–250,Aalto University,Finland,"14,427",20.4,23%,39 : 61,
2024,201–250,Curtin University,Australia,"29,283",20.8,29%,53 : 47,
2024,201–250,Friedrich Schiller University Jena,Germany,"16,048",18.9,14%,,
2024,201–250,George Washington University,United States,"22,211",13.0,14%,62 : 38,
2024,201–250,Goethe University Frankfurt,Germany,"28,572",14.5,14%,59 : 41,
2024,201–250,Indian Institute of Science,India,"4,495",9.6,1%,27 : 73,
2024,201–250,King Fahd University of Petroleum and Minerals,Saudi Arabia,"6,801",8.5,15%,8 : 92,
2024,201–250,Korea University,South Korea,"22,324",16.3,31%,,
2024,201–250,Medical University of Graz,Austria,"4,027",15.5,29%,54 : 46,
2024,201–250,Medical University of Vienna,Austria,"7,271",8.4,30%,54 : 46,
2024,201–250,Moscow Institute of Physics and Technology (MIPT),Russian Federation,"6,111",11.6,21%,,
2024,201–250,Nagoya University,Japan,"15,224",13.0,12%,30 : 70,
2024,201–250,"Northeastern University, US",United States,"22,269",14.1,32%,49 : 51,
2024,201–250,Politecnico di Milano,Italy,"38,978",25.7,19%,35 : 65,
2024,201–250,Pompeu Fabra University,Spain,"12,173",22.7,13%,61 : 39,
2024,201–250,Queen’s University Belfast,United Kingdom,"20,895",17.2,41%,57 : 43,
2024,201–250,Rutgers University–New Brunswick,United States,"46,256",11.2,17%,53 : 47,
2024,201–250,Sant’Anna School of Advanced Studies – Pisa,Italy,718,7.4,20%,37 : 63,
2024,201–250,Southern University of Science and Technology (SUSTech),China,"6,575",9.0,1%,,
2024,201–250,Sun Yat-sen University,China,"61,453",15.2,5%,48 : 52,
2024,201–250,Swinburne University of Technology,Australia,"14,324",28.5,24%,42 : 58,
2024,201–250,Tel Aviv University,Israel,"24,995",24.2,5%,57 : 43,
2024,201–250,Tianjin University,China,"26,486",8.9,13%,,
2024,201–250,Tilburg University,Netherlands,"13,225",32.2,21%,51 : 49,
2024,201–250,Universitat Autònoma de Barcelona (UAB),Spain,"32,901",13.2,13%,60 : 40,
2024,201–250,Université Libre de Bruxelles,Belgium,"30,287",51.7,30%,58 : 42,
2024,201–250,University College Dublin,Ireland,"23,405",20.7,25%,,
2024,201–250,University of Aberdeen,United Kingdom,"12,755",15.3,40%,58 : 42,
2024,201–250,University of Calgary,Canada,"34,012",18.8,24%,54 : 46,
2024,201–250,"University of California, Santa Cruz",United States,"19,154",24.2,12%,47 : 53,
2024,201–250,University of Gothenburg,Sweden,"21,698",11.9,13%,,
2024,201–250,University of Hawai’i at Mānoa,United States,"14,936",11.3,10%,57 : 43,
2024,201–250,University of Illinois Chicago,United States,"28,868",11.4,18%,54 : 46,
2024,201–250,University of Iowa,United States,"28,583",10.9,6%,55 : 45,
2024,201–250,University of Leicester,United Kingdom,"14,000",13.9,31%,54 : 46,
2024,201–250,University of Luxembourg,Luxembourg,"5,599",21.3,49%,53 : 47,
2024,201–250,University of Miami,United States,"17,060",10.4,14%,54 : 46,
2024,201–250,University of Newcastle,Australia,"24,608",31.3,16%,57 : 43,
2024,201–250,University of Padua,Italy,"44,401",26.5,7%,56 : 44,
2024,201–250,University of Potsdam,Germany,"14,330",38.1,16%,57 : 43,
2024,201–250,University of Reading,United Kingdom,"15,945",16.6,31%,55 : 45,
2024,201–250,University of São Paulo,Brazil,"83,182",13.9,2%,47 : 53,
2024,201–250,University of Sussex,United Kingdom,"17,640",17.3,34%,55 : 45,
2024,201–250,University of Utah,United States,"31,502",13.3,8%,50 : 50,
2024,201–250,University of Wollongong,Australia,"16,328",26.1,22%,55 : 45,
2024,201–250,Vrije Universiteit Brussel,Belgium,"14,931",35.1,23%,58 : 42,
2024,201–250,Western University,Canada,"30,176",33.0,24%,56 : 44,
2024,251–300,Abu Dhabi University,United Arab Emirates,"2,506",10.9,60%,51 : 49,
2024,251–300,Beijing Institute of Technology,China,"34,050",13.4,8%,,
2024,251–300,Boston College,United States,"13,156",14.9,10%,55 : 45,
2024,251–300,Brandeis University,United States,"4,791",11.6,33%,59 : 41,
2024,251–300,Deakin University,Australia,"40,988",32.7,18%,60 : 40,
2024,251–300,École Normale Supérieure de Lyon,France,"2,024",7.9,11%,43 : 57,
2024,251–300,Florida State University,United States,"39,831",24.6,6%,58 : 42,
2024,251–300,Griffith University,Australia,"34,770",31.6,15%,60 : 40,
2024,251–300,Heinrich Heine University Düsseldorf,Germany,"28,121",30.1,13%,58 : 42,
2024,251–300,Humanitas University,Italy,"1,988",17.9,18%,59 : 41,
2024,251–300,Johannes Gutenberg University of Mainz,Germany,"30,755",24.1,11%,59 : 41,
2024,251–300,Khalifa University,United Arab Emirates,"3,289",9.3,41%,58 : 42,
2024,251–300,King Abdulaziz University,Saudi Arabia,"60,540",13.9,3%,50 : 50,
2024,251–300,Kyung Hee University,South Korea,"20,427",17.6,30%,56 : 44,
2024,251–300,La Trobe University,Australia,"19,172",28.2,29%,63 : 37,
2024,251–300,Linköping University,Sweden,"15,233",14.9,15%,54 : 46,
2024,251–300,Loughborough University,United Kingdom,"16,110",13.9,25%,40 : 60,
2024,251–300,LUT University,Finland,"5,028",31.6,14%,34 : 66,
2024,251–300,Macau University of Science and Technology,Macao,"14,091",41.8,92%,57 : 43,
2024,251–300,Medical University of Innsbruck,Austria,"3,337",12.9,44%,55 : 45,
2024,251–300,Nankai University,China,"31,416",11.7,7%,,
2024,251–300,North Carolina State University,United States,"31,391",15.9,11%,49 : 51,
2024,251–300,Qatar University,Qatar,"10,081",8.4,36%,77 : 23,
2024,251–300,Queen’s University,Canada,"27,034",25.9,16%,58 : 42,
2024,251–300,RCSI University of Medicine and Health Sciences,Ireland,"2,703",23.9,67%,,
2024,251–300,RMIT University,Australia,"32,574",24.0,34%,48 : 52,
2024,251–300,Ruhr University Bochum,Germany,"37,709",46.7,16%,50 : 50,
2024,251–300,Sejong University,South Korea,"11,678",18.9,15%,51 : 49,
2024,251–300,Semmelweis University,Hungary,"9,966",12.8,37%,69 : 31,
2024,251–300,Simon Fraser University,Canada,"27,269",26.8,31%,54 : 46,
2024,251–300,South China University of Technology,China,"40,449",12.6,6%,38 : 62,
2024,251–300,Stony Brook University,United States,"25,825",10.5,19%,54 : 46,
2024,251–300,Swansea University,United Kingdom,"18,505",16.8,21%,47 : 53,
2024,251–300,Technical University of Darmstadt,Germany,"15,882",37.0,19%,33 : 67,
2024,251–300,TU Wien,Austria,"11,373",19.0,31%,32 : 68,
2024,251–300,Università della Svizzera italiana,Switzerland,"3,714",14.0,67%,46 : 54,
2024,251–300,Université Laval,Canada,"30,362",17.9,16%,58 : 42,
2024,251–300,University of Bath,United Kingdom,"15,280",15.8,31%,45 : 55,
2024,251–300,University of Bergen,Norway,"15,751",13.0,11%,61 : 39,
2024,251–300,"University of California, Riverside",United States,"25,670",19.6,14%,53 : 47,
2024,251–300,University of East Anglia,United Kingdom,"16,475",14.3,21%,57 : 43,
2024,251–300,University of Hohenheim,Germany,"8,369",37.7,14%,57 : 43,
2024,251–300,University of Konstanz,Germany,"7,594",34.5,11%,58 : 42,
2024,251–300,University of Malaya,Malaysia,"19,346",10.2,22%,55 : 45,
2024,251–300,University of Oulu,Finland,"10,719",20.8,8%,55 : 45,
2024,251–300,University of Southern Denmark,Denmark,"18,279",9.9,13%,52 : 48,
2024,251–300,University of South Florida,United States,"40,379",19.0,13%,,
2024,251–300,University of Stuttgart,Germany,"15,152",25.3,20%,34 : 66,
2024,251–300,University of Surrey,United Kingdom,"14,630",16.3,33%,54 : 46,
2024,251–300,University of Tasmania,Australia,"16,894",22.5,31%,60 : 40,
2024,251–300,Virginia Polytechnic Institute and State University,United States,"37,225",18.6,13%,44 : 56,
2024,251–300,Vita-Salute San Raffaele University,Italy,"4,087",13.9,5%,62 : 38,
2024,251–300,Xi’an Jiaotong University,China,"45,764",14.7,7%,35 : 65,
2024,301–350,Beihang University,China,"32,854",12.3,4%,,
2024,301–350,"Birkbeck, University of London",United Kingdom,"7,610",12.5,41%,57 : 43,
2024,301–350,"China Medical University, Taiwan",Taiwan,"7,110",14.7,7%,57 : 43,
2024,301–350,Copenhagen Business School,Denmark,"16,785",27.5,23%,48 : 52,
2024,301–350,Dalhousie University,Canada,"17,314",14.7,27%,54 : 46,
2024,301–350,Drexel University,United States,"16,910",11.0,15%,51 : 49,
2024,301–350,East China Normal University,China,"28,787",14.1,8%,64 : 36,
2024,301–350,Flinders University,Australia,"17,422",29.4,33%,66 : 34,
2024,301–350,Hanyang University,South Korea,"19,344",13.2,21%,,
2024,301–350,Hebrew University of Jerusalem,Israel,"19,267",8.9,5%,58 : 42,
2024,301–350,Hong Kong Baptist University,Hong Kong,"7,460",10.2,55%,65 : 35,
2024,301–350,Kyushu University,Japan,"18,220",7.7,13%,28 : 72,
2024,301–350,Montpellier University,France,"40,734",20.5,15%,55 : 45,
2024,301–350,Northwestern Polytechnical University,China,"36,797",14.5,4%,25 : 75,
2024,301–350,Norwegian University of Science and Technology,Norway,"37,865",15.0,9%,49 : 51,
2024,301–350,Oregon Health and Science University,United States,"2,984",0.9,3%,68 : 32,
2024,301–350,"Royal Holloway, University of London",United Kingdom,"11,290",16.1,31%,55 : 45,
2024,301–350,Sharif University of Technology,Iran,"9,389",21.8,2%,26 : 74,
2024,301–350,Southeast University,China,"39,637",12.4,4%,36 : 64,
2024,301–350,Stellenbosch University,South Africa,"25,140",25.7,7%,56 : 44,
2024,301–350,"St George’s, University of London",United Kingdom,"3,725",13.1,18%,66 : 34,
2024,301–350,Swedish University of Agricultural Sciences,Sweden,"4,437",4.7,8%,71 : 29,
2024,301–350,Tampere University,Finland,"16,236",20.7,7%,55 : 45,
2024,301–350,The University of Tennessee-Knoxville,United States,"28,377",17.0,3%,,
2024,301–350,United Arab Emirates University,United Arab Emirates,"8,147",12.6,18%,74 : 26,
2024,301–350,Università Cattolica del Sacro Cuore,Italy,"28,830",39.1,7%,71 : 29,
2024,301–350,Université Grenoble Alpes,France,"51,244",18.4,17%,53 : 47,
2024,301–350,Universiti Teknologi Petronas,Malaysia,"4,570",13.1,12%,37 : 63,
2024,301–350,University at Buffalo,United States,"27,086",17.2,12%,46 : 54,
2024,301–350,University College Cork,Ireland,"18,567",21.1,16%,59 : 41,
2024,301–350,University of Bremen,Germany,"12,263",19.5,13%,53 : 47,
2024,301–350,University of Dundee,United Kingdom,"14,145",18.1,25%,65 : 35,
2024,301–350,University of Essex,United Kingdom,"15,540",16.0,41%,54 : 46,
2024,301–350,University of Galway,Ireland,"15,734",26.1,16%,59 : 41,
2024,301–350,University of Innsbruck,Austria,"15,315",23.7,48%,55 : 45,
2024,301–350,University of Kiel,Germany,"29,463",23.9,8%,54 : 46,
2024,301–350,University of Liège,Belgium,"23,545",29.2,20%,58 : 42,
2024,301–350,University of Navarra,Spain,"11,969",14.3,26%,54 : 46,
2024,301–350,University of Otago,New Zealand,"19,350",20.6,16%,61 : 39,
2024,301–350,University of Pavia,Italy,"17,701",31.5,9%,54 : 46,
2024,301–350,University of Rome II – Tor Vergata,Italy,"18,480",24.0,20%,58 : 42,
2024,301–350,University of South Australia,Australia,"22,822",30.2,17%,60 : 40,
2024,301–350,University of Strathclyde,United Kingdom,"20,400",16.3,25%,51 : 49,
2024,301–350,University of Tartu,Estonia,"9,694",9.0,12%,68 : 32,
2024,301–350,University of the Witwatersrand,South Africa,"27,765",24.4,7%,57 : 43,
2024,301–350,University of Turku,Finland,"13,528",15.7,6%,63 : 37,
2024,301–350,Washington State University,United States,"28,896",18.8,6%,55 : 45,
2024,301–350,Western Sydney University,Australia,"35,590",41.8,21%,59 : 41,
2024,301–350,Xiamen University,China,"44,715",15.1,2%,,
2024,351–400,Aix-Marseille University,France,"72,946",17.3,14%,60 : 40,
2024,351–400,Amirkabir University of Technology,Iran,"9,859",20.2,3%,35 : 65,
2024,351–400,Autonomous University of Madrid,Spain,"30,227",13.4,15%,62 : 38,
2024,351–400,Brunel University of London,United Kingdom,"14,130",17.9,40%,47 : 53,
2024,351–400,Chongqing University,China,"42,607",20.1,2%,,
2024,351–400,"City, University of London",United Kingdom,"16,080",19.5,45%,58 : 42,
2024,351–400,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,742,6.3,4%,36 : 64,
2024,351–400,Edith Cowan University,Australia,"17,965",29.8,24%,62 : 38,
2024,351–400,Free University of Bozen-Bolzano,Italy,"4,244",10.7,14%,67 : 33,
2024,351–400,Hasselt University,Belgium,"5,749",30.9,14%,50 : 50,
2024,351–400,Heriot-Watt University,United Kingdom,"9,735",18.2,36%,39 : 61,
2024,351–400,Hokkaido University,Japan,"17,659",8.2,10%,29 : 71,
2024,351–400,Hunan University,China,"41,481",17.8,2%,47 : 53,
